Localidade;Ano;IDM Infraestrutura;Cobertura da rede de água tratada;Cobertura da rede de energia elétrica;Cobertura da rede de esgoto;Cobertura da rede de telefonia fixa e internet
Bela Vista de Goiás;2012;3,64;4,11;3,7;3,82;2,93
Bela Vista de Goiás;2014;3,965;4,65;4,05;3,93;3,23
Bela Vista de Goiás;2016;4,3675;5,3;4,62;3,98;3,57
Bela Vista de Goiás;2018;4,785;5,43;5,13;3,83;4,75
Bom Jardim de Goiás;2012;2,6975;5,72;3,28;0;1,79
Bom Jardim de Goiás;2014;2,8775;6,2;3,31;0;2
Bom Jardim de Goiás;2016;2,94;5,74;3,52;0;2,5
Bom Jardim de Goiás;2018;3,1075;5,78;4,17;0;2,48
Bom Jesus de Goiás;2012;4,215;5,63;3,8;3,95;3,48
Bom Jesus de Goiás;2014;5,2275;5,53;3,86;7,83;3,69
Bom Jesus de Goiás;2016;5,16;5,28;4;7,98;3,38
Bom Jesus de Goiás;2018;5,4225;5,49;4,51;7,65;4,04
Bonfinópolis;2012;3,3675;6,96;4,14;0;2,37
Bonfinópolis;2014;3,5525;7,52;4,49;0;2,2
Bonfinópolis;2016;3,5625;7,19;4,54;0;2,52
Bonfinópolis;2018;3,795;7,24;5,26;0;2,68
Bonópolis;2012;1,1875;2,08;1,75;0;0,92
Bonópolis;2014;1,1075;1,94;1,58;0;0,91
Bonópolis;2016;0,99;1,67;1,63;0;0,66
Bonópolis;2018;0,9775;1,68;1,19;0;1,04
Brazabrantes;2012;3,7375;7,75;3,88;0;3,32
Brazabrantes;2014;4,0375;8,53;4,41;0;3,21
Brazabrantes;2016;4,2075;8,44;4,62;0;3,77
Brazabrantes;2018;4,4225;8,68;4,68;0;4,33
Britânia;2012;4,0925;7;4,81;2,34;2,22
Britânia;2014;5,395;7,2;5,33;6,54;2,51
Britânia;2016;5,47;6,83;5,71;7,2;2,14
Britânia;2018;5,4975;6,7;5,07;6,83;3,39
Buriti Alegre;2012;5,1025;8,61;5,19;1,81;4,8
Buriti Alegre;2014;5,4275;9,11;5,8;1,83;4,97
Buriti Alegre;2016;5,3725;9,13;6,23;1,63;4,5
Buriti Alegre;2018;5,65;9,27;7,11;1,47;4,75
Buriti de Goiás;2012;3,935;9,33;4,67;0;1,74
Buriti de Goiás;2014;3,9975;9,57;5,07;0;1,35
Buriti de Goiás;2016;4,0625;9,15;5,33;0;1,77
Buriti de Goiás;2018;3,97;9,32;4,87;0;1,69
Buritinópolis;2012;1,9375;4,28;2,39;0;1,08
Buritinópolis;2014;1,9975;4,22;2,35;0;1,42
Buritinópolis;2016;1,665;3,92;2,25;0;0,49
Buritinópolis;2018;1,89;4,25;2,91;0;0,4
Cabeceiras;2012;2,44;5,42;3,18;0;1,16
Cabeceiras;2014;2,4575;5,66;3,37;0;0,8
Cabeceiras;2016;2,33;5,39;3,5;0;0,43
Cabeceiras;2018;2,8025;5,44;3,58;0;2,19
Cachoeira Alta;2012;2,57;5,16;2,69;0;2,43
Cachoeira Alta;2014;2,5625;5,4;2,84;0;2,01
Cachoeira Alta;2016;2,6075;5,46;3,19;0;1,78
Cachoeira Alta;2018;2,7;5,3;3,81;0;1,69
Cachoeira de Goiás;2012;3,1175;5,54;3,85;0,08;3
Cachoeira de Goiás;2014;3,2825;5,27;4,11;0,08;3,67
Cachoeira de Goiás;2016;3,2175;4,75;4,74;0,07;3,31
Cachoeira de Goiás;2018;3,15;4,52;5,46;0,06;2,56
Cachoeira Dourada;2012;4,59;4,11;4,22;4,91;5,12
Cachoeira Dourada;2014;4,94;4,5;4,61;4,89;5,76
Cachoeira Dourada;2016;4,965;4,7;4,76;4,61;5,79
Cachoeira Dourada;2018;4,9825;4,86;3,83;4,46;6,78
Caçu;2012;4,81;5,38;2,78;7,77;3,31
Caçu;2014;5;5,29;2,85;7,5;4,36
Caçu;2016;4,995;5,33;3,23;7,03;4,39
Caçu;2018;4,8625;5,25;3,72;6,66;3,82
Caiapônia;2012;4,1975;6,3;3,09;5,4;2
Caiapônia;2014;4,1025;6,16;3,03;5,13;2,09
Caiapônia;2016;4,3675;5,69;3,11;7,03;1,64
Caiapônia;2018;4,265;5,81;3,44;6,41;1,4
Caldas Novas;2012;6,015;5,2;7,99;4,46;6,41
Caldas Novas;2014;5,87;4,95;8,35;4,26;5,92
Caldas Novas;2016;5,6525;4,44;8,88;3,68;5,61
Caldas Novas;2018;5,635;4,23;9,71;3,31;5,29
Caldazinha;2012;1,96;3,66;2,62;0;1,56
Caldazinha;2014;2,44;3,99;3,18;0;2,59
Caldazinha;2016;2,4775;4,43;3,31;0;2,17
Caldazinha;2018;2,5325;4,76;4,2;0;1,17
Campestre de Goiás;2012;2,1325;4,78;2,38;0;1,37
Campestre de Goiás;2014;2,28;5,06;2,56;0;1,5
Campestre de Goiás;2016;2,145;4,77;2,56;0;1,25
Campestre de Goiás;2018;2,2875;4,74;3,33;0;1,08
Campinaçu;2012;2,13;4,67;2,59;0;1,26
Campinaçu;2014;2,27;5,04;2,74;0;1,3
Campinaçu;2016;2,345;5,38;2,91;0;1,09
Campinaçu;2018;2,61;5,4;3,59;0;1,45
Campinorte;2012;2,9325;5,64;3,95;0;2,14
Campinorte;2014;3,345;6,49;4,39;0;2,5
Campinorte;2016;3,595;6,23;4,66;0;3,49
Campinorte;2018;3,88;6,21;4,89;0;4,42
Campo Alegre de Goiás;2012;2,725;5,59;2,6;0;2,71
Campo Alegre de Goiás;2014;2,7475;5,66;2,76;0;2,57
Campo Alegre de Goiás;2016;2,66;5,26;2,89;0;2,49
Campo Alegre de Goiás;2018;2,77;5,23;3,5;0;2,35
Campo Limpo de Goiás;2012;1,99;4,25;2,9;0;0,81
Campo Limpo de Goiás;2014;2,125;4,85;3,13;0;0,52
Campo Limpo de Goiás;2016;2,1775;4,95;3,21;0;0,55
Campo Limpo de Goiás;2018;2,33;4,93;3,88;0;0,51
Campos Belos;2012;4,475;6,35;3,36;5,32;2,87
Campos Belos;2014;4,745;6,72;3,7;5,51;3,05
Campos Belos;2016;5,1325;6,78;3,96;6,8;2,99
Campos Belos;2018;5,1925;6,93;4,16;6,17;3,51
Campos Verdes;2012;3,3675;6,65;4,19;0;2,63
Campos Verdes;2014;3,7875;7,65;4,79;0;2,71
Campos Verdes;2016;3,8975;8,21;5,18;0;2,2
Campos Verdes;2018;4,74;9,08;6,89;0;2,99
Carmo do Rio Verde;2012;2,7725;6;3,42;0;1,67
Carmo do Rio Verde;2014;2,9925;6,3;3,75;0;1,92
Carmo do Rio Verde;2016;2,905;5,92;3,83;0;1,87
Carmo do Rio Verde;2018;3,0575;5,77;4,38;0;2,08
Castelândia;2012;3,07;6,09;3,8;0;2,39
Castelândia;2014;3,61;7,07;4,34;0;3,03
Castelândia;2016;3,56;6,69;4,51;0;3,04
Castelândia;2018;3,8675;6,78;5,21;0;3,48
Catalão;2012;5,65;5,91;4,36;4,65;7,68
Catalão;2014;5,41;5,63;4,64;4,43;6,94
Catalão;2016;4,9025;5,06;4,97;3,08;6,5
Catalão;2018;5,2;4,82;5,46;3,45;7,07
Caturaí;2012;2,83;5,53;3,1;0;2,69
Caturaí;2014;3,1825;6,27;3,64;0;2,82
Caturaí;2016;3,1825;5,92;3,78;0;3,03
Caturaí;2018;3,255;5,96;4,52;0;2,54
Cavalcante;2012;1,525;3,52;1,59;0;0,99
Cavalcante;2014;1,6525;3,63;1,78;0;1,2
Cavalcante;2016;1,8325;3,87;1,84;0;1,62
Cavalcante;2018;2,1475;4,04;2,52;0;2,03
Ceres;2012;5,4375;7,7;4,06;4,58;5,41
Ceres;2014;6,2225;7,95;4,34;7,19;5,41
Ceres;2016;6,31;7,7;4,57;7,46;5,51
Ceres;2018;6,5725;7,67;5,39;7,18;6,05
Cezarina;2012;3,2325;6,34;3,34;0;3,25
Cezarina;2014;3,2625;6,57;3,55;0;2,93
Cezarina;2016;2,9775;6,26;3,61;0;2,04
Cezarina;2018;2,9625;6,33;3,92;0;1,6
Chapadão do Céu;2012;4,2075;4,55;2,55;5,27;4,46
Chapadão do Céu;2014;4,2425;4,33;3,4;5,03;4,21
Chapadão do Céu;2016;4,5375;6,51;3,69;4,35;3,6
Chapadão do Céu;2018;3,825;3,71;4,74;3,91;2,94
Cidade Ocidental;2012;4,7725;6,33;3,94;4,23;4,59
Cidade Ocidental;2014;5,06;7,3;4,83;3,92;4,19
Cidade Ocidental;2016;5,205;7,86;5,11;3,65;4,2
Cidade Ocidental;2018;5,3525;8,12;5,56;3,26;4,47
Cocalzinho de Goiás;2012;1,7875;2,17;3,65;0;1,33
Cocalzinho de Goiás;2014;2;2,38;3,96;0;1,66
Cocalzinho de Goiás;2016;2,0575;2,54;4,13;0;1,56
Cocalzinho de Goiás;2018;2,225;5,97;1,39;0;1,54
Colinas do Sul;2012;1,7425;3,26;3,1;0,01;0,6
Colinas do Sul;2014;1,8275;3,1;3,44;0,01;0,76
Colinas do Sul;2016;1,85;2,79;3,49;0,01;1,11
Colinas do Sul;2018;1,805;2,66;3,15;0,01;1,4
Córrego do Ouro;2012;2,88;5,56;3,2;0;2,76
Córrego do Ouro;2014;2,725;5,72;3,31;0;1,87
Córrego do Ouro;2016;2,7375;5,45;3,48;0;2,02
Córrego do Ouro;2018;2,7875;5,48;4,09;0;1,58
Corumbá de Goiás;2012;1,4925;2,66;1,87;0,19;1,25
Corumbá de Goiás;2014;1,7325;2,53;2,02;0,18;2,2
Corumbá de Goiás;2016;1,655;2,27;2,07;0,16;2,12
Corumbá de Goiás;2018;1,715;2,17;2,62;0,14;1,93
Corumbaíba;2012;4,6575;5,79;3,87;5,26;3,71
Corumbaíba;2014;5,5675;6,54;4,17;7,52;4,04
Corumbaíba;2016;5,4375;6,33;4,38;7,14;3,9
Corumbaíba;2018;5,2;6,21;4,32;6,51;3,76
Cristalina;2012;2,84;3,35;2,59;1,97;3,45
Cristalina;2014;2,8175;3,39;2,72;1,99;3,17
Cristalina;2016;2,6375;3,26;2,8;1,73;2,76
Cristalina;2018;2,9225;3,38;2,53;1,61;4,17
Cristianópolis;2012;3,7575;8,18;4,07;0;2,78
Cristianópolis;2014;4,0275;8,59;4,43;0;3,09
Cristianópolis;2016;4,075;8,59;4,9;0;2,81
Cristianópolis;2018;4,1175;8,54;5,56;0;2,37
Crixás;2012;2,1625;4,23;2,78;0;1,64
Crixás;2014;2,3175;4,31;2,98;0;1,98
Crixás;2016;2,395;4,44;3,16;0;1,98
Crixás;2018;2,3225;4,52;3,59;0;1,18
Cromínia;2012;3,41;6,75;3,73;0;3,16
Cromínia;2014;3,3525;6,93;3,89;0;2,59
Cromínia;2016;3,2625;6,8;4,1;0;2,15
Cromínia;2018;3,345;6,93;4,45;0;2
Cumari;2012;3,9225;7,6;3,96;0,01;4,12
Cumari;2014;3,86;7,6;4,14;0;3,7
Cumari;2016;3,7725;7,29;4,34;0;3,46
Cumari;2018;4,0125;7,27;5,23;0;3,55
Damianópolis;2012;2,155;4,97;2,64;0;1,01
Damianópolis;2014;2,5875;6,08;2,91;0;1,36
Damianópolis;2016;2,5225;5,93;3,1;0,01;1,05
Damianópolis;2018;2,725;6,54;3,65;0,02;0,69
Damolândia;2012;3,42;6,86;3,52;0;3,3
Damolândia;2014;3,6125;7,17;3,76;0;3,52
Damolândia;2016;3,6975;6,64;3,98;0;4,17
Damolândia;2018;4,1375;6,57;4,6;0;5,38
Davinópolis;2012;2,9875;6,72;3,51;0;1,72
Davinópolis;2014;3,17;7,06;3,76;0;1,86
Davinópolis;2016;3,225;7,29;3,96;0,01;1,64
Davinópolis;2018;3,5675;7,59;5,42;0;1,26
Diorama;2012;2,2925;5,25;2,66;0;1,26
Diorama;2014;2,4325;5,36;2,78;0;1,59
Diorama;2016;2,2525;4,91;2,8;0;1,3
Diorama;2018;2,395;4,77;3,19;0;1,62
Divinópolis de Goiás;2012;2,7025;5,7;3,54;0;1,57
Divinópolis de Goiás;2014;2,695;5,8;3,6;0;1,38
Divinópolis de Goiás;2016;2,5425;5,6;3,33;0;1,24
Divinópolis de Goiás;2018;2,6;5,82;3,61;0;0,97
Doverlândia;2012;3,065;6,39;3,03;0;2,84
Doverlândia;2014;3,2025;6,47;3,11;0;3,23
Doverlândia;2016;3,1975;6,21;3,26;0;3,32
Doverlândia;2018;3,2975;6,2;3,79;0;3,2
Edealina;2012;3,435;6,37;3,31;0;4,06
Edealina;2014;3,15;6,81;3,6;0;2,19
Edealina;2016;3,2525;7,28;4,16;0;1,57
Edealina;2018;3,42;7,4;5,23;0;1,05
Edéia;2012;3,23;6,31;3,53;0;3,08
Edéia;2014;5,4175;6,43;3,65;9,1;2,49
Edéia;2016;5,2875;6,41;3,85;8,34;2,55
Edéia;2018;5,175;6,51;4,61;7,97;1,61
Estrela do Norte;2012;3,1575;5,97;3,43;0;3,23
Estrela do Norte;2014;3,215;6,61;3,59;0;2,66
Estrela do Norte;2016;3,71;7,07;4,21;0;3,56
Estrela do Norte;2018;3,925;7,01;4,99;0;3,7
Faina;2012;1,1825;2,3;2,13;0,04;0,26
Faina;2014;1,255;2,18;2,16;0,04;0,64
Faina;2016;1,1725;1,95;2,29;0,03;0,42
Faina;2018;1,185;1,87;2,31;0,03;0,53
Fazenda Nova;2012;2,4375;4,87;3,23;0;1,65
Fazenda Nova;2014;2,265;5,06;2,53;0;1,47
Fazenda Nova;2016;2,535;4,93;3,62;0;1,59
Fazenda Nova;2018;2,67;5,4;3,86;0;1,42
Firminópolis;2012;2,7475;5,14;2,77;0;3,08
Firminópolis;2014;2,715;5,23;2,84;0;2,79
Firminópolis;2016;2,7975;5,02;2,91;0;3,26
Firminópolis;2018;2,8575;4,97;3,24;0;3,22
Flores de Goiás;2012;0,03;0,01;0;0;0,11
Flores de Goiás;2014;0,045;0;0;0;0,18
Flores de Goiás;2016;0;0;0;0;0
Flores de Goiás;2018;0,1;0;0,06;0;0,34
Formosa;2012;3,9825;5,42;3,48;3,49;3,54
Formosa;2014;4,2275;5,64;3,69;3,92;3,66
Formosa;2016;4,375;5,5;3,9;4,26;3,84
Formosa;2018;4,79;5,46;4,17;5,28;4,25
Formoso;2012;3,12;7,21;3,19;0;2,08
Formoso;2014;3,1825;6,47;3,38;0;2,88
Formoso;2016;3,35;6,48;3,57;0;3,35
Formoso;2018;3,5675;6,96;4,35;0;2,96
Gameleira de Goiás;2012;1,2125;3,25;1,38;0;0,22
Gameleira de Goiás;2014;1,44;3,49;1,54;0;0,73
Gameleira de Goiás;2016;1,3925;3,42;1,7;0;0,45
Gameleira de Goiás;2018;1,3425;3,41;1,45;0;0,51
Goianápolis;2012;2,7475;5,38;3,88;0;1,73
Goianápolis;2014;3,2025;6,58;4,45;0;1,78
Goianápolis;2016;3,4325;6,86;4,9;0;1,97
Goianápolis;2018;3,945;7,18;5,83;0;2,77
Goiandira;2012;4,545;7,8;3,96;0;6,42
Goiandira;2014;4,68;7,74;4,02;0;6,96
Goiandira;2016;4,28;7,24;4,18;0;5,7
Goiandira;2018;4,7125;7,09;4,52;0;7,24
Goianésia;2012;4,19;4,87;3,73;5,3;2,86
Goianésia;2014;4,4325;5,01;3,85;6,33;2,54
Goianésia;2016;4,35;4,7;3,96;6,65;2,09
Goianésia;2018;5,1825;4,94;4,69;6,28;4,82
Goiânia;2012;6,87;6,25;4,81;6,42;10
Goiânia;2014;7,0975;6,67;5,02;6,7;10
Goiânia;2016;7,1225;6,59;5,29;6,61;10
Goiânia;2018;7,1575;6,55;5,75;6,33;10
Goianira;2012;3,5675;4,37;4,66;1,44;3,8
Goianira;2014;4,4575;5,42;6,26;1,8;4,35
Goianira;2016;5,13;6,08;6,87;3,1;4,47
Goianira;2018;5,805;6,35;8,29;2,84;5,74
Goiás;2012;4,535;6,93;3,78;3,41;4,02
Goiás;2014;4,8775;7,14;3,96;3,83;4,58
Goiás;2016;5,04;7,02;4,23;4,04;4,87
Goiás;2018;5,4975;7,14;4,68;4,41;5,76
Goiatuba;2012;4,135;5,62;3,92;2,15;4,85
Goiatuba;2014;4,335;6,2;4,11;2,33;4,7
Goiatuba;2016;4,63;6,28;4,36;3,63;4,25
Goiatuba;2018;5,06;6,52;5,05;3,91;4,76
Gouvelândia;2012;2,45;4,43;3,51;0;1,86
Gouvelândia;2014;2,47;4,49;3,58;0;1,81
Gouvelândia;2016;2,4025;4,4;3,86;0;1,35
Gouvelândia;2018;2,2975;4,17;4,17;0;0,85
Guapó;2012;4,3975;5,79;3,41;5,26;3,13
Guapó;2014;4,745;6,77;3,82;5,19;3,2
Guapó;2016;4,605;7,08;4,07;4,74;2,53
Guapó;2018;5,4225;8,04;4,82;4,94;3,89
Guaraíta;2012;1,9375;4,6;2,61;0;0,54
Guaraíta;2014;2,1075;5,1;2,8;0;0,53
Guaraíta;2016;2,12;5,12;2,93;0;0,43
Guaraíta;2018;2,785;6,34;4,36;0;0,44
Guarani de Goiás;2012;0,855;2,41;0,81;0;0,2
Guarani de Goiás;2014;0,84;2,37;0,93;0;0,06
Guarani de Goiás;2016;0,8825;2,42;0,96;0;0,15
Guarani de Goiás;2018;1,0825;2,5;1,6;0;0,23
Guarinos;2012;1,695;3,3;2,42;0,06;1
Guarinos;2014;1,825;3,14;2,7;0,06;1,4
Guarinos;2016;1,765;2,81;2,9;0,05;1,3
Guarinos;2018;1,87;2,69;3,19;0,05;1,55
Heitoraí;2012;2,66;5,98;3,21;0;1,45
Heitoraí;2014;2,65;6,14;3,24;0;1,22
Heitoraí;2016;2,825;6,14;3,44;0;1,72
Heitoraí;2018;2,8375;6,03;3,86;0;1,46
Hidrolândia;2012;2,6075;3,17;4,13;0;3,13
Hidrolândia;2014;3,02;3,8;4,48;0;3,8
Hidrolândia;2016;3,2025;3,76;4,69;0;4,36
Hidrolândia;2018;3,445;3,79;5,35;0;4,64
Hidrolina;2012;2,745;5,88;3,49;0;1,61
Hidrolina;2014;2,8175;5,94;3,52;0;1,81
Hidrolina;2016;2,5975;5,69;3,66;0;1,04
Hidrolina;2018;3,5325;5,74;4,11;0,01;4,27
Iaciara;2012;2,0075;4,55;2,48;0;1
Iaciara;2014;2,035;4,58;2,52;0;1,04
Iaciara;2016;1,9125;4,23;2,55;0;0,87
Iaciara;2018;1,8925;4,16;2,58;0;0,83
Inaciolândia;2012;2,835;4,4;3,55;0;3,39
