Localidade;Ano;Taxa de Reprovação
Itaguari;2018;4,3
Itaguaru;2013;6,5
Itaguaru;2014;12,2
Itaguaru;2015;4,6
Itaguaru;2016;7,2
Itaguaru;2017;2
Itaguaru;2018;0,5
Itajá;2013;7,7
Itajá;2014;7,8
Itajá;2015;3,4
Itajá;2016;10,3
Itajá;2017;6,1
Itajá;2018;10,1
Itapaci;2013;12,6
Itapaci;2014;10,7
Itapaci;2015;13,4
Itapaci;2016;4
Itapaci;2017;5,4
Itapaci;2018;6,7
Itapirapuã;2013;2,9
Itapirapuã;2014;2,9
Itapirapuã;2015;4,5
Itapirapuã;2016;5,5
Itapirapuã;2017;3,1
Itapirapuã;2018;2,5
Itapuranga;2013;5,6
Itapuranga;2014;10,8
Itapuranga;2015;9,1
Itapuranga;2016;7,4
Itapuranga;2017;5,6
Itapuranga;2018;6,2
Itarumã;2013;10
Itarumã;2014;20,1
Itarumã;2015;13,4
Itarumã;2016;5,8
Itarumã;2017;8,6
Itarumã;2018;9,7
Itauçu;2013;4,5
Itauçu;2014;5,7
Itauçu;2015;5
Itauçu;2016;0,5
Itauçu;2017;3,2
Itauçu;2018;5,3
Itumbiara;2013;4,8
Itumbiara;2014;6,1
Itumbiara;2015;6,1
Itumbiara;2016;4,4
Itumbiara;2017;5,6
Itumbiara;2018;4,3
Ivolândia;2013;0
Ivolândia;2014;0
Ivolândia;2015;0
Ivolândia;2016;0
Ivolândia;2017;0
Ivolândia;2018;0
Jandaia;2013;4,9
Jandaia;2014;5,2
Jandaia;2015;9,4
Jandaia;2016;3
Jandaia;2017;2,7
Jandaia;2018;1,2
Jaraguá;2013;5,8
Jaraguá;2014;6
Jaraguá;2015;4,6
Jaraguá;2016;6
Jaraguá;2017;5,5
Jaraguá;2018;6,2
Jataí;2013;17,7
Jataí;2014;15
Jataí;2015;9,1
Jataí;2016;5,1
Jataí;2017;4,9
Jataí;2018;3,5
Jaupaci;2013;0
Jaupaci;2014;0
Jaupaci;2015;1
Jaupaci;2016;1,7
Jaupaci;2017;0
Jaupaci;2018;2,9
Jesúpolis;2013;7,1
Jesúpolis;2014;2,9
Jesúpolis;2015;0,8
Jesúpolis;2016;3,4
Jesúpolis;2017;1,2
Jesúpolis;2018;2,1
Joviânia;2013;16,6
Joviânia;2014;18
Joviânia;2015;18,3
Joviânia;2016;15,5
Joviânia;2017;3,9
Joviânia;2018;4,1
Jussara;2013;4
Jussara;2014;1,7
Jussara;2015;1,4
Jussara;2016;3
Jussara;2017;1
Jussara;2018;0,3
Lagoa Santa;2013;0
Lagoa Santa;2014;0
Lagoa Santa;2015;0
Lagoa Santa;2016;0
Lagoa Santa;2017;0
Lagoa Santa;2018;0
Leopoldo de Bulhões;2013;4,9
Leopoldo de Bulhões;2014;5
Leopoldo de Bulhões;2015;2,5
Leopoldo de Bulhões;2016;10,9
Leopoldo de Bulhões;2017;10,6
Leopoldo de Bulhões;2018;9,1
Luziânia;2013;8,3
Luziânia;2014;10,8
Luziânia;2015;10,8
Luziânia;2016;9,2
Luziânia;2017;4,1
Luziânia;2018;5,9
Mairipotaba;2013;8,3
Mairipotaba;2014;3,4
Mairipotaba;2015;9,8
Mairipotaba;2016;2,6
Mairipotaba;2017;0
Mairipotaba;2018;1,6
Mambaí;2013;3,5
Mambaí;2014;12,2
Mambaí;2015;4,1
Mambaí;2016;4,6
Mambaí;2017;4,2
Mambaí;2018;2,6
Mara Rosa;2013;9,9
Mara Rosa;2014;12,3
Mara Rosa;2015;3,8
Mara Rosa;2016;11,2
Mara Rosa;2017;2,9
Mara Rosa;2018;3,7
Marzagão;2013;3
Marzagão;2014;6,6
Marzagão;2015;4,1
Marzagão;2016;4,3
Marzagão;2017;1,4
Marzagão;2018;6,2
Matrinchã;2013;6
Matrinchã;2014;2,4
Matrinchã;2015;10,5
Matrinchã;2016;7
Matrinchã;2017;1,4
Matrinchã;2018;2,2
Maurilândia;2013;11,2
Maurilândia;2014;12,3
Maurilândia;2015;7,4
Maurilândia;2016;5,2
Maurilândia;2017;7,7
Maurilândia;2018;6,2
Mimoso de Goiás;2013;3,7
Mimoso de Goiás;2014;6,4
Mimoso de Goiás;2015;1,3
Mimoso de Goiás;2016;6
Mimoso de Goiás;2017;1,2
Mimoso de Goiás;2018;3,9
Minaçu;2013;8,1
Minaçu;2014;3,6
Minaçu;2015;6,3
Minaçu;2016;7,5
Minaçu;2017;5,4
Minaçu;2018;4,8
Mineiros;2013;4,1
Mineiros;2014;10,1
Mineiros;2015;8,4
Mineiros;2016;11,3
Mineiros;2017;6,2
Mineiros;2018;5,9
Moiporá;2013;1,4
Moiporá;2014;3,7
Moiporá;2015;1,4
Moiporá;2016;0
Moiporá;2017;0
Moiporá;2018;0
Monte Alegre de Goiás;2013;7,2
Monte Alegre de Goiás;2014;4,3
Monte Alegre de Goiás;2015;0,4
Monte Alegre de Goiás;2016;3,8
Monte Alegre de Goiás;2017;2,7
Monte Alegre de Goiás;2018;1,5
Montes Claros de Goiás;2013;2,2
Montes Claros de Goiás;2014;7,5
Montes Claros de Goiás;2015;9,4
Montes Claros de Goiás;2016;3,6
Montes Claros de Goiás;2017;2,1
Montes Claros de Goiás;2018;1,2
Montividiu;2013;6
Montividiu;2014;3
Montividiu;2015;0,6
Montividiu;2016;1,6
Montividiu;2017;1,5
Montividiu;2018;0,5
Montividiu do Norte;2013;1,8
Montividiu do Norte;2014;1,6
Montividiu do Norte;2015;14
Montividiu do Norte;2016;4,7
Montividiu do Norte;2017;0
Montividiu do Norte;2018;0,6
Morrinhos;2013;10,8
Morrinhos;2014;10,3
Morrinhos;2015;14,3
Morrinhos;2016;12,1
Morrinhos;2017;10,4
Morrinhos;2018;12,1
Morro Agudo de Goiás;2013;1,1
Morro Agudo de Goiás;2014;0
Morro Agudo de Goiás;2015;3
Morro Agudo de Goiás;2016;2,1
Morro Agudo de Goiás;2017;1,8
Morro Agudo de Goiás;2018;1,9
Mossâmedes;2013;2,1
Mossâmedes;2014;4,2
Mossâmedes;2015;2,8
Mossâmedes;2016;1,5
Mossâmedes;2017;2,7
Mossâmedes;2018;3,3
Mozarlândia;2013;21,6
Mozarlândia;2014;12,6
Mozarlândia;2015;8,8
Mozarlândia;2016;5,8
Mozarlândia;2017;4
Mozarlândia;2018;6,2
Mundo Novo;2013;9,3
Mundo Novo;2014;6,2
Mundo Novo;2015;7,3
Mundo Novo;2016;8,7
Mundo Novo;2017;15,6
Mundo Novo;2018;6,9
Mutunópolis;2013;6,7
Mutunópolis;2014;4,7
Mutunópolis;2015;4,1
Mutunópolis;2016;8,1
Mutunópolis;2017;0
Mutunópolis;2018;4,7
Nazário;2013;5,6
Nazário;2014;17,9
Nazário;2015;3,8
Nazário;2016;9,4
Nazário;2017;4,7
Nazário;2018;9,5
Nerópolis;2013;1,9
Nerópolis;2014;4,1
Nerópolis;2015;5,3
Nerópolis;2016;7,6
Nerópolis;2017;4,7
Nerópolis;2018;3,8
Niquelândia;2013;5,8
Niquelândia;2014;6,5
Niquelândia;2015;7,2
Niquelândia;2016;8,4
Niquelândia;2017;5
Niquelândia;2018;4,8
Nova América;2013;1,1
Nova América;2014;15,8
Nova América;2015;11,2
Nova América;2016;1
Nova América;2017;0
Nova América;2018;0
Nova Aurora;2013;0
Nova Aurora;2014;9,2
Nova Aurora;2015;5,1
Nova Aurora;2016;3,5
Nova Aurora;2017;0
Nova Aurora;2018;3,2
Nova Crixás;2013;2,6
Nova Crixás;2014;7,9
Nova Crixás;2015;4,4
Nova Crixás;2016;2,2
Nova Crixás;2017;4,8
Nova Crixás;2018;2
Nova Glória;2013;0,3
Nova Glória;2014;0,4
Nova Glória;2015;1,7
Nova Glória;2016;1
Nova Glória;2017;0
