"Localidade";"Ano";"Produto Interno Bruto a Preços Correntes - PIB (R$ mil)";"Produto Interno Bruto per Capita (R$)";"Valor Adicionado Bruto a Preços Básicos - Total (R$ mil)";"Valor Adicionado Bruto a Preços Básicos - Agropecuária (R$ mil)";"Valor Adicionado Bruto a Preços Básicos - Indústria (R$ mil)";"Valor Adicionado Bruto a Preços Básicos - Serviços (R$ mil)";"Valor Adicionado Bruto a Preços Básicos - Administração Pública (R$ mil)";"Valor Adicionado Bruto a Preços Básicos - Impostos (R$ mil)"
"Abadia de Goiás";"2002";"19.813";"...";"18.196";"1.674";"4.841";"11.681";"5.891";"1.617"
"Abadia de Goiás";"2003";"22.773";"...";"21.263";"2.037";"4.734";"14.492";"7.436";"1.510"
"Abadia de Goiás";"2004";"23.756";"...";"22.442";"3.044";"3.980";"15.417";"8.269";"1.314"
"Abadia de Goiás";"2005";"28.156";"...";"26.567";"2.269";"5.592";"18.707";"9.238";"1.589"
"Abadia de Goiás";"2006";"31.165";"...";"29.378";"2.041";"6.592";"20.745";"10.495";"1.787"
"Abadia de Goiás";"2007";"34.506";"...";"32.283";"2.269";"8.060";"21.955";"11.022";"2.222"
"Abadia de Goiás";"2008";"40.681";"...";"38.065";"2.990";"9.786";"25.289";"12.784";"2.616"
"Abadia de Goiás";"2009";"43.515";"...";"40.635";"3.422";"8.317";"28.896";"13.862";"2.880"
"Abadia de Goiás";"2010";"59.043";"8.596,82";"54.853";"4.853";"14.637";"18.097";"17.267";"4.190"
"Abadia de Goiás";"2011";"66.848";"9.518,49";"60.898";"4.870";"14.111";"21.366";"20.549";"5.951"
"Abadia de Goiás";"2012";"146.855";"20.499,05";"125.111";"5.854";"20.207";"75.627";"23.424";"21.744"
"Abadia de Goiás";"2013";"159.333";"21.056,25";"138.568";"6.096";"29.599";"76.532";"26.340";"20.765"
"Abadia de Goiás";"2014";"185.289";"23.960,79";"161.653";"5.807";"30.664";"94.535";"30.647";"23.636"
"Abadia de Goiás";"2015";"171.702";"21.748,15";"150.041";"6.318";"27.979";"80.369";"35.374";"21.661"
"Abadia de Goiás";"2016";"166.412";"20.664,57";"145.858";"6.201";"27.991";"74.750";"36.915";"20.554"
"Abadiânia";"2002";"38.867";"...";"35.960";"8.151";"2.084";"25.725";"11.319";"2.907"
"Abadiânia";"2003";"49.555";"...";"46.005";"13.556";"2.623";"29.826";"13.073";"3.550"
"Abadiânia";"2004";"55.021";"...";"51.523";"14.915";"3.027";"33.581";"14.777";"3.498"
"Abadiânia";"2005";"54.880";"...";"51.031";"10.185";"3.324";"37.522";"16.544";"3.849"
"Abadiânia";"2006";"61.801";"...";"57.064";"7.846";"4.709";"44.509";"19.010";"4.736"
"Abadiânia";"2007";"75.699";"...";"69.316";"9.497";"5.482";"54.337";"21.182";"6.383"
"Abadiânia";"2008";"84.745";"...";"78.218";"10.705";"5.533";"61.979";"24.665";"6.528"
"Abadiânia";"2009";"97.178";"...";"89.849";"12.914";"6.442";"70.493";"25.931";"7.329"
"Abadiânia";"2010";"127.498";"8.094,07";"118.817";"25.611";"9.376";"49.703";"34.126";"8.681"
"Abadiânia";"2011";"152.163";"9.458,16";"139.505";"18.210";"19.750";"61.454";"40.090";"12.658"
"Abadiânia";"2012";"190.662";"11.620,07";"175.230";"35.919";"14.475";"82.644";"42.192";"15.432"
"Abadiânia";"2013";"219.355";"12.660,43";"202.102";"49.277";"16.312";"89.700";"46.813";"17.252"
"Abadiânia";"2014";"281.463";"15.900,94";"260.512";"63.211";"19.805";"121.121";"56.375";"20.950"
"Abadiânia";"2015";"289.003";"15.994,41";"265.183";"53.821";"18.996";"134.003";"58.363";"23.820"
"Abadiânia";"2016";"287.984";"15.628,40";"261.162";"42.839";"16.728";"138.199";"63.396";"26.823"
"Acreúna";"2002";"248.595";"...";"225.888";"97.585";"35.412";"92.891";"22.442";"22.707"
"Acreúna";"2003";"279.754";"...";"250.591";"102.911";"41.596";"106.084";"26.529";"29.163"
"Acreúna";"2004";"289.387";"...";"259.084";"88.594";"38.574";"131.915";"30.406";"30.303"
"Acreúna";"2005";"252.057";"...";"224.766";"50.205";"35.179";"139.382";"32.804";"27.291"
"Acreúna";"2006";"229.738";"...";"206.293";"42.924";"40.294";"123.074";"36.170";"23.446"
"Acreúna";"2007";"235.145";"...";"213.079";"48.585";"44.754";"119.740";"37.241";"22.066"
"Acreúna";"2008";"270.196";"...";"247.510";"76.355";"40.364";"130.791";"40.853";"22.686"
"Acreúna";"2009";"314.612";"...";"287.531";"91.566";"49.378";"146.587";"40.247";"27.082"
"Acreúna";"2010";"303.946";"14.985,25";"276.483";"86.179";"35.027";"104.540";"50.737";"27.463"
"Acreúna";"2011";"414.501";"20.287,87";"376.636";"138.393";"44.879";"137.516";"55.847";"37.866"
"Acreúna";"2012";"449.013";"21.820,04";"408.029";"136.587";"52.858";"156.468";"62.116";"40.984"
"Acreúna";"2013";"484.361";"22.669,69";"441.879";"147.631";"53.795";"167.420";"73.033";"42.481"
"Acreúna";"2014";"520.633";"24.160,44";"478.587";"161.133";"45.965";"190.605";"80.885";"42.046"
"Acreúna";"2015";"519.570";"23.910,27";"478.836";"151.814";"49.336";"193.580";"84.106";"40.734"
"Acreúna";"2016";"614.411";"28.048,90";"573.612";"232.884";"47.274";"207.423";"86.030";"40.799"
"Adelândia";"2002";"8.201";"...";"7.766";"2.163";"446";"5.157";"2.984";"436"
"Adelândia";"2003";"9.719";"...";"9.174";"2.464";"548";"6.162";"3.564";"546"
"Adelândia";"2004";"10.745";"...";"10.192";"2.597";"1.055";"6.540";"3.786";"553"
"Adelândia";"2005";"11.282";"...";"10.590";"2.167";"811";"7.612";"4.334";"691"
"Adelândia";"2006";"12.727";"...";"11.993";"2.000";"920";"9.073";"5.128";"734"
"Adelândia";"2007";"14.284";"...";"13.460";"2.444";"1.091";"9.925";"5.765";"824"
"Adelândia";"2008";"16.739";"...";"15.847";"3.758";"1.047";"11.041";"6.279";"892"
"Adelândia";"2009";"18.479";"...";"17.480";"4.527";"1.481";"11.471";"6.126";"999"
"Adelândia";"2010";"21.648";"8.718,34";"20.425";"4.983";"2.586";"5.973";"6.883";"1.223"
"Adelândia";"2011";"26.276";"10.599,35";"24.620";"4.890";"4.970";"6.847";"7.913";"1.656"
"Adelândia";"2012";"26.908";"10.849,95";"25.276";"5.278";"3.233";"7.724";"9.042";"1.632"
"Adelândia";"2013";"27.882";"10.934,01";"26.188";"5.878";"3.790";"7.487";"9.034";"1.693"
"Adelândia";"2014";"30.409";"11.906,48";"28.663";"7.015";"2.788";"8.412";"10.448";"1.746"
"Adelândia";"2015";"30.170";"11.798,79";"28.440";"7.002";"2.673";"8.131";"10.634";"1.729"
"Adelândia";"2016";"31.964";"12.481,14";"30.269";"7.943";"2.749";"8.462";"11.115";"1.695"
"Água Fria de Goiás";"2002";"34.302";"...";"32.715";"19.801";"2.185";"10.730";"5.038";"1.586"
"Água Fria de Goiás";"2003";"50.790";"...";"48.572";"31.937";"3.032";"13.603";"5.897";"2.218"
"Água Fria de Goiás";"2004";"66.255";"...";"63.804";"42.378";"4.288";"17.139";"6.795";"2.451"
"Água Fria de Goiás";"2005";"59.624";"...";"56.738";"34.618";"3.632";"18.489";"7.890";"2.886"
"Água Fria de Goiás";"2006";"59.724";"...";"56.743";"32.670";"3.752";"20.322";"8.718";"2.981"
"Água Fria de Goiás";"2007";"82.786";"...";"78.712";"48.780";"5.402";"24.529";"9.680";"4.075"
"Água Fria de Goiás";"2008";"126.415";"...";"116.409";"59.265";"6.313";"50.832";"11.201";"10.005"
"Água Fria de Goiás";"2009";"91.805";"...";"88.187";"54.116";"5.135";"28.936";"12.197";"3.618"
"Água Fria de Goiás";"2010";"118.934";"23.343,31";"114.667";"73.177";"8.539";"18.632";"14.319";"4.267"
"Água Fria de Goiás";"2011";"118.348";"23.033,82";"113.437";"71.512";"7.947";"19.089";"14.889";"4.911"
"Água Fria de Goiás";"2012";"162.058";"31.261,18";"155.358";"105.119";"10.299";"24.045";"15.895";"6.700"
"Água Fria de Goiás";"2013";"165.909";"30.752,32";"159.656";"105.061";"12.007";"24.123";"18.466";"6.253"
"Água Fria de Goiás";"2014";"163.351";"29.967,12";"156.721";"100.602";"10.630";"24.643";"20.846";"6.629"
"Água Fria de Goiás";"2015";"201.250";"36.544,43";"192.755";"126.807";"13.574";"30.343";"22.031";"8.495"
"Água Fria de Goiás";"2016";"276.417";"49.715,24";"265.575";"186.932";"17.040";"39.360";"22.243";"10.842"
"Água Limpa";"2002";"11.678";"...";"11.130";"4.669";"369";"6.092";"3.563";"548"
"Água Limpa";"2003";"14.746";"...";"14.065";"6.666";"413";"6.986";"4.076";"681"
"Água Limpa";"2004";"15.385";"...";"14.736";"6.729";"461";"7.547";"4.431";"649"
"Água Limpa";"2005";"15.492";"...";"14.753";"5.662";"460";"8.632";"5.176";"739"
"Água Limpa";"2006";"16.042";"...";"15.265";"5.039";"675";"9.551";"5.653";"777"
"Água Limpa";"2007";"17.458";"...";"16.661";"6.055";"726";"9.880";"5.832";"797"
"Água Limpa";"2008";"19.893";"...";"19.035";"7.241";"730";"11.064";"6.636";"858"
"Água Limpa";"2009";"22.628";"...";"21.758";"9.357";"805";"11.595";"6.815";"870"
"Água Limpa";"2010";"28.740";"14.284,26";"27.336";"11.963";"1.218";"6.595";"7.560";"1.404"
"Água Limpa";"2011";"31.997";"16.006,72";"30.389";"13.608";"1.148";"7.163";"8.471";"1.608"
"Água Limpa";"2012";"35.913";"18.092,13";"34.075";"15.004";"1.296";"8.584";"9.192";"1.838"
"Água Limpa";"2013";"41.046";"20.309,73";"39.115";"18.356";"1.552";"8.500";"10.707";"1.931"
"Água Limpa";"2014";"46.816";"23.326,14";"44.652";"21.421";"1.506";"9.761";"11.964";"2.164"
"Água Limpa";"2015";"45.425";"22.792,39";"43.151";"18.446";"1.620";"10.846";"12.239";"2.274"
"Água Limpa";"2016";"43.637";"22.038,95";"41.280";"16.061";"1.595";"11.204";"12.421";"2.357"
"Águas Lindas de Goiás";"2002";"209.476";"...";"197.412";"235";"7.486";"189.690";"104.268";"12.065"
"Águas Lindas de Goiás";"2003";"263.778";"...";"246.960";"219";"11.249";"235.492";"132.972";"16.818"
"Águas Lindas de Goiás";"2004";"291.729";"...";"275.738";"224";"20.293";"255.221";"147.716";"15.991"
"Águas Lindas de Goiás";"2005";"347.753";"...";"329.892";"253";"20.731";"308.908";"184.321";"17.861"
"Águas Lindas de Goiás";"2006";"407.393";"...";"387.594";"337";"25.504";"361.753";"215.008";"19.799"
"Águas Lindas de Goiás";"2007";"428.634";"...";"403.848";"504";"31.856";"371.488";"201.562";"24.786"
"Águas Lindas de Goiás";"2008";"499.763";"...";"470.109";"608";"41.310";"428.191";"225.554";"29.655"
"Águas Lindas de Goiás";"2009";"613.317";"...";"578.479";"790";"64.365";"513.324";"263.074";"34.838"
"Águas Lindas de Goiás";"2010";"767.597";"4.812,37";"719.596";"1.105";"90.263";"310.542";"317.686";"48.001"
"Águas Lindas de Goiás";"2011";"895.899";"5.479,67";"832.655";"1.204";"98.494";"370.299";"362.658";"63.243"
"Águas Lindas de Goiás";"2012";"1.068.450";"6.379,68";"997.523";"1.454";"127.786";"469.794";"398.489";"70.928"
"Águas Lindas de Goiás";"2013";"1.235.512";"6.945,37";"1.151.194";"6.943";"137.753";"528.867";"477.631";"84.319"
"Águas Lindas de Goiás";"2014";"1.430.318";"7.836,24";"1.332.471";"2.942";"150.214";"644.472";"534.843";"97.847"
"Águas Lindas de Goiás";"2015";"1.543.370";"8.250,14";"1.423.102";"3.294";"137.153";"707.378";"575.278";"120.267"
"Águas Lindas de Goiás";"2016";"1.629.819";"8.510,85";"1.500.994";"3.198";"127.956";"741.497";"628.342";"128.825"
"Alexânia";"2002";"71.512";"...";"65.466";"12.819";"4.370";"48.277";"19.982";"6.046"
"Alexânia";"2003";"139.302";"...";"115.145";"16.690";"31.999";"66.455";"24.006";"24.157"
"Alexânia";"2004";"198.407";"...";"153.239";"18.428";"52.877";"81.935";"27.001";"45.168"
"Alexânia";"2005";"248.972";"...";"196.033";"15.928";"78.992";"101.113";"30.102";"52.939"
"Alexânia";"2006";"279.472";"...";"221.962";"14.567";"93.810";"113.585";"29.765";"57.510"
"Alexânia";"2007";"281.310";"...";"223.324";"19.524";"90.087";"113.712";"29.923";"57.986"
"Alexânia";"2008";"267.850";"...";"215.902";"20.509";"71.661";"123.733";"42.555";"51.947"
"Alexânia";"2009";"307.293";"...";"258.896";"22.393";"90.934";"145.569";"43.850";"48.396"
"Alexânia";"2010";"344.662";"14.464,56";"298.417";"26.228";"95.038";"119.918";"57.232";"46.245"
"Alexânia";"2011";"366.052";"15.186,37";"313.183";"23.257";"96.906";"129.933";"63.087";"52.870"
"Alexânia";"2012";"474.728";"19.469,62";"412.750";"40.319";"100.843";"201.631";"69.957";"61.978"
"Alexânia";"2013";"631.152";"24.782,15";"541.203";"52.263";"125.275";"282.905";"80.760";"89.948"
"Alexânia";"2014";"669.606";"25.948,70";"578.071";"57.582";"107.600";"321.596";"91.292";"91.536"
"Alexânia";"2015";"730.593";"27.954,58";"640.268";"55.520";"131.062";"358.731";"94.954";"90.325"
"Alexânia";"2016";"1.400.948";"52.951,89";"1.168.019";"49.970";"145.341";"872.356";"100.353";"232.929"
"Aloândia";"2002";"9.984";"...";"9.439";"2.212";"379";"6.848";"3.635";"545"
"Aloândia";"2003";"10.477";"...";"9.837";"2.457";"411";"6.968";"3.664";"640"
"Aloândia";"2004";"10.380";"...";"9.806";"2.646";"529";"6.630";"3.310";"575"
"Aloândia";"2005";"12.130";"...";"11.423";"2.473";"494";"8.455";"4.471";"707"
"Aloândia";"2006";"13.557";"...";"12.733";"2.300";"727";"9.706";"4.920";"824"
"Aloândia";"2007";"13.879";"...";"12.967";"2.566";"758";"9.644";"4.598";"912"
"Aloândia";"2008";"16.925";"...";"15.932";"3.950";"755";"11.227";"5.397";"993"
"Aloândia";"2009";"19.024";"...";"17.937";"4.532";"890";"12.514";"5.734";"1.087"
"Aloândia";"2010";"21.338";"10.439,41";"20.156";"4.519";"1.165";"7.593";"6.879";"1.182"
"Aloândia";"2011";"23.979";"11.720,04";"22.565";"5.153";"1.349";"8.187";"7.875";"1.415"
"Aloândia";"2012";"28.317";"13.880,67";"26.786";"6.755";"1.756";"9.633";"8.642";"1.531"
"Aloândia";"2013";"31.688";"15.168,95";"29.963";"8.426";"1.988";"10.117";"9.431";"1.725"
"Aloândia";"2014";"34.091";"16.358,45";"32.249";"8.013";"1.823";"11.629";"10.784";"1.842"
"Aloândia";"2015";"35.589";"17.118,20";"33.732";"8.351";"2.035";"11.735";"11.610";"1.857"
"Aloândia";"2016";"38.746";"18.672,82";"36.894";"11.119";"2.127";"12.265";"11.384";"1.852"
"Alto Horizonte";"2002";"10.584";"...";"10.028";"4.219";"314";"5.495";"3.346";"556"
"Alto Horizonte";"2003";"11.780";"...";"11.188";"4.684";"295";"6.210";"3.994";"591"
"Alto Horizonte";"2004";"12.875";"...";"12.245";"5.135";"389";"6.721";"4.184";"630"
"Alto Horizonte";"2005";"17.471";"...";"15.392";"4.355";"927";"10.110";"5.061";"2.079"
"Alto Horizonte";"2006";"27.028";"...";"21.903";"3.963";"3.333";"14.607";"5.711";"5.124"
"Alto Horizonte";"2007";"427.020";"...";"408.662";"5.166";"325.408";"78.088";"7.557";"18.357"
"Alto Horizonte";"2008";"367.901";"...";"342.183";"6.338";"264.795";"71.050";"10.933";"25.719"
"Alto Horizonte";"2009";"515.954";"...";"486.684";"7.234";"381.458";"97.992";"11.916";"29.270"
"Alto Horizonte";"2010";"742.108";"164.729,91";"720.150";"8.601";"559.067";"136.158";"16.324";"21.959"
"Alto Horizonte";"2011";"836.569";"179.752,72";"804.504";"9.900";"619.712";"153.790";"21.103";"32.065"
"Alto Horizonte";"2012";"819.474";"170.759,26";"791.255";"11.010";"598.219";"156.973";"25.054";"28.219"
"Alto Horizonte";"2013";"568.339";"110.571,79";"544.699";"11.939";"393.347";"108.287";"31.125";"23.640"
"Alto Horizonte";"2014";"471.755";"88.893,00";"444.855";"10.419";"296.474";"98.454";"39.508";"26.900"
"Alto Horizonte";"2015";"509.306";"93.109,00";"490.736";"11.372";"333.665";"108.204";"37.495";"18.570"
"Alto Horizonte";"2016";"392.194";"69.673,86";"374.967";"11.393";"238.039";"86.914";"38.621";"17.228"
"Alto Paraíso de Goiás";"2002";"25.371";"...";"23.426";"4.573";"1.444";"17.409";"7.193";"1.945"
"Alto Paraíso de Goiás";"2003";"28.611";"...";"26.254";"5.695";"1.613";"18.947";"7.848";"2.357"
"Alto Paraíso de Goiás";"2004";"32.678";"...";"30.361";"6.209";"2.104";"22.048";"9.186";"2.316"
"Alto Paraíso de Goiás";"2005";"40.569";"...";"37.537";"6.169";"2.301";"29.066";"11.813";"3.032"
"Alto Paraíso de Goiás";"2006";"39.961";"...";"37.469";"6.204";"2.377";"28.888";"12.042";"2.492"
"Alto Paraíso de Goiás";"2007";"46.524";"...";"43.953";"9.592";"2.763";"31.597";"12.784";"2.571"
"Alto Paraíso de Goiás";"2008";"54.571";"...";"51.263";"12.024";"2.819";"36.420";"14.674";"3.308"
"Alto Paraíso de Goiás";"2009";"58.771";"...";"55.363";"12.873";"3.277";"39.213";"15.038";"3.409"
"Alto Paraíso de Goiás";"2010";"63.705";"9.280,98";"60.112";"13.061";"3.840";"26.574";"16.637";"3.592"
"Alto Paraíso de Goiás";"2011";"77.351";"11.147,32";"72.675";"16.448";"4.614";"31.463";"20.151";"4.676"
"Alto Paraíso de Goiás";"2012";"94.099";"13.458,06";"88.448";"22.790";"5.706";"37.438";"22.514";"5.651"
"Alto Paraíso de Goiás";"2013";"104.915";"14.447,15";"97.677";"25.030";"8.086";"40.821";"23.739";"7.239"
"Alto Paraíso de Goiás";"2014";"119.122";"16.255,80";"110.774";"25.839";"7.241";"51.457";"26.237";"8.348"
"Alto Paraíso de Goiás";"2015";"138.595";"18.751,91";"129.519";"36.010";"8.568";"57.532";"27.408";"9.077"
"Alto Paraíso de Goiás";"2016";"160.143";"21.484,13";"150.830";"48.494";"9.572";"63.801";"28.964";"9.313"
"Alvorada do Norte";"2002";"25.053";"...";"23.209";"3.811";"1.107";"18.292";"7.572";"1.843"
"Alvorada do Norte";"2003";"30.738";"...";"28.015";"4.622";"1.669";"21.723";"8.468";"2.724"
"Alvorada do Norte";"2004";"36.951";"...";"33.798";"5.189";"2.438";"26.171";"9.662";"3.154"
"Alvorada do Norte";"2005";"41.091";"...";"37.354";"4.467";"2.495";"30.392";"10.777";"3.737"
"Alvorada do Norte";"2006";"48.728";"...";"44.259";"3.887";"2.740";"37.632";"12.320";"4.469"
"Alvorada do Norte";"2007";"53.455";"...";"49.196";"4.792";"2.894";"41.511";"15.249";"4.259"
"Alvorada do Norte";"2008";"60.397";"...";"55.627";"6.265";"2.720";"46.642";"18.152";"4.770"
"Alvorada do Norte";"2009";"62.375";"...";"58.091";"7.451";"2.922";"47.718";"18.543";"4.285"
"Alvorada do Norte";"2010";"72.651";"8.976,97";"67.625";"10.418";"4.058";"32.586";"20.562";"5.026"
"Alvorada do Norte";"2011";"75.352";"9.274,10";"69.662";"9.203";"4.676";"33.376";"22.407";"5.690"
"Alvorada do Norte";"2012";"91.361";"11.190,66";"85.245";"10.917";"9.610";"39.924";"24.795";"6.116"
"Alvorada do Norte";"2013";"95.557";"11.311,22";"88.894";"14.586";"7.300";"39.787";"27.221";"6.663"
"Alvorada do Norte";"2014";"104.709";"12.320,18";"96.871";"12.928";"7.398";"47.362";"29.184";"7.838"
"Alvorada do Norte";"2015";"108.787";"12.725,14";"101.152";"14.092";"5.691";"50.125";"31.244";"7.636"
"Alvorada do Norte";"2016";"112.651";"13.101,98";"105.371";"15.458";"7.625";"48.809";"33.479";"7.280"
"Amaralina";"2002";"12.070";"...";"11.635";"5.793";"267";"5.576";"3.844";"435"
"Amaralina";"2003";"13.934";"...";"13.310";"6.876";"284";"6.150";"3.904";"624"
"Amaralina";"2004";"16.085";"...";"15.443";"7.948";"452";"7.043";"4.502";"642"
"Amaralina";"2005";"16.837";"...";"16.035";"7.763";"416";"7.856";"4.926";"802"
"Amaralina";"2006";"19.307";"...";"18.391";"8.115";"544";"9.732";"6.090";"917"
"Amaralina";"2007";"23.649";"...";"22.638";"10.519";"715";"11.403";"7.487";"1.011"
"Amaralina";"2008";"30.827";"...";"29.823";"16.589";"719";"12.515";"8.344";"1.004"
"Amaralina";"2009";"31.223";"...";"30.122";"16.850";"754";"12.519";"8.199";"1.100"
"Amaralina";"2010";"33.360";"9.742,90";"32.150";"16.816";"903";"4.695";"9.736";"1.210"
"Amaralina";"2011";"36.615";"10.576,17";"35.296";"17.907";"942";"5.207";"11.241";"1.319"
"Amaralina";"2012";"42.720";"12.244,23";"41.360";"21.953";"1.078";"5.922";"12.408";"1.360"
"Amaralina";"2013";"48.295";"13.322,85";"46.829";"25.089";"1.429";"6.595";"13.716";"1.467"
"Amaralina";"2014";"45.020";"12.307,31";"43.498";"21.057";"1.315";"6.474";"14.651";"1.523"
"Amaralina";"2015";"47.888";"12.974,27";"46.259";"24.098";"1.506";"6.777";"13.878";"1.629"
"Amaralina";"2016";"51.044";"13.710,48";"49.395";"24.772";"1.553";"7.090";"15.980";"1.649"
"Americano do Brasil";"2002";"19.240";"...";"18.488";"4.783";"2.967";"10.738";"5.750";"753"
"Americano do Brasil";"2003";"22.856";"...";"21.898";"5.690";"4.566";"11.642";"5.853";"957"
"Americano do Brasil";"2004";"21.096";"...";"20.221";"6.239";"2.333";"11.649";"6.315";"875"
"Americano do Brasil";"2005";"20.427";"...";"19.509";"5.174";"1.616";"12.719";"6.936";"917"
"Americano do Brasil";"2006";"30.159";"...";"28.297";"6.929";"4.334";"17.035";"8.249";"1.861"
"Americano do Brasil";"2007";"72.292";"...";"67.830";"6.479";"34.445";"26.907";"9.715";"4.462"
"Americano do Brasil";"2008";"63.997";"...";"59.357";"8.058";"25.173";"26.126";"10.886";"4.640"
"Americano do Brasil";"2009";"65.259";"...";"60.733";"10.038";"24.195";"26.500";"10.922";"4.526"
"Americano do Brasil";"2010";"72.071";"13.084,70";"65.985";"9.792";"24.364";"17.016";"14.813";"6.086"
"Americano do Brasil";"2011";"103.734";"18.680,73";"96.193";"12.485";"44.268";"22.969";"16.471";"7.541"
"Americano do Brasil";"2012";"95.135";"17.003,54";"88.438";"12.776";"34.049";"23.431";"18.182";"6.697"
"Americano do Brasil";"2013";"70.177";"12.072,34";"65.609";"7.893";"20.296";"18.488";"18.932";"4.567"
"Americano do Brasil";"2014";"58.641";"9.996,70";"56.042";"10.185";"8.751";"16.629";"20.477";"2.598"
"Americano do Brasil";"2015";"73.450";"12.411,30";"65.185";"18.856";"6.568";"17.860";"21.901";"8.265"
"Americano do Brasil";"2016";"81.818";"13.707,17";"78.636";"31.180";"5.189";"19.427";"22.839";"3.182"
"Amorinópolis";"2002";"14.059";"...";"13.310";"5.123";"783";"7.404";"4.406";"749"
"Amorinópolis";"2003";"18.440";"...";"17.335";"6.946";"1.427";"8.962";"5.001";"1.105"
"Amorinópolis";"2004";"20.982";"...";"19.868";"8.157";"1.680";"10.031";"5.697";"1.114"
"Amorinópolis";"2005";"21.703";"...";"20.267";"6.475";"2.427";"11.366";"6.484";"1.436"
"Amorinópolis";"2006";"22.937";"...";"21.430";"5.215";"3.646";"12.569";"6.870";"1.507"
"Amorinópolis";"2007";"27.014";"...";"25.198";"6.200";"4.942";"14.057";"7.564";"1.816"
"Amorinópolis";"2008";"30.360";"...";"28.252";"7.969";"5.099";"15.185";"7.922";"2.108"
"Amorinópolis";"2009";"33.818";"...";"31.525";"8.328";"6.722";"16.474";"8.510";"2.293"
"Amorinópolis";"2010";"37.134";"10.295,06";"34.686";"9.925";"6.503";"8.569";"9.689";"2.448"
"Amorinópolis";"2011";"42.640";"11.950,72";"39.760";"12.031";"6.837";"9.799";"11.092";"2.880"
"Amorinópolis";"2012";"49.002";"13.885,38";"45.735";"12.680";"8.778";"12.191";"12.085";"3.267"
"Amorinópolis";"2013";"57.897";"16.217,54";"54.180";"16.181";"10.747";"12.940";"14.313";"3.716"
"Amorinópolis";"2014";"53.576";"15.185,98";"51.062";"20.412";"3.375";"11.861";"15.415";"2.514"
"Amorinópolis";"2015";"51.716";"14.831,02";"49.728";"21.430";"1.889";"10.933";"15.476";"1.987"
"Amorinópolis";"2016";"54.682";"15.863,76";"52.612";"23.761";"1.964";"11.277";"15.610";"2.070"
"Anápolis";"2002";"2.212.746";"...";"1.824.878";"15.144";"610.267";"1.199.467";"283.182";"387.868"
"Anápolis";"2003";"2.686.191";"...";"2.238.267";"17.303";"799.836";"1.421.127";"327.874";"447.923"
"Anápolis";"2004";"2.793.276";"...";"2.423.112";"17.233";"842.347";"1.563.532";"388.810";"370.164"
"Anápolis";"2005";"3.067.811";"...";"2.654.656";"14.563";"930.228";"1.709.865";"420.819";"413.155"
"Anápolis";"2006";"4.165.157";"...";"3.550.294";"13.741";"1.243.591";"2.292.962";"480.083";"614.863"
"Anápolis";"2007";"5.095.896";"...";"4.124.776";"18.015";"1.594.802";"2.511.959";"543.869";"971.120"
"Anápolis";"2008";"6.934.914";"...";"5.378.190";"19.028";"2.514.307";"2.844.855";"590.685";"1.556.724"
"Anápolis";"2009";"8.785.563";"...";"6.854.267";"22.156";"3.366.785";"3.465.326";"635.184";"1.931.296"
"Anápolis";"2010";"11.060.524";"33.013,34";"8.011.647";"27.269";"3.913.010";"3.304.694";"766.673";"3.048.877"
"Anápolis";"2011";"11.753.144";"34.716,64";"8.181.065";"26.686";"3.371.985";"3.916.434";"865.959";"3.572.079"
"Anápolis";"2012";"11.547.000";"33.728,93";"9.019.120";"41.631";"3.548.578";"4.442.721";"986.190";"2.527.879"
"Anápolis";"2013";"11.881.962";"33.245,37";"9.618.628";"56.048";"3.843.219";"4.592.398";"1.126.963";"2.263.334"
"Anápolis";"2014";"12.724.772";"35.152,18";"10.519.436";"51.452";"3.679.506";"5.520.322";"1.268.155";"2.205.337"
"Anápolis";"2015";"13.301.356";"36.293,81";"11.104.159";"50.278";"4.131.330";"5.556.561";"1.365.990";"2.197.197"
"Anápolis";"2016";"13.118.759";"35.372,45";"11.067.047";"54.165";"3.712.361";"5.874.020";"1.426.500";"2.051.712"
"Anhanguera";"2002";"4.736";"...";"4.537";"676";"254";"3.607";"2.311";"199"
"Anhanguera";"2003";"5.317";"...";"5.102";"848";"210";"4.044";"2.641";"214"
"Anhanguera";"2004";"5.944";"...";"5.679";"795";"286";"4.597";"2.971";"265"
"Anhanguera";"2005";"6.389";"...";"6.123";"714";"293";"5.116";"3.320";"266"
"Anhanguera";"2006";"7.259";"...";"6.962";"605";"455";"5.902";"3.813";"297"
"Anhanguera";"2007";"9.986";"...";"9.639";"1.084";"568";"7.987";"5.459";"348"
"Anhanguera";"2008";"8.935";"...";"8.626";"976";"446";"7.204";"4.933";"309"
"Anhanguera";"2009";"12.907";"...";"12.509";"1.306";"709";"10.495";"7.244";"398"
"Anhanguera";"2010";"11.491";"11.299,36";"11.029";"1.577";"869";"3.101";"5.482";"462"
"Anhanguera";"2011";"12.418";"12.055,97";"11.928";"1.693";"1.092";"3.108";"6.035";"489"
"Anhanguera";"2012";"13.492";"12.985,77";"12.936";"2.001";"897";"3.700";"6.338";"556"
"Anhanguera";"2013";"14.085";"13.017,18";"13.640";"2.267";"1.026";"3.324";"7.022";"445"
"Anhanguera";"2014";"15.162";"13.871,53";"14.676";"2.158";"1.175";"3.739";"7.604";"485"
"Anhanguera";"2015";"15.907";"14.408,17";"15.385";"2.081";"1.180";"3.965";"8.158";"522"
