Localidade	Ano	Gini
Ceres	1991	0,61
Ceres	2000	0,6
Ceres	2010	0,53
Cezarina	1991	0,53
Cezarina	2000	0,52
Cezarina	2010	0,48
Chapadão do Céu	1991	0,5
Chapadão do Céu	2000	0,62
Chapadão do Céu	2010	0,42
Cidade Ocidental	1991	0,47
Cidade Ocidental	2000	0,51
Cidade Ocidental	2010	0,52
Cocalzinho de Goiás	1991	0,57
Cocalzinho de Goiás	2000	0,54
Cocalzinho de Goiás	2010	0,49
Colinas do Sul	1991	0,59
Colinas do Sul	2000	0,62
Colinas do Sul	2010	0,51
Córrego do Ouro	1991	0,48
Córrego do Ouro	2000	0,53
Córrego do Ouro	2010	0,49
Corumbá de Goiás	1991	0,56
Corumbá de Goiás	2000	0,6
Corumbá de Goiás	2010	0,52
Corumbaíba	1991	0,5
Corumbaíba	2000	0,52
Corumbaíba	2010	0,48
Cristalina	1991	0,51
Cristalina	2000	0,61
Cristalina	2010	0,58
Cristianópolis	1991	0,56
Cristianópolis	2000	0,54
Cristianópolis	2010	0,53
Crixás	1991	0,58
Crixás	2000	0,56
Crixás	2010	0,56
Cromínia	1991	0,54
Cromínia	2000	0,54
Cromínia	2010	0,52
Cumari	1991	0,52
Cumari	2000	0,52
Cumari	2010	0,59
Damianópolis	1991	0,52
Damianópolis	2000	0,55
Damianópolis	2010	0,56
Damolândia	1991	0,53
Damolândia	2000	0,5
Damolândia	2010	0,49
Davinópolis	1991	0,5
Davinópolis	2000	0,49
Davinópolis	2010	0,4
Diorama	1991	0,47
Diorama	2000	0,54
Diorama	2010	0,41
Divinópolis de Goiás	1991	0,59
Divinópolis de Goiás	2000	0,56
Divinópolis de Goiás	2010	0,59
Doverlândia	1991	0,54
Doverlândia	2000	0,58
Doverlândia	2010	0,46
Edealina	1991	0,53
Edealina	2000	0,56
Edealina	2010	0,51
Edéia	1991	0,6
Edéia	2000	0,59
Edéia	2010	0,54
Estrela do Norte	1991	0,53
Estrela do Norte	2000	0,55
Estrela do Norte	2010	0,48
Faina	1991	0,55
Faina	2000	0,56
Faina	2010	0,47
Fazenda Nova	1991	0,5
Fazenda Nova	2000	0,52
Fazenda Nova	2010	0,47
Firminópolis	1991	0,58
Firminópolis	2000	0,55
Firminópolis	2010	0,44
Flores de Goiás	1991	0,54
Flores de Goiás	2000	0,67
Flores de Goiás	2010	0,63
Formosa	1991	0,68
Formosa	2000	0,63
Formosa	2010	0,56
Formoso	1991	0,56
Formoso	2000	0,61
Formoso	2010	0,57
Gameleira de Goiás	1991	
Gameleira de Goiás	2000	
Gameleira de Goiás	2010	0,54
Goianápolis	1991	0,54
Goianápolis	2000	0,48
Goianápolis	2010	0,53
Goiandira	1991	0,54
Goiandira	2000	0,52
Goiandira	2010	0,43
Goianésia	1991	0,52
Goianésia	2000	0,54
Goianésia	2010	0,47
Goiânia	1991	0,44
Goiânia	2000	0,46
Goiânia	2010	0,59
Goianira	1991	0,56
Goianira	2000	0,66
Goianira	2010	0,41
Goiás	1991	0,57
Goiás	2000	0,53
Goiás	2010	0,53
Goiatuba	1991	0,57
Goiatuba	2000	0,61
Goiatuba	2010	0,52
Gouvelândia	1991	0,57
Gouvelândia	2000	0,5
Gouvelândia	2010	0,45
Guapó	1991	0,47
Guapó	2000	0,51
Guapó	2010	0,56
Guaraíta	1991	0,56
Guaraíta	2000	0,5
Guaraíta	2010	0,42
Guarani de Goiás	1991	0,52
Guarani de Goiás	2000	0,58
Guarani de Goiás	2010	0,49
Guarinos	1991	0,53
Guarinos	2000	0,59
Guarinos	2010	0,47
Heitoraí	1991	0,53
Heitoraí	2000	0,55
Heitoraí	2010	0,53
Hidrolândia	1991	0,48
Hidrolândia	2000	0,52
Hidrolândia	2010	0,47
Hidrolina	1991	0,52
Hidrolina	2000	0,64
Hidrolina	2010	0,43
Iaciara	1991	0,62
Iaciara	2000	0,64
Iaciara	2010	0,55
Inaciolândia	1991	0,51
Inaciolândia	2000	0,57
Inaciolândia	2010	0,45
Indiara	1991	0,53
Indiara	2000	0,55
Indiara	2010	0,46
Inhumas	1991	0,52
Inhumas	2000	0,57
Inhumas	2010	0,47
Ipameri	1991	0,52
Ipameri	2000	0,49
Ipameri	2010	0,51
Ipiranga de Goiás	1991	
Ipiranga de Goiás	2000	
Ipiranga de Goiás	2010	0,43
Iporá	1991	0,49
Iporá	2000	0,55
Iporá	2010	0,52
Israelândia	1991	0,46
Israelândia	2000	0,52
Israelândia	2010	0,44
Itaberaí	1991	0,59
Itaberaí	2000	0,64
Itaberaí	2010	0,56
Itaguari	1991	0,48
Itaguari	2000	0,53
Itaguari	2010	0,39
Itaguaru	1991	0,53
Itaguaru	2000	0,59
Itaguaru	2010	0,46
Itajá	1991	0,52
Itajá	2000	0,54
Itajá	2010	0,45
Itapaci	1991	0,61
Itapaci	2000	0,53
Itapaci	2010	0,56
Itapirapuã	1991	0,56
Itapirapuã	2000	0,52
Itapirapuã	2010	0,46
Itapuranga	1991	0,55
Itapuranga	2000	0,6
Itapuranga	2010	0,49
Itarumã	1991	0,55
Itarumã	2000	0,59
Itarumã	2010	0,6
Itauçu	1991	0,51
Itauçu	2000	0,5
Itauçu	2010	0,46
Itumbiara	1991	0,56
Itumbiara	2000	0,56
Itumbiara	2010	0,49
Ivolândia	1991	0,48
Ivolândia	2000	0,53
Ivolândia	2010	0,46
Jandaia	1991	0,55
Jandaia	2000	0,55
Jandaia	2010	0,45
Jaraguá	1991	0,56
Jaraguá	2000	0,53
Jaraguá	2010	0,47
Jataí	1991	0,6
Jataí	2000	0,59
Jataí	2010	0,57
Jaupaci	1991	0,52
Jaupaci	2000	0,53
Jaupaci	2010	0,42
Jesúpolis	1991	0,51
Jesúpolis	2000	0,53
Jesúpolis	2010	0,45
Joviânia	1991	0,61
Joviânia	2000	0,66
Joviânia	2010	0,49
Jussara	1991	0,56
Jussara	2000	0,58
Jussara	2010	0,66
Lagoa Santa	1991	
Lagoa Santa	2000	
Lagoa Santa	2010	0,52
Leopoldo de Bulhões	1991	0,5
Leopoldo de Bulhões	2000	0,54
Leopoldo de Bulhões	2010	0,45
Luziânia	1991	0,53
Luziânia	2000	0,57
Luziânia	2010	0,51
Mairipotaba	1991	0,54
Mairipotaba	2000	0,56
Mairipotaba	2010	0,68
Mambaí	1991	0,54
Mambaí	2000	0,56
Mambaí	2010	0,55
Mara Rosa	1991	0,62
Mara Rosa	2000	0,58
Mara Rosa	2010	0,49
Marzagão	1991	0,54
Marzagão	2000	0,54
Marzagão	2010	0,47
Matrinchã	1991	0,56
Matrinchã	2000	0,52
Matrinchã	2010	0,42
Maurilândia	1991	0,51
Maurilândia	2000	0,46
Maurilândia	2010	0,42
Mimoso de Goiás	1991	0,51
Mimoso de Goiás	2000	0,58
Mimoso de Goiás	2010	0,59
Minaçu	1991	0,55
Minaçu	2000	0,54
Minaçu	2010	0,55
Mineiros	1991	0,63
Mineiros	2000	0,61
Mineiros	2010	0,56
Moiporá	1991	0,52
Moiporá	2000	0,52
Moiporá	2010	0,43
Monte Alegre de Goiás	1991	0,61
Monte Alegre de Goiás	2000	0,64
Monte Alegre de Goiás	2010	0,61
Montes Claros de Goiás	1991	0,58
Montes Claros de Goiás	2000	0,55
Montes Claros de Goiás	2010	0,5
Montividiu	1991	0,54
Montividiu	2000	0,61
Montividiu	2010	0,48
Montividiu do Norte	1991	0,56
Montividiu do Norte	2000	0,63
Montividiu do Norte	2010	0,57
Morrinhos	1991	0,51
Morrinhos	2000	0,67
Morrinhos	2010	0,5
Morro Agudo de Goiás	1991	0,51
Morro Agudo de Goiás	2000	0,51
Morro Agudo de Goiás	2010	0,42
Mossâmedes	1991	0,56
Mossâmedes	2000	0,62
Mossâmedes	2010	0,51
Mozarlândia	1991	0,52
Mozarlândia	2000	0,78
Mozarlândia	2010	0,44
Mundo Novo	1991	0,56
Mundo Novo	2000	0,55
Mundo Novo	2010	0,48
Mutunópolis	1991	0,56
Mutunópolis	2000	0,57
Mutunópolis	2010	0,55
Nazário	1991	0,51
Nazário	2000	0,51
Nazário	2010	0,5
Nerópolis	1991	0,48
Nerópolis	2000	0,54
Nerópolis	2010	0,43
Niquelândia	1991	0,54
Niquelândia	2000	0,63
Niquelândia	2010	0,54
Nova América	1991	0,51
Nova América	2000	0,48
Nova América	2010	0,37
Nova Aurora	1991	0,52
Nova Aurora	2000	0,52
Nova Aurora	2010	0,44
Nova Crixás	1991	0,53
Nova Crixás	2000	0,6
Nova Crixás	2010	0,5
Nova Glória	1991	0,48
Nova Glória	2000	0,56
Nova Glória	2010	0,49
Nova Iguaçu de Goiás	1991	0,59
Nova Iguaçu de Goiás	2000	0,63
Nova Iguaçu de Goiás	2010	0,4
Nova Roma	1991	0,56
Nova Roma	2000	0,59
Nova Roma	2010	0,46
Nova Veneza	1991	0,54
Nova Veneza	2000	0,5
Nova Veneza	2010	0,43
Novo Brasil	1991	0,56
Novo Brasil	2000	0,53
Novo Brasil	2010	0,44
Novo Gama	1991	0,47
Novo Gama	2000	0,53
Novo Gama	2010	0,49
Novo Planalto	1991	0,5
Novo Planalto	2000	0,54
Novo Planalto	2010	0,51
Orizona	1991	0,56
Orizona	2000	0,56
Orizona	2010	0,51
Ouro Verde de Goiás	1991	0,53
Ouro Verde de Goiás	2000	0,55
Ouro Verde de Goiás	2010	0,49
Ouvidor	1991	0,59
Ouvidor	2000	0,52
Ouvidor	2010	0,45
Padre Bernardo	1991	0,52
Padre Bernardo	2000	0,64
Padre Bernardo	2010	0,57
Palestina de Goiás	1991	0,47
Palestina de Goiás	2000	0,54
Palestina de Goiás	2010	0,39
Palmeiras de Goiás	1991	0,55
Palmeiras de Goiás	2000	0,53
Palmeiras de Goiás	2010	0,45
Palmelo	1991	0,51
Palmelo	2000	0,51
Palmelo	2010	0,58
Palminópolis	1991	0,55
Palminópolis	2000	0,55
Palminópolis	2010	0,53
Panamá	1991	0,49
Panamá	2000	0,52
Panamá	2010	0,44
Paranaiguara	1991	0,56
Paranaiguara	2000	0,6
Paranaiguara	2010	0,44
Paraúna	1991	0,57
Paraúna	2000	0,62
Paraúna	2010	0,48
Perolândia	1991	0,55
Perolândia	2000	0,58
Perolândia	2010	0,5
Petrolina de Goiás	1991	0,49
Petrolina de Goiás	2000	0,56
Petrolina de Goiás	2010	0,42
Pilar de Goiás	1991	0,55
Pilar de Goiás	2000	0,54
Pilar de Goiás	2010	0,54
Piracanjuba	1991	0,64
Piracanjuba	2000	0,55
Piracanjuba	2010	0,48
Piranhas	1991	0,64
Piranhas	2000	0,57
Piranhas	2010	0,5
Pirenópolis	1991	0,54
Pirenópolis	2000	0,56
Pirenópolis	2010	0,5
Pires do Rio	1991	0,56
Pires do Rio	2000	0,61
Pires do Rio	2010	0,47
Planaltina	1991	0,46
Planaltina	2000	0,56
Planaltina	2010	0,45
Pontalina	1991	0,58
Pontalina	2000	0,69
Pontalina	2010	0,55
Porangatu	1991	0,56
Porangatu	2000	0,72
Porangatu	2010	0,57
Porteirão	1991	0,43
Porteirão	2000	0,63
Porteirão	2010	0,41
Portelândia	1991	0,5
Portelândia	2000	0,55
Portelândia	2010	0,4
Posse	1991	0,59
Posse	2000	0,6
Posse	2010	0,55
Professor Jamil	1991	0,56
Professor Jamil	2000	0,56
Professor Jamil	2010	0,44
Quirinópolis	1991	0,58
Quirinópolis	2000	0,53
Quirinópolis	2010	0,48
Rialma	1991	0,49
Rialma	2000	0,67
Rialma	2010	0,45
Rianápolis	1991	0,55
Rianápolis	2000	0,68
Rianápolis	2010	0,42
Rio Quente	1991	0,54
Rio Quente	2000	0,61
Rio Quente	2010	0,47
Rio Verde	1991	0,56
Rio Verde	2000	0,6
Rio Verde	2010	0,56
Rubiataba	1991	0,52
Rubiataba	2000	0,51
Rubiataba	2010	0,45
Sanclerlândia	1991	0,54
Sanclerlândia	2000	0,55
Sanclerlândia	2010	0,48
Santa Bárbara de Goiás	1991	0,48
Santa Bárbara de Goiás	2000	0,52
Santa Bárbara de Goiás	2010	0,39
Santa Cruz de Goiás	1991	0,55
Santa Cruz de Goiás	2000	0,56
Santa Cruz de Goiás	2010	0,49
Santa Fé de Goiás	1991	0,51
Santa Fé de Goiás	2000	0,48
Santa Fé de Goiás	2010	0,49
Santa Helena de Goiás	1991	0,54
Santa Helena de Goiás	2000	0,5
Santa Helena de Goiás	2010	0,53
Santa Isabel	1991	0,48
Santa Isabel	2000	0,5
Santa Isabel	2010	0,4
Santa Rita do Araguaia	1991	0,6
Santa Rita do Araguaia	2000	0,55
Santa Rita do Araguaia	2010	0,49
Santa Rita do Novo Destino	1991	0,51
Santa Rita do Novo Destino	2000	0,55
Santa Rita do Novo Destino	2010	0,45
Santa Rosa de Goiás	1991	0,57
Santa Rosa de Goiás	2000	0,55
Santa Rosa de Goiás	2010	0,43
Santa Tereza de Goiás	1991	0,54
Santa Tereza de Goiás	2000	0,61
Santa Tereza de Goiás	2010	0,53
Santa Terezinha de Goiás	1991	0,55
Santa Terezinha de Goiás	2000	0,59
Santa Terezinha de Goiás	2010	0,52
Santo Antônio da Barra	1991	0,49
Santo Antônio da Barra	2000	0,53
Santo Antônio da Barra	2010	0,44
Santo Antônio de Goiás	1991	0,43
Santo Antônio de Goiás	2000	0,52
Santo Antônio de Goiás	2010	0,44
Santo Antônio do Descoberto	1991	0,45
Santo Antônio do Descoberto	2000	0,52
Santo Antônio do Descoberto	2010	0,47
São Domingos	1991	0,52
São Domingos	2000	0,63
São Domingos	2010	0,62
São Francisco de Goiás	1991	0,5
São Francisco de Goiás	2000	0,55
São Francisco de Goiás	2010	0,47
São João d'Aliança	1991	0,54
São João d'Aliança	2000	0,7
São João d'Aliança	2010	0,5
São João da Paraúna	1991	0,47
São João da Paraúna	2000	0,57
São João da Paraúna	2010	0,54
São Luis de Montes Belos	1991	0,57
São Luis de Montes Belos	2000	0,54
São Luis de Montes Belos	2010	0,49
São Luiz do Norte	1991	0,48
São Luiz do Norte	2000	0,58
São Luiz do Norte	2010	0,4
São Miguel do Araguaia	1991	0,61
São Miguel do Araguaia	2000	0,6
São Miguel do Araguaia	2010	0,51
São Miguel do Passa Quatro	1991	0,52
São Miguel do Passa Quatro	2000	0,55
São Miguel do Passa Quatro	2010	0,44
São Patrício	1991	0,52
São Patrício	2000	0,53
São Patrício	2010	0,45
São Simão	1991	0,5
São Simão	2000	0,59
São Simão	2010	0,56
Senador Canedo	1991	0,41
Senador Canedo	2000	0,46
Senador Canedo	2010	0,44
Serranópolis	1991	0,52
Serranópolis	2000	0,58
Serranópolis	2010	0,49
Silvânia	1991	0,61
Silvânia	2000	0,59
Silvânia	2010	0,51
Simolândia	1991	0,5
Simolândia	2000	0,63
Simolândia	2010	0,48
Sítio d'Abadia	1991	0,59
Sítio d'Abadia	2000	0,61
Sítio d'Abadia	2010	0,57
Taquaral de Goiás	1991	0,51
Taquaral de Goiás	2000	0,59
Taquaral de Goiás	2010	0,44
Teresina de Goiás	1991	0,57
Teresina de Goiás	2000	0,66
Teresina de Goiás	2010	0,53
Terezópolis de Goiás	1991	0,41
Terezópolis de Goiás	2000	0,53
Terezópolis de Goiás	2010	0,44
Três Ranchos	1991	0,48
Três Ranchos	2000	0,5
Três Ranchos	2010	0,47
Trindade	1991	0,49
Trindade	2000	0,5
Trindade	2010	0,43
Trombas	1991	0,52
Trombas	2000	0,54
Trombas	2010	0,53
Turvânia	1991	0,53
Turvânia	2000	0,54
Turvânia	2010	0,5
Turvelândia	1991	0,49
Turvelândia	2000	0,58
Turvelândia	2010	0,45
Uirapuru	1991	0,52
Uirapuru	2000	0,59
Uirapuru	2010	0,45
Uruaçu	1991	0,58
Uruaçu	2000	0,58
Uruaçu	2010	0,58
Uruana	1991	0,58
Uruana	2000	0,55
Uruana	2010	0,48
Urutaí	1991	0,51
Urutaí	2000	0,52
Urutaí	2010	0,5
Valparaíso de Goiás	1991	0,5
Valparaíso de Goiás	2000	0,54
Valparaíso de Goiás	2010	0,53
Varjão	1991	0,54
Varjão	2000	0,5
Varjão	2010	0,47
Vianópolis	1991	0,57
Vianópolis	2000	0,67
Vianópolis	2010	0,47
Vicentinópolis	1991	0,59
Vicentinópolis	2000	0,61
Vicentinópolis	2010	0,48
Vila Boa	1991	0,51
Vila Boa	2000	0,57
Vila Boa	2010	0,49
Vila Propício	1991	0,48
Vila Propício	2000	0,54
Vila Propício	2010	0,52
