Localidade;Ano;Total;Federal;Estadual;Municipal;Particular
Abadia de Goiás;2017;96;;20;74;4
Abadia de Goiás;2018;117;16;28;85;5
Abadiânia;2000;131;;;;
Abadiânia;2001;159;;;;
Abadiânia;2002;143;;62;44;37
Abadiânia;2003;141;;59;50;32
Abadiânia;2004;147;;56;57;34
Abadiânia;2005;133;;51;57;25
Abadiânia;2006;131;;52;57;22
Abadiânia;2007;124;;51;53;25
Abadiânia;2008;140;;51;58;39
Abadiânia;2009;144;;55;57;39
Abadiânia;2010;144;;58;60;34
Abadiânia;2011;144;;57;58;36
Abadiânia;2012;148;;52;64;38
Abadiânia;2013;140;;53;53;45
Abadiânia;2014;144;;54;52;44
Abadiânia;2015;150;;56;53;50
Abadiânia;2016;149;;55;52;52
Abadiânia;2017;145;;54;51;47
Abadiânia;2018;158;36;60;48;53
Acreúna;2000;200;;;;
Acreúna;2001;200;;;;
Acreúna;2002;221;;91;71;59
Acreúna;2003;220;;94;79;47
Acreúna;2004;237;;88;87;62
Acreúna;2005;246;;85;95;66
Acreúna;2006;242;;84;96;62
Acreúna;2007;189;;80;84;56
Acreúna;2008;183;;76;86;47
Acreúna;2009;193;;75;95;52
Acreúna;2010;194;;72;105;52
Acreúna;2011;166;;69;94;43
Acreúna;2012;199;;61;116;62
Acreúna;2013;190;;61;113;54
Acreúna;2014;174;;59;98;46
Acreúna;2015;172;;63;93;44
Acreúna;2016;176;;63;89;47
Acreúna;2017;190;;65;91;55
Acreúna;2018;193;0;68;95;49
Adelândia;2000;32;;;;
Adelândia;2001;34;;;;
Adelândia;2002;31;;21;10;
Adelândia;2003;33;;23;10;
Adelândia;2004;35;;23;12;
Adelândia;2005;35;;21;14;
Adelândia;2006;33;;18;15;
Adelândia;2007;25;;17;8;
Adelândia;2008;29;;18;11;
Adelândia;2009;28;;20;10;
Adelândia;2010;36;;22;14;
Adelândia;2011;29;;17;12;
Adelândia;2012;23;;16;7;
Adelândia;2013;23;;15;8;
Adelândia;2014;27;;15;12;
Adelândia;2015;25;;14;11;
Adelândia;2016;27;;12;15;
Adelândia;2017;24;;11;14;
Adelândia;2018;27;0;13;14;0
Água Fria de Goiás;2000;55;;;;
Água Fria de Goiás;2001;58;;;;
Água Fria de Goiás;2002;59;;34;25;
Água Fria de Goiás;2003;65;;40;25;
Água Fria de Goiás;2004;64;;39;25;
Água Fria de Goiás;2005;64;;33;31;
Água Fria de Goiás;2006;70;;32;38;
Água Fria de Goiás;2007;59;;31;30;
Água Fria de Goiás;2008;57;;28;29;
Água Fria de Goiás;2009;68;;32;37;
Água Fria de Goiás;2010;66;;31;36;
Água Fria de Goiás;2011;65;;30;37;
Água Fria de Goiás;2012;67;;32;36;
Água Fria de Goiás;2013;61;;33;32;
Água Fria de Goiás;2014;61;;31;33;
Água Fria de Goiás;2015;55;;25;33;
Água Fria de Goiás;2016;54;;23;32;
Água Fria de Goiás;2017;58;;26;35;
Água Fria de Goiás;2018;60;24;29;34;0
Água Limpa;2000;32;;;;
Água Limpa;2001;35;;;;
Água Limpa;2002;32;;19;13;
Água Limpa;2003;24;;14;10;
Água Limpa;2004;30;;18;12;
Água Limpa;2005;28;;17;11;
Água Limpa;2006;30;;18;12;
Água Limpa;2007;24;;15;10;
Água Limpa;2008;24;;14;11;
Água Limpa;2009;25;;14;11;
Água Limpa;2010;22;;13;9;
Água Limpa;2011;24;;13;11;
Água Limpa;2012;26;;13;13;
Água Limpa;2013;24;;12;13;
Água Limpa;2014;28;;11;18;
Água Limpa;2015;27;;11;18;
Água Limpa;2016;29;;11;18;
Água Limpa;2017;33;;13;21;
Água Limpa;2018;31;0;11;20;0
Águas Lindas de Goiás;2000;525;;;;
Águas Lindas de Goiás;2001;714;;;;
Águas Lindas de Goiás;2002;720;;373;246;101
Águas Lindas de Goiás;2003;916;;396;362;158
Águas Lindas de Goiás;2004;940;;413;393;134
Águas Lindas de Goiás;2005;893;;407;408;78
Águas Lindas de Goiás;2006;1030;;448;409;173
Águas Lindas de Goiás;2007;875;;343;499;55
Águas Lindas de Goiás;2008;1074;;415;569;122
Águas Lindas de Goiás;2009;1064;;396;587;107
Águas Lindas de Goiás;2010;1170;;420;590;211
Águas Lindas de Goiás;2011;1304;;404;659;292
Águas Lindas de Goiás;2012;1325;;392;680;309
Águas Lindas de Goiás;2013;1345;;420;627;361
Águas Lindas de Goiás;2014;1575;13;433;783;407
Águas Lindas de Goiás;2015;1505;20;400;774;360
Águas Lindas de Goiás;2016;1637;35;429;802;434
Águas Lindas de Goiás;2017;1628;45;458;758;426
Águas Lindas de Goiás;2018;1687;75;469;773;478
Alexânia;2000;228;;;;
Alexânia;2001;223;;;;
Alexânia;2002;236;;80;106;50
Alexânia;2003;225;;84;117;24
Alexânia;2004;251;;85;125;41
Alexânia;2005;228;;73;125;30
Alexânia;2006;253;;81;124;48
Alexânia;2007;218;;71;122;41
Alexânia;2008;235;;80;145;33
Alexânia;2009;240;;81;137;48
Alexânia;2010;246;;86;143;46
Alexânia;2011;252;;87;145;39
Alexânia;2012;238;;76;138;38
Alexânia;2013;249;;78;137;50
Alexânia;2014;258;;78;143;56
Alexânia;2015;256;;77;140;58
Alexânia;2016;264;;80;146;52
Alexânia;2017;246;;81;142;53
Alexânia;2018;255;31;91;130;56
Aloândia;2000;23;;;;
Aloândia;2001;24;;;;
Aloândia;2002;24;;20;4;
Aloândia;2003;23;;19;4;
Aloândia;2004;22;;17;5;
Aloândia;2005;22;;17;5;
Aloândia;2006;20;;16;4;
Aloândia;2007;13;;9;4;
Aloândia;2008;19;;16;3;
Aloândia;2009;18;;16;2;
Aloândia;2010;21;;17;4;
Aloândia;2011;21;;17;5;
Aloândia;2012;17;;13;4;
Aloândia;2013;14;;12;2;
Aloândia;2014;15;;12;4;
Aloândia;2015;17;;14;4;
Aloândia;2016;16;;13;4;
Aloândia;2017;15;;12;4;
Aloândia;2018;15;0;12;4;0
Alto Horizonte;2000;40;;;;
Alto Horizonte;2001;40;;;;
Alto Horizonte;2002;38;;17;21;
Alto Horizonte;2003;45;;16;29;
Alto Horizonte;2004;34;;15;19;
Alto Horizonte;2005;36;;14;22;
Alto Horizonte;2006;43;;17;26;
Alto Horizonte;2007;38;;19;24;
Alto Horizonte;2008;37;;17;22;
Alto Horizonte;2009;45;;22;28;
Alto Horizonte;2010;53;;25;33;
Alto Horizonte;2011;51;;12;42;
Alto Horizonte;2012;79;;11;70;
Alto Horizonte;2013;69;;11;61;
Alto Horizonte;2014;66;;10;58;
Alto Horizonte;2015;74;;12;64;
Alto Horizonte;2016;64;;17;48;
Alto Horizonte;2017;63;;14;53;
Alto Horizonte;2018;81;0;18;66;0
Alto Paraíso de Goiás;2000;109;;;;
Alto Paraíso de Goiás;2001;111;;;;
Alto Paraíso de Goiás;2002;111;;49;49;13
Alto Paraíso de Goiás;2003;103;;47;45;11
Alto Paraíso de Goiás;2004;119;;41;56;22
Alto Paraíso de Goiás;2005;122;;39;60;23
Alto Paraíso de Goiás;2006;125;;52;51;22
Alto Paraíso de Goiás;2007;108;;35;58;25
Alto Paraíso de Goiás;2008;95;;33;48;23
Alto Paraíso de Goiás;2009;103;;36;48;31
Alto Paraíso de Goiás;2010;110;;39;49;35
Alto Paraíso de Goiás;2011;109;;38;50;34
Alto Paraíso de Goiás;2012;105;;28;50;37
Alto Paraíso de Goiás;2013;103;;26;53;32
Alto Paraíso de Goiás;2014;106;;23;54;36
Alto Paraíso de Goiás;2015;106;;21;50;40
Alto Paraíso de Goiás;2016;104;;21;47;42
Alto Paraíso de Goiás;2017;112;;22;46;46
Alto Paraíso de Goiás;2018;125;49;31;53;50
Alvorada do Norte;2000;128;;;;
Alvorada do Norte;2001;133;;;;
Alvorada do Norte;2002;133;;88;29;16
Alvorada do Norte;2003;114;;73;28;13
Alvorada do Norte;2004;140;;86;33;21
Alvorada do Norte;2005;157;;94;40;23
Alvorada do Norte;2006;141;;86;40;15
Alvorada do Norte;2007;106;;65;35;12
Alvorada do Norte;2008;99;;61;37;11
Alvorada do Norte;2009;99;;59;45;4
Alvorada do Norte;2010;96;;56;44;8
Alvorada do Norte;2011;91;;52;47;9
Alvorada do Norte;2012;106;;50;51;16
Alvorada do Norte;2013;105;;53;48;12
Alvorada do Norte;2014;113;;57;49;16
Alvorada do Norte;2015;104;;49;52;12
Alvorada do Norte;2016;107;;56;52;8
Alvorada do Norte;2017;99;;49;55;
Alvorada do Norte;2018;114;3;61;57;0
Amaralina;2000;62;;;;
Amaralina;2001;58;;;;
Amaralina;2002;59;;26;33;
Amaralina;2003;60;;24;36;
Amaralina;2004;64;;25;39;
Amaralina;2005;68;;26;42;
Amaralina;2006;68;;27;41;
Amaralina;2007;59;;21;40;
Amaralina;2008;62;;25;38;
Amaralina;2009;60;;25;37;
Amaralina;2010;59;;24;36;
Amaralina;2011;59;;22;37;
Amaralina;2012;60;;23;37;
Amaralina;2013;57;;22;35;
Amaralina;2014;54;;18;36;
Amaralina;2015;53;;17;36;
Amaralina;2016;57;;20;37;
Amaralina;2017;53;;20;35;
Amaralina;2018;54;19;20;34;0
Americano do Brasil;2000;80;;;;
Americano do Brasil;2001;73;;;;
Americano do Brasil;2002;71;;55;16;
Americano do Brasil;2003;60;;42;18;
Americano do Brasil;2004;66;;49;17;
Americano do Brasil;2005;58;;42;16;
Americano do Brasil;2006;62;;47;15;
Americano do Brasil;2007;51;;35;16;
Americano do Brasil;2008;54;;36;18;
Americano do Brasil;2009;53;;31;22;
Americano do Brasil;2010;54;;29;25;
Americano do Brasil;2011;59;;29;30;
Americano do Brasil;2012;53;;29;24;
Americano do Brasil;2013;53;;29;24;
Americano do Brasil;2014;55;;31;24;
Americano do Brasil;2015;50;;27;23;
Americano do Brasil;2016;49;;28;23;
Americano do Brasil;2017;54;;32;23;
Americano do Brasil;2018;55;0;33;23;0
Amorinópolis;2000;62;;;;
Amorinópolis;2001;59;;;;
Amorinópolis;2002;66;;42;24;
Amorinópolis;2003;62;;41;21;
Amorinópolis;2004;71;;49;22;
Amorinópolis;2005;68;;51;17;
Amorinópolis;2006;63;;46;17;
Amorinópolis;2007;38;;29;9;
Amorinópolis;2008;39;;32;11;
Amorinópolis;2009;45;;32;14;
Amorinópolis;2010;47;;34;14;
Amorinópolis;2011;43;;31;14;
Amorinópolis;2012;39;;27;13;
Amorinópolis;2013;45;;28;18;
Amorinópolis;2014;42;;26;17;
Amorinópolis;2015;40;;26;17;
Amorinópolis;2016;39;;26;16;
Amorinópolis;2017;39;;24;17;
Amorinópolis;2018;39;0;24;17;0
Anápolis;2000;3475;;;;
Anápolis;2001;3610;;;;
Anápolis;2002;3743;;1740;1029;974
Anápolis;2003;3851;;1791;1076;984
Anápolis;2004;3652;;1517;992;1143
Anápolis;2005;3771;;1439;1051;1281
Anápolis;2006;3863;;1411;1105;1347
Anápolis;2007;2697;;1070;991;906
Anápolis;2008;2832;;1095;1006;1011
Anápolis;2009;2962;;1075;1048;1133
Anápolis;2010;2956;;1080;1066;1091
Anápolis;2011;3111;31;1052;1177;1118
Anápolis;2012;3131;44;970;1190;1206
Anápolis;2013;3118;69;927;1181;1203
Anápolis;2014;3267;70;941;1225;1288
Anápolis;2015;3260;110;910;1263;1250
Anápolis;2016;3360;76;979;1261;1290
Anápolis;2017;3231;60;932;1295;1191
Anápolis;2018;3448;158;1109;1277;1244
Anhanguera;2000;21;;;;
Anhanguera;2001;20;;;;
Anhanguera;2002;22;;10;12;
Anhanguera;2003;20;;8;12;
Anhanguera;2004;19;;7;12;
Anhanguera;2005;17;;7;10;
Anhanguera;2006;17;;7;10;
Anhanguera;2007;20;;6;14;
Anhanguera;2008;21;;8;13;
Anhanguera;2009;18;;6;12;
Anhanguera;2010;19;;7;12;
Anhanguera;2011;17;;7;10;
Anhanguera;2012;16;;6;11;
Anhanguera;2013;18;;7;11;
Anhanguera;2014;19;;7;12;
Anhanguera;2015;14;;5;9;
Anhanguera;2016;16;;7;9;
Anhanguera;2017;15;;6;9;
Anhanguera;2018;15;0;7;9;0
Anicuns;2000;292;;;;
Anicuns;2001;282;;;;
Anicuns;2002;277;;147;91;39
Anicuns;2003;257;;137;86;34
Anicuns;2004;253;;135;83;35
Anicuns;2005;245;;127;91;27
Anicuns;2006;237;;130;86;21
Anicuns;2007;230;;114;100;29
Anicuns;2008;224;;117;93;27
Anicuns;2009;210;;101;97;23
Anicuns;2010;204;;96;99;19
Anicuns;2011;200;;102;87;19
Anicuns;2012;203;;94;100;15
Anicuns;2013;204;;100;98;14
Anicuns;2014;194;;96;93;15
Anicuns;2015;180;;99;76;14
Anicuns;2016;172;;99;71;8
Anicuns;2017;166;;90;70;8
Anicuns;2018;164;17;93;66;8
Aparecida de Goiânia;2000;3297;;;;
Aparecida de Goiânia;2001;3377;;;;
Aparecida de Goiânia;2002;3578;;1973;716;889
Aparecida de Goiânia;2003;3712;;1949;826;937
Aparecida de Goiânia;2004;3864;;2084;929;851
Aparecida de Goiânia;2005;3740;;2003;938;799
Aparecida de Goiânia;2006;3961;;2073;997;891
Aparecida de Goiânia;2007;3069;;1654;976;668
Aparecida de Goiânia;2008;3471;;1799;1167;744
Aparecida de Goiânia;2009;3403;;1775;1169;746
Aparecida de Goiânia;2010;3656;;1813;1221;883
Aparecida de Goiânia;2011;3698;;1791;1234;946
Aparecida de Goiânia;2012;3605;20;1572;1207;1079
Aparecida de Goiânia;2013;3852;40;1539;1343;1199
Aparecida de Goiânia;2014;3983;56;1548;1394;1241
Aparecida de Goiânia;2015;3994;64;1451;1478;1246
Aparecida de Goiânia;2016;4107;79;1558;1531;1196
Aparecida de Goiânia;2017;4203;68;1585;1652;1132
Aparecida de Goiânia;2018;4297;62;1606;1718;1142
Aparecida do Rio Doce;2000;45;;;;
Aparecida do Rio Doce;2001;30;;;;
Aparecida do Rio Doce;2002;33;;7;26;
Aparecida do Rio Doce;2003;35;;6;29;
Aparecida do Rio Doce;2004;38;;8;30;
Aparecida do Rio Doce;2005;34;;6;28;
Aparecida do Rio Doce;2006;34;;8;26;
Aparecida do Rio Doce;2007;33;;8;27;
Aparecida do Rio Doce;2008;34;;5;32;
Aparecida do Rio Doce;2009;39;;10;30;
Aparecida do Rio Doce;2010;34;;10;27;
Aparecida do Rio Doce;2011;32;;7;27;
Aparecida do Rio Doce;2012;32;;7;29;
Aparecida do Rio Doce;2013;30;;6;27;
Aparecida do Rio Doce;2014;29;;6;26;
Aparecida do Rio Doce;2015;33;;5;29;
Aparecida do Rio Doce;2016;32;;5;28;
Aparecida do Rio Doce;2017;36;;8;29;
Aparecida do Rio Doce;2018;35;0;7;29;0
Aporé;2000;52;;;;
Aporé;2001;54;;;;
Aporé;2002;54;;22;32;
Aporé;2003;48;;20;28;
Aporé;2004;44;;20;24;
Aporé;2005;44;;15;29;
Aporé;2006;45;;21;24;
Aporé;2007;37;;22;17;
Aporé;2008;42;;23;24;
Aporé;2009;54;;28;29;
Aporé;2010;48;;25;25;
Aporé;2011;54;;21;33;
Aporé;2012;54;;20;35;
Aporé;2013;62;;23;40;
Aporé;2014;57;;24;33;
Aporé;2015;53;;21;35;
Aporé;2016;57;;22;38;
Aporé;2017;63;;22;45;
Aporé;2018;57;6;22;37;0
Araçu;2000;69;;;;
Araçu;2001;73;;;;
Araçu;2002;51;;39;12;
Araçu;2003;52;;36;16;
Araçu;2004;56;;40;16;
Araçu;2005;42;;27;15;
Araçu;2006;39;;24;15;
Araçu;2007;33;;19;15;
Araçu;2008;39;;26;15;
Araçu;2009;40;;28;13;
Araçu;2010;38;;25;14;
Araçu;2011;38;;25;13;
Araçu;2012;38;;23;15;
Araçu;2013;37;;23;14;
Araçu;2014;37;;23;14;
Araçu;2015;32;;19;13;
Araçu;2016;36;;24;12;
Araçu;2017;35;;22;13;
Araçu;2018;37;0;24;13;0
Aragarças;2000;268;;;;
Aragarças;2001;253;;;;
Aragarças;2002;263;;186;60;17
Aragarças;2003;225;;156;52;17
Aragarças;2004;252;;166;71;15
Aragarças;2005;249;;157;81;11
Aragarças;2006;248;;151;88;9
Aragarças;2007;219;;124;93;8
Aragarças;2008;218;;116;99;9
Aragarças;2009;207;;108;98;9
Aragarças;2010;198;;108;84;10
Aragarças;2011;187;;103;80;10
Aragarças;2012;178;;99;80;5
Aragarças;2013;218;;93;103;26
Aragarças;2014;200;;89;93;22
Aragarças;2015;192;;89;87;20
Aragarças;2016;205;;93;93;21
Aragarças;2017;174;;93;78;7
Aragarças;2018;190;0;105;81;8
Aragoiânia;2000;105;;;;
Aragoiânia;2001;101;;;;
Aragoiânia;2002;110;;44;52;14
Aragoiânia;2003;91;;41;50;
Aragoiânia;2004;108;;52;56;
Aragoiânia;2005;93;;41;52;
Aragoiânia;2006;92;;38;54;
Aragoiânia;2007;74;;40;44;
Aragoiânia;2008;82;;37;53;
Aragoiânia;2009;86;;34;57;
Aragoiânia;2010;83;;38;51;
Aragoiânia;2011;85;;38;52;
Aragoiânia;2012;82;;29;55;
Aragoiânia;2013;85;;31;57;
Aragoiânia;2014;77;;34;47;
Aragoiânia;2015;72;;30;47;
Aragoiânia;2016;73;;29;48;
Aragoiânia;2017;83;;29;52;4
Aragoiânia;2018;82;4;30;50;5
Araguapaz;2000;110;;;;
Araguapaz;2001;113;;;;
Araguapaz;2002;132;;65;42;25
Araguapaz;2003;124;;66;45;13
Araguapaz;2004;106;;59;42;5
Araguapaz;2005;95;;45;44;6
Araguapaz;2006;100;;50;42;8
Araguapaz;2007;79;;41;36;7
Araguapaz;2008;89;;40;37;14
Araguapaz;2009;91;;40;39;15
Araguapaz;2010;93;;40;40;13
Araguapaz;2011;90;;38;41;15
Araguapaz;2012;77;;24;42;13
Araguapaz;2013;97;;29;57;13
Araguapaz;2014;80;;25;51;5
Araguapaz;2015;85;;25;59;5
Araguapaz;2016;81;;26;58;
Araguapaz;2017;73;;24;52;
Araguapaz;2018;70;17;24;48;0
Arenópolis;2000;66;;;;
Arenópolis;2001;58;;;;
Arenópolis;2002;73;;43;30;
Arenópolis;2003;61;;27;34;
Arenópolis;2004;52;;21;31;
Arenópolis;2005;55;;23;32;
Arenópolis;2006;57;;25;32;
Arenópolis;2007;47;;20;29;
Arenópolis;2008;49;;20;30;
Arenópolis;2009;54;;22;36;
Arenópolis;2010;54;;21;35;
Arenópolis;2011;53;;20;35;
Arenópolis;2012;50;;14;38;
Arenópolis;2013;44;;13;34;
Arenópolis;2014;44;;13;34;
Arenópolis;2015;52;;14;41;
Arenópolis;2016;45;;13;35;
Arenópolis;2017;46;;14;35;
Arenópolis;2018;45;0;16;32;0
Aruanã;2000;66;;;;
Aruanã;2001;61;;;;
Aruanã;2002;61;;30;26;5
Aruanã;2003;71;;33;34;4
Aruanã;2004;71;;30;37;4
Aruanã;2005;69;;27;36;6
Aruanã;2006;70;;33;30;7
Aruanã;2007;66;;34;32;5
Aruanã;2008;67;;29;40;6
Aruanã;2009;68;;31;43;
Aruanã;2010;71;;34;46;
Aruanã;2011;78;;37;49;
Aruanã;2012;73;;34;47;
Aruanã;2013;82;;34;53;4
Aruanã;2014;87;;36;53;6
Aruanã;2015;88;;33;59;
Aruanã;2016;76;;33;48;
Aruanã;2017;68;;37;40;
Aruanã;2018;70;10;36;41;0
Aurilândia;2000;50;;;;
Aurilândia;2001;54;;;;
Aurilândia;2002;51;;34;17;
Aurilândia;2003;50;;34;16;
Aurilândia;2004;47;;31;16;
Aurilândia;2005;44;;29;15;
Aurilândia;2006;37;;23;14;
Aurilândia;2007;27;;17;10;
Aurilândia;2008;35;;21;14;
Aurilândia;2009;32;;19;14;
Aurilândia;2010;29;;19;11;
Aurilândia;2011;31;;17;14;
Aurilândia;2012;25;;12;14;
Aurilândia;2013;24;;11;13;
Aurilândia;2014;24;;13;12;
Aurilândia;2015;23;;12;12;
Aurilândia;2016;27;;17;12;
Aurilândia;2017;30;;18;14;
Aurilândia;2018;33;0;20;14;0
Avelinópolis;2000;50;;;;
Avelinópolis;2001;44;;;;
Avelinópolis;2002;51;;32;19;
Avelinópolis;2003;40;;23;17;
Avelinópolis;2004;46;;28;18;
Avelinópolis;2005;35;;17;18;
Avelinópolis;2006;36;;18;18;
Avelinópolis;2007;31;;18;19;
Avelinópolis;2008;29;;17;18;
Avelinópolis;2009;35;;16;21;
Avelinópolis;2010;37;;22;17;
Avelinópolis;2011;35;;18;17;
Avelinópolis;2012;36;;18;19;
Avelinópolis;2013;34;;19;17;
Avelinópolis;2014;35;;17;20;
Avelinópolis;2015;44;;21;24;
Avelinópolis;2016;41;;16;25;
Avelinópolis;2017;37;;14;25;
Avelinópolis;2018;42;0;18;28;0
Baliza;2000;45;;;;
Baliza;2001;42;;;;
Baliza;2002;47;;21;26;
Baliza;2003;57;;28;29;
Baliza;2004;55;;23;32;
Baliza;2005;52;;22;30;
Baliza;2006;55;;24;31;
Baliza;2007;39;;20;21;
Baliza;2008;41;;19;23;
Baliza;2009;43;;20;23;
Baliza;2010;46;;22;25;
Baliza;2011;43;;25;19;
Baliza;2012;46;;24;23;
Baliza;2013;44;;23;22;
Baliza;2014;45;;24;22;
Baliza;2015;43;;23;21;
Baliza;2016;44;;21;24;
Baliza;2017;43;;22;22;
Baliza;2018;43;16;21;23;0
Barro Alto;2000;132;;;;
Barro Alto;2001;116;;;;
Barro Alto;2002;108;;42;66;
Barro Alto;2003;113;;38;75;
Barro Alto;2004;107;;38;69;
Barro Alto;2005;117;;40;77;
Barro Alto;2006;126;;37;81;8
Barro Alto;2007;110;;34;71;13
Barro Alto;2008;120;;37;81;10
Barro Alto;2009;128;;44;88;11
Barro Alto;2010;157;;42;121;13
Barro Alto;2011;158;;42;126;12
Barro Alto;2012;148;;34;125;6
Barro Alto;2013;127;;33;90;15
Barro Alto;2014;141;;34;105;13
Barro Alto;2015;145;;28;116;11
Barro Alto;2016;164;;31;136;9
Barro Alto;2017;168;;28;139;9
Barro Alto;2018;187;22;30;156;7
Bela Vista de Goiás;2000;227;;;;
Bela Vista de Goiás;2001;246;;;;
Bela Vista de Goiás;2002;261;;70;101;90
Bela Vista de Goiás;2003;267;;74;104;89
Bela Vista de Goiás;2004;291;;149;59;83
Bela Vista de Goiás;2005;278;;133;65;80
Bela Vista de Goiás;2006;286;;135;67;84
Bela Vista de Goiás;2007;189;;107;64;29
Bela Vista de Goiás;2008;196;;109;56;40
Bela Vista de Goiás;2009;200;;109;61;41
Bela Vista de Goiás;2010;208;;117;65;39
Bela Vista de Goiás;2011;217;;113;66;53
Bela Vista de Goiás;2012;234;;109;83;59
Bela Vista de Goiás;2013;234;;109;82;59
Bela Vista de Goiás;2014;227;;104;89;46
Bela Vista de Goiás;2015;224;;93;89;59
Bela Vista de Goiás;2016;239;;95;100;60
Bela Vista de Goiás;2017;260;;108;104;69
Bela Vista de Goiás;2018;257;17;102;101;80
Bom Jardim de Goiás;2000;110;;;;
Bom Jardim de Goiás;2001;102;;;;
Bom Jardim de Goiás;2002;102;;46;50;6
Bom Jardim de Goiás;2003;104;;55;40;9
Bom Jardim de Goiás;2004;107;;55;44;8
Bom Jardim de Goiás;2005;108;;55;41;12
Bom Jardim de Goiás;2006;99;;50;39;10
Bom Jardim de Goiás;2007;86;;62;27;4
Bom Jardim de Goiás;2008;81;;54;27;7
Bom Jardim de Goiás;2009;89;;55;35;6
Bom Jardim de Goiás;2010;90;;60;29;6
Bom Jardim de Goiás;2011;91;;55;39;6
Bom Jardim de Goiás;2012;85;;40;39;15
Bom Jardim de Goiás;2013;80;;40;37;14
Bom Jardim de Goiás;2014;82;;41;34;15
Bom Jardim de Goiás;2015;82;;39;36;16
Bom Jardim de Goiás;2016;88;;41;39;14
Bom Jardim de Goiás;2017;100;;45;48;13
Bom Jardim de Goiás;2018;90;0;44;36;13
Bom Jesus de Goiás;2000;234;;;;
Bom Jesus de Goiás;2001;228;;;;
Bom Jesus de Goiás;2002;238;;63;114;61
Bom Jesus de Goiás;2003;260;;64;132;64
Bom Jesus de Goiás;2004;268;;65;140;63
Bom Jesus de Goiás;2005;277;;70;145;62
Bom Jesus de Goiás;2006;267;;65;143;59
Bom Jesus de Goiás;2007;211;;57;137;43
Bom Jesus de Goiás;2008;195;;59;121;44
Bom Jesus de Goiás;2009;211;;58;133;53
Bom Jesus de Goiás;2010;215;;55;141;46
Bom Jesus de Goiás;2011;221;;57;151;47
Bom Jesus de Goiás;2012;230;;53;160;46
Bom Jesus de Goiás;2013;233;;59;166;45
Bom Jesus de Goiás;2014;227;;54;162;42
Bom Jesus de Goiás;2015;223;;51;155;41
Bom Jesus de Goiás;2016;226;;51;155;41
Bom Jesus de Goiás;2017;194;;56;124;29
Bom Jesus de Goiás;2018;217;0;64;132;43
Bonfinópolis;2000;62;;;;
Bonfinópolis;2001;83;;;;
Bonfinópolis;2002;77;;49;23;5
Bonfinópolis;2003;83;;52;26;5
Bonfinópolis;2004;86;;48;30;8
Bonfinópolis;2005;81;;38;36;7
Bonfinópolis;2006;81;;41;40;
Bonfinópolis;2007;67;;31;39;
Bonfinópolis;2008;71;;33;40;
Bonfinópolis;2009;77;;36;46;
Bonfinópolis;2010;77;;38;45;
Bonfinópolis;2011;85;;40;50;
Bonfinópolis;2012;76;;34;47;
Bonfinópolis;2013;75;;33;46;
Bonfinópolis;2014;76;;34;44;
Bonfinópolis;2015;70;;33;40;
Bonfinópolis;2016;70;;33;42;
Bonfinópolis;2017;74;;36;43;
Bonfinópolis;2018;76;0;38;39;0
Bonópolis;2000;57;;;;
Bonópolis;2001;57;;;;
Bonópolis;2002;41;;15;26;
Bonópolis;2003;45;;16;29;
Bonópolis;2004;46;;13;33;
Bonópolis;2005;47;;15;32;
Bonópolis;2006;51;;17;34;
Bonópolis;2007;42;;11;32;
Bonópolis;2008;39;;15;26;
Bonópolis;2009;43;;18;29;
Bonópolis;2010;50;;18;35;
Bonópolis;2011;41;;17;26;
Bonópolis;2012;42;;15;28;
Bonópolis;2013;41;;13;30;
Bonópolis;2014;35;;14;22;
Bonópolis;2015;34;;15;23;
Bonópolis;2016;35;;14;22;
Bonópolis;2017;32;;14;19;
Bonópolis;2018;28;2;12;16;0
Brazabrantes;2000;37;;;;
Brazabrantes;2001;36;;;;
Brazabrantes;2002;39;;34;5;
Brazabrantes;2003;36;;30;6;
Brazabrantes;2004;35;;30;5;
Brazabrantes;2005;37;;23;14;
Brazabrantes;2006;39;;25;14;
Brazabrantes;2007;37;;24;14;
Brazabrantes;2008;37;;24;14;
Brazabrantes;2009;36;;23;14;
Brazabrantes;2010;37;;24;14;
Brazabrantes;2011;37;;23;14;
Brazabrantes;2012;38;;23;15;
Brazabrantes;2013;36;;22;14;
Brazabrantes;2014;38;;22;16;
Brazabrantes;2015;37;;21;17;
Brazabrantes;2016;38;;20;18;
Brazabrantes;2017;38;;21;17;
Brazabrantes;2018;38;0;19;19;0
Britânia;2000;83;;;;
Britânia;2001;70;;;;
Britânia;2002;83;;28;50;5
Britânia;2003;77;;48;24;5
Britânia;2004;84;;50;28;6
Britânia;2005;105;;69;31;5
Britânia;2006;81;;50;26;5
Britânia;2007;70;;49;22;3
Britânia;2008;64;;43;20;4
Britânia;2009;61;;37;24;4
Britânia;2010;66;;39;27;4
Britânia;2011;61;;37;22;3
Britânia;2012;55;;32;23;3
Britânia;2013;53;;29;27;
Britânia;2014;49;;26;25;
Britânia;2015;47;;22;26;
Britânia;2016;45;;21;26;
Britânia;2017;52;;25;29;
Britânia;2018;57;1;27;33;0
Buriti Alegre;2000;96;;;;
Buriti Alegre;2001;105;;;;
Buriti Alegre;2002;116;;80;8;28
Buriti Alegre;2003;123;;88;8;27
Buriti Alegre;2004;132;;98;5;29
Buriti Alegre;2005;112;;74;10;28
Buriti Alegre;2006;115;;72;15;28
Buriti Alegre;2007;109;;66;26;26
