Localidade;Ano;IDM Trabalho;Empregos formais;Nível de escolaridade dos trabalhadores;Remuneração mediana;Variação do numero de empregos formais
Buritinópolis;2016;2,8775;1,12;8,18;0;2,21
Buritinópolis;2018;3,535;0,88;8,24;2,23;2,79
Cabeceiras;2012;2,31;1,45;1,9;1,46;4,43
Cabeceiras;2014;2,1275;1,16;0,44;2,91;4
Cabeceiras;2016;2,9225;1,48;5,71;2,07;2,43
Cabeceiras;2018;2,88;1,48;5,02;1,74;3,28
Cachoeira Alta;2012;2,3525;1,27;2,49;3,59;2,06
Cachoeira Alta;2014;3,395;2,04;0,4;4,11;7,03
Cachoeira Alta;2016;3,1275;2,46;5,08;2,78;2,19
Cachoeira Alta;2018;3,23;2,48;4,39;2,68;3,37
Cachoeira de Goiás;2012;2,1475;2,34;1,26;3,07;1,92
Cachoeira de Goiás;2014;3,4;3,33;0,31;3,66;6,3
Cachoeira de Goiás;2016;2,9;3,31;5,11;1,74;1,44
Cachoeira de Goiás;2018;2,785;2,51;4,04;1,94;2,65
Cachoeira Dourada;2012;2,325;1,36;2,29;3,25;2,4
Cachoeira Dourada;2014;3,285;1,78;0,55;4,92;5,89
Cachoeira Dourada;2016;4,41;3,36;5,61;5,01;3,66
Cachoeira Dourada;2018;4,5825;3,84;4,99;5,86;3,64
Caçu;2012;3,5575;2,97;1,88;5,01;4,37
Caçu;2014;3,3425;2,61;0,33;6,12;4,31
