Localidade;Ano;Alfabetizacao
Nova América;2010;85,15
Nova Aurora;1991;86,7
Nova Aurora;2000;85,9
Nova Aurora;2010;90,65
Nova Crixás;1991;65,7
Nova Crixás;2000;78,7
Nova Crixás;2010;82,61
Nova Glória;1991;78,5
Nova Glória;2000;83
Nova Glória;2010;85,95
Nova Iguaçu de Goiás;2000;84,3
Nova Iguaçu de Goiás;2010;90,46
Nova Roma;1991;66,4
Nova Roma;2000;81,9
Nova Roma;2010;82,1
Nova Veneza;1991;79,1
Nova Veneza;2000;86,5
Nova Veneza;2010;91,99
Novo Brasil;1991;79,2
Novo Brasil;2000;83,9
Novo Brasil;2010;87,79
Novo Gama;2000;89
Novo Gama;2010;93,73
Novo Planalto;1991;78,2
Novo Planalto;2000;82,5
Novo Planalto;2010;83,3
Orizona;1991;84
Orizona;2000;89,4
Orizona;2010;92,53
Ouro Verde de Goiás;1991;76,2
Ouro Verde de Goiás;2000;85,9
Ouro Verde de Goiás;2010;89,19
Ouvidor;1991;85,6
Ouvidor;2000;90,2
Ouvidor;2010;93,79
Padre Bernardo;1991;73,6
Padre Bernardo;2000;82,6
Padre Bernardo;2010;87,26
Palestina de Goiás;1991;74
Palestina de Goiás;2000;83,2
Palestina de Goiás;2010;91,44
Palmeiras de Goiás;1991;80,1
Palmeiras de Goiás;2000;87,7
Palmeiras de Goiás;2010;91,02
Palmelo;1991;80,9
Palmelo;2000;85,3
Palmelo;2010;90,32
Palminópolis;1991;78,8
Palminópolis;2000;87,9
Palminópolis;2010;87,98
Panamá;1991;77,9
Panamá;2000;81,9
Panamá;2010;85,65
Paranaiguara;1991;77,6
Paranaiguara;2000;84,3
Paranaiguara;2010;87,32
Paraúna;1991;77,1
Paraúna;2000;85
Paraúna;2010;89,3
Perolândia;1991;71,2
Perolândia;2000;85,4
Perolândia;2010;88,09
Petrolina de Goiás;1991;75,8
Petrolina de Goiás;2000;82
Petrolina de Goiás;2010;90,77
Pilar de Goiás;1991;72,9
Pilar de Goiás;2000;86,5
Pilar de Goiás;2010;88,71
Piracanjuba;1991;83,7
Piracanjuba;2000;87,7
Piracanjuba;2010;90,8
Piranhas;1991;75,6
Piranhas;2000;84,8
Piranhas;2010;86,71
Pirenópolis;1991;72,2
Pirenópolis;2000;84,4
Pirenópolis;2010;90,07
Pires do Rio;1991;86,1
Pires do Rio;2000;91
Pires do Rio;2010;92,98
Planaltina;1991;76,3
Planaltina;2000;85,6
Planaltina;2010;90,87
Pontalina;1991;78,5
Pontalina;2000;86,2
Pontalina;2010;86,99
Porangatu;1991;80,5
Porangatu;2000;87
Porangatu;2010;90,43
Porteirão;2000;80,4
Porteirão;2010;88,5
Portelândia;1991;74,7
Portelândia;2000;86,3
Portelândia;2010;87,58
Posse;1991;66,9
Posse;2000;79
Posse;2010;86,33
Professor Jamil;1991;76,5
Professor Jamil;2000;83,7
Professor Jamil;2010;86,06
Quirinópolis;1991;82,9
Quirinópolis;2000;87,1
Quirinópolis;2010;90,87
Rialma;1991;84,5
Rialma;2000;89,3
Rialma;2010;92,49
Rianápolis;1991;79,3
Rianápolis;2000;83,7
Rianápolis;2010;86,1
Rio Quente;1991;84,6
Rio Quente;2000;92,3
Rio Quente;2010;95,47
Rio Verde;1991;81,7
Rio Verde;2000;89,5
Rio Verde;2010;94,04
Rubiataba;1991;82,5
Rubiataba;2000;86,7
Rubiataba;2010;90,96
Sanclerlândia;1991;76,4
Sanclerlândia;2000;85,3
Sanclerlândia;2010;88,43
Santa Bárbara de Goiás;1991;76,1
Santa Bárbara de Goiás;2000;85,5
Santa Bárbara de Goiás;2010;88,38
Santa Cruz de Goiás;1991;79,5
Santa Cruz de Goiás;2000;87,5
Santa Cruz de Goiás;2010;86,86
Santa Fé de Goiás;1991;69,6
Santa Fé de Goiás;2000;83,7
Santa Fé de Goiás;2010;88,29
Santa Helena de Goiás;1991;78
Santa Helena de Goiás;2000;84
Santa Helena de Goiás;2010;88,61
Santa Isabel;1991;81,9
Santa Isabel;2000;82,5
Santa Isabel;2010;87,11
Santa Rita do Araguaia;1991;79,7
Santa Rita do Araguaia;2000;85,9
Santa Rita do Araguaia;2010;90,88
Santa Rita do Novo Destino;2000;78,8
Santa Rita do Novo Destino;2010;78,79
Santa Rosa de Goiás;1991;76,7
Santa Rosa de Goiás;2000;82,7
Santa Rosa de Goiás;2010;86,13
Santa Tereza de Goiás;1991;77
Santa Tereza de Goiás;2000;84,7
Santa Tereza de Goiás;2010;87,24
Santa Terezinha de Goiás;1991;79,1
Santa Terezinha de Goiás;2000;83
Santa Terezinha de Goiás;2010;86,94
Santo Antônio da Barra;1991;64,4
Santo Antônio da Barra;2000;77,1
Santo Antônio da Barra;2010;83,32
Santo Antônio de Goiás;2000;86,7
Santo Antônio de Goiás;2010;92,14
Santo Antônio do Descoberto;1991;77,6
Santo Antônio do Descoberto;2000;85,7
Santo Antônio do Descoberto;2010;91,8
São Domingos;1991;61,5
São Domingos;2000;74
São Domingos;2010;79,08
São Francisco de Goiás;1991;71,5
São Francisco de Goiás;2000;82,3
São Francisco de Goiás;2010;86,33
São João d'Aliança;1991;74,24
São João d'Aliança;2000;84
São João d'Aliança;2010;87,32
São João da Paraúna;1991;75,3
São João da Paraúna;2000;87,1
São João da Paraúna;2010;88,93
São Luis de Montes Belos;1991;83,3
São Luis de Montes Belos;2000;87,9
São Luis de Montes Belos;2010;91,11
São Luiz do Norte;1991;69,1
São Luiz do Norte;2000;80,5
São Luiz do Norte;2010;85,01
São Miguel do Araguaia;1991;76,8
São Miguel do Araguaia;2000;83,1
São Miguel do Araguaia;2010;88,87
São Miguel do Passa Quatro;1991;83,2
São Miguel do Passa Quatro;2000;90
São Miguel do Passa Quatro;2010;88,5
São Patrício;2000;84
São Patrício;2010;89,08
São Simão;1991;78,2
São Simão;2000;85,1
São Simão;2010;89,36
Senador Canedo;1991;77,3
Senador Canedo;2000;90
Senador Canedo;2010;93,97
Serranópolis;1991;77,1
Serranópolis;2000;84,1
Serranópolis;2010;88,49
Silvânia;1991;84,3
Silvânia;2000;88
Silvânia;2010;92,33
Simolândia;1991;59,7
Simolândia;2000;76,1
Simolândia;2010;84,08
Sítio d'Abadia;1991;58,4
Sítio d'Abadia;2000;74,4
Sítio d'Abadia;2010;78,56
Taquaral de Goiás;1991;74,7
Taquaral de Goiás;2000;84,6
Taquaral de Goiás;2010;89,47
Teresina de Goiás;1991;67,7
Teresina de Goiás;2000;74,2
Teresina de Goiás;2010;85,64
Terezópolis de Goiás;2000;82,4
Terezópolis de Goiás;2010;88,39
Três Ranchos;1991;82,9
Três Ranchos;2000;90,2
Três Ranchos;2010;94,15
Trindade;1991;82,6
Trindade;2000;89,1
Trindade;2010;92,41
Trombas;1991;73,7
Trombas;2000;83,2
Trombas;2010;84,04
Turvânia;1991;73
Turvânia;2000;85,5
Turvânia;2010;88,65
Turvelândia;1991;72,5
Turvelândia;2000;79,6
Turvelândia;2010;84,42
Uirapuru;2000;79,6
Uirapuru;2010;83,96
Uruaçu;1991;78,6
Uruaçu;2000;85,7
Uruaçu;2010;89,92
Uruana;1991;78,6
Uruana;2000;86,7
Uruana;2010;88,33
Urutaí;1991;80,2
Urutaí;2000;88,3
Urutaí;2010;92,06
Valparaíso de Goiás;2000;93,1
Valparaíso de Goiás;2010;96,57
Varjão;1991;70,9
Varjão;2000;83
Varjão;2010;85,83
Vianópolis;1991;81,5
Vianópolis;2000;87,6
Vianópolis;2010;92,75
Vicentinópolis;1991;78,4
Vicentinópolis;2000;84,1
Vicentinópolis;2010;88,41
Vila Boa;2000;77,2
Vila Boa;2010;85,63
Vila Propício;2000;75,2
Vila Propício;2010;82,45
