Localidade;Ano;Taxa de Abandono
Campos Verdes;2018;4,5
Carmo do Rio Verde;2013;4,8
Carmo do Rio Verde;2014;4,7
Carmo do Rio Verde;2015;1,3
Carmo do Rio Verde;2016;0
Carmo do Rio Verde;2017;0
Carmo do Rio Verde;2018;0
Castelândia;2013;5
Castelândia;2014;0
Castelândia;2015;4,8
Castelândia;2016;6,5
Castelândia;2017;4
Castelândia;2018;6,9
Catalão;2013;5,7
Catalão;2014;6,7
Catalão;2015;4,8
Catalão;2016;5,1
Catalão;2017;1,6
Catalão;2018;3,1
Caturaí;2013;0,5
Caturaí;2014;4
Caturaí;2015;1,5
Caturaí;2016;2,2
Caturaí;2017;0
Caturaí;2018;0
Cavalcante;2013;3,7
Cavalcante;2014;1,4
Cavalcante;2015;4,5
Cavalcante;2016;3
Cavalcante;2017;6,1
Cavalcante;2018;4,4
Ceres;2013;2,8
Ceres;2014;2,3
Ceres;2015;5
Ceres;2016;3,5
Ceres;2017;0,6
Ceres;2018;0,7
Cezarina;2013;1
Cezarina;2014;2,6
Cezarina;2015;5,2
Cezarina;2016;3,9
Cezarina;2017;3,4
Cezarina;2018;5,7
Chapadão do Céu;2013;9,5
Chapadão do Céu;2014;8,9
Chapadão do Céu;2015;13,1
Chapadão do Céu;2016;6,7
Chapadão do Céu;2017;1
Chapadão do Céu;2018;1,3
Cidade Ocidental;2013;8,9
Cidade Ocidental;2014;11,1
Cidade Ocidental;2015;10,7
Cidade Ocidental;2016;4,6
Cidade Ocidental;2017;1,6
Cidade Ocidental;2018;2,7
Cocalzinho de Goiás;2013;9
Cocalzinho de Goiás;2014;4,3
Cocalzinho de Goiás;2015;9,3
Cocalzinho de Goiás;2016;11,9
Cocalzinho de Goiás;2017;4
Cocalzinho de Goiás;2018;3,5
Colinas do Sul;2013;0
Colinas do Sul;2014;1,6
Colinas do Sul;2015;3,3
Colinas do Sul;2016;7,5
Colinas do Sul;2017;0,8
Colinas do Sul;2018;0
Córrego do Ouro;2013;2,9
Córrego do Ouro;2014;7,1
Córrego do Ouro;2015;3,1
Córrego do Ouro;2016;0
Córrego do Ouro;2017;0
Córrego do Ouro;2018;0
Corumbá de Goiás;2013;3,4
Corumbá de Goiás;2014;4,3
Corumbá de Goiás;2015;3
Corumbá de Goiás;2016;1,7
Corumbá de Goiás;2017;0,7
Corumbá de Goiás;2018;4,1
Corumbaíba;2013;5,2
Corumbaíba;2014;11,6
Corumbaíba;2015;11,9
Corumbaíba;2016;16
Corumbaíba;2017;8,8
Corumbaíba;2018;6,2
Cristalina;2013;5,4
Cristalina;2014;4,5
Cristalina;2015;0,7
Cristalina;2016;2,4
Cristalina;2017;0,5
Cristalina;2018;0,4
Cristianópolis;2013;0
Cristianópolis;2014;0,8
Cristianópolis;2015;0,9
Cristianópolis;2016;0
Cristianópolis;2017;0
Cristianópolis;2018;0
Crixás;2013;4,8
Crixás;2014;3,5
Crixás;2015;4
Crixás;2016;4,4
Crixás;2017;0,9
Crixás;2018;0,6
Cromínia;2013;3,9
Cromínia;2014;1,5
Cromínia;2015;7,5
Cromínia;2016;11,4
Cromínia;2017;0
Cromínia;2018;4,1
Cumari;2013;0
Cumari;2014;0
Cumari;2015;0
Cumari;2016;0
Cumari;2017;0
Cumari;2018;6,2
Damianópolis;2013;2,3
Damianópolis;2014;1,1
Damianópolis;2015;1,4
Damianópolis;2016;1,3
Damianópolis;2017;0
Damianópolis;2018;0,6
Damolândia;2013;2,4
Damolândia;2014;7,4
Damolândia;2015;2,4
Damolândia;2016;0
Damolândia;2017;0
Damolândia;2018;0
Davinópolis;2013;3,2
Davinópolis;2014;4,2
Davinópolis;2015;0
Davinópolis;2016;9,7
Davinópolis;2017;4,8
Davinópolis;2018;2
Diorama;2013;0
Diorama;2014;0
Diorama;2015;1,4
Diorama;2016;5,6
Diorama;2017;0
Diorama;2018;0
Divinópolis de Goiás;2013;3,1
Divinópolis de Goiás;2014;6,1
Divinópolis de Goiás;2015;0
Divinópolis de Goiás;2016;5
Divinópolis de Goiás;2017;1,7
Divinópolis de Goiás;2018;0
Doverlândia;2013;1,1
Doverlândia;2014;0
Doverlândia;2015;2,9
Doverlândia;2016;2
Doverlândia;2017;0,9
Doverlândia;2018;3,3
Edealina;2013;0,7
Edealina;2014;2,1
Edealina;2015;9,3
Edealina;2016;0
Edealina;2017;1,8
Edealina;2018;7,5
Edéia;2013;0,6
Edéia;2014;1,3
Edéia;2015;6,5
Edéia;2016;2,3
Edéia;2017;4,7
Edéia;2018;0
Estrela do Norte;2013;3,1
Estrela do Norte;2014;5,7
Estrela do Norte;2015;3,2
Estrela do Norte;2016;11,4
Estrela do Norte;2017;4,7
Estrela do Norte;2018;3,4
Faina;2013;4,3
Faina;2014;5,7
Faina;2015;2,3
Faina;2016;4,3
Faina;2017;2,9
Faina;2018;1,8
Fazenda Nova;2013;1,3
Fazenda Nova;2014;1,7
Fazenda Nova;2015;6,8
Fazenda Nova;2016;3,6
Fazenda Nova;2017;1
Fazenda Nova;2018;1,9
Firminópolis;2013;5,1
Firminópolis;2014;9,8
Firminópolis;2015;1,5
Firminópolis;2016;4,5
Firminópolis;2017;2,3
Firminópolis;2018;2,9
Flores de Goiás;2013;2,7
Flores de Goiás;2014;1,2
Flores de Goiás;2015;4,2
Flores de Goiás;2016;4,1
Flores de Goiás;2017;0
Flores de Goiás;2018;1,5
Formosa;2013;3,4
Formosa;2014;2,5
Formosa;2015;6,5
Formosa;2016;2,9
Formosa;2017;1,4
Formosa;2018;1,9
Formoso;2013;3,6
Formoso;2014;1,8
Formoso;2015;0,9
Formoso;2016;2,1
Formoso;2017;0
Formoso;2018;1,7
Gameleira de Goiás;2013;5,1
Gameleira de Goiás;2014;2,7
Gameleira de Goiás;2015;7
Gameleira de Goiás;2016;2,3
Gameleira de Goiás;2017;0
Gameleira de Goiás;2018;1,8
Goianápolis;2013;1,6
Goianápolis;2014;14,1
Goianápolis;2015;5,9
Goianápolis;2016;9,6
Goianápolis;2017;6,3
Goianápolis;2018;4,6
Goiandira;2013;2,2
Goiandira;2014;0,6
Goiandira;2015;4,3
Goiandira;2016;7
Goiandira;2017;4,4
Goiandira;2018;0
Goianésia;2013;4,9
Goianésia;2014;6,6
Goianésia;2015;7,3
Goianésia;2016;6,2
Goianésia;2017;1,6
Goianésia;2018;2,9
Goiânia;2013;5,3
Goiânia;2014;4,2
Goiânia;2015;4,3
Goiânia;2016;4,3
Goiânia;2017;0,9
Goiânia;2018;1,3
Goianira;2013;8,1
Goianira;2014;13,1
Goianira;2015;9,4
Goianira;2016;3,7
Goianira;2017;0,5
Goianira;2018;0,7
Goiás;2013;6,1
Goiás;2014;0,3
Goiás;2015;0,7
Goiás;2016;0,5
Goiás;2017;0,5
Goiás;2018;1,4
Goiatuba;2013;6,7
Goiatuba;2014;6,4
Goiatuba;2015;7,3
Goiatuba;2016;5,5
Goiatuba;2017;1,1
Goiatuba;2018;2,2
Gouvelândia;2013;8,6
Gouvelândia;2014;3,3
Gouvelândia;2015;0
Gouvelândia;2016;2,3
Gouvelândia;2017;0
Gouvelândia;2018;0
Guapó;2013;3,4
Guapó;2014;5,5
Guapó;2015;7,3
Guapó;2016;5,1
Guapó;2017;0
Guapó;2018;1
Guaraíta;2013;0
Guaraíta;2014;1,6
Guaraíta;2015;7,4
Guaraíta;2016;4,4
Guaraíta;2017;0
Guaraíta;2018;1,5
Guarani de Goiás;2013;3,4
Guarani de Goiás;2014;2
Guarani de Goiás;2015;2,9
Guarani de Goiás;2016;1,1
Guarani de Goiás;2017;0
Guarani de Goiás;2018;0
Guarinos;2013;3,7
Guarinos;2014;5,1
Guarinos;2015;1,6
Guarinos;2016;1,5
Guarinos;2017;1,4
Guarinos;2018;0
Heitoraí;2013;3,2
Heitoraí;2014;0,8
Heitoraí;2015;1,8
Heitoraí;2016;1,9
Heitoraí;2017;2,9
Heitoraí;2018;2,7
Hidrolândia;2013;7,9
Hidrolândia;2014;14,1
Hidrolândia;2015;7,3
Hidrolândia;2016;10,6
Hidrolândia;2017;3,7
Hidrolândia;2018;5,1
Hidrolina;2013;5,5
Hidrolina;2014;5
Hidrolina;2015;4
Hidrolina;2016;7,6
Hidrolina;2017;0,8
Hidrolina;2018;3,7
Iaciara;2013;0,5
Iaciara;2014;0,2
Iaciara;2015;0,8
Iaciara;2016;3,3
Iaciara;2017;0
Iaciara;2018;0,2
Inaciolândia;2013;3
Inaciolândia;2014;13,2
Inaciolândia;2015;1,6
Inaciolândia;2016;9,2
Inaciolândia;2017;0
Inaciolândia;2018;0
Indiara;2013;9,8
Indiara;2014;5,9
Indiara;2015;4,5
Indiara;2016;7,4
Indiara;2017;0,9
Indiara;2018;1,2
Inhumas;2013;7,9
Inhumas;2014;7
Inhumas;2015;1,6
Inhumas;2016;1
Inhumas;2017;0,5
Inhumas;2018;0
Ipameri;2013;7,3
Ipameri;2014;11,3
Ipameri;2015;7,4
Ipameri;2016;5,6
Ipameri;2017;3,5
Ipameri;2018;2,8
Ipiranga de Goiás;2013;0
Ipiranga de Goiás;2014;0
Ipiranga de Goiás;2015;0
Ipiranga de Goiás;2016;0
Ipiranga de Goiás;2017;0
Ipiranga de Goiás;2018;0
Iporá;2013;8,5
Iporá;2014;6,8
Iporá;2015;5,6
Iporá;2016;3,9
Iporá;2017;7,5
Iporá;2018;4,2
Israelândia;2013;4,6
Israelândia;2014;1,9
Israelândia;2015;2,2
Israelândia;2016;1,4
Israelândia;2017;1,3
Israelândia;2018;0
Itaberaí;2013;2
Itaberaí;2014;3,5
Itaberaí;2015;3,7
Itaberaí;2016;6,2
Itaberaí;2017;0,5
Itaberaí;2018;1,8
Itaguari;2013;6,3
Itaguari;2014;7,2
Itaguari;2015;7,5
Itaguari;2016;11,6
Itaguari;2017;1,6
Itaguari;2018;4,8
Itaguaru;2013;1,3
Itaguaru;2014;2,2
Itaguaru;2015;4,6
Itaguaru;2016;4,5
Itaguaru;2017;0
Itaguaru;2018;0
Itajá;2013;11,2
Itajá;2014;11,5
Itajá;2015;2,2
Itajá;2016;10,3
Itajá;2017;10,9
Itajá;2018;4,8
Itapaci;2013;5,5
Itapaci;2014;8,7
Itapaci;2015;4,5
Itapaci;2016;8,8
Itapaci;2017;2,2
Itapaci;2018;0
Itapirapuã;2013;5,7
Itapirapuã;2014;5,7
Itapirapuã;2015;3,3
Itapirapuã;2016;3,6
Itapirapuã;2017;2,8
Itapirapuã;2018;4,7
Itapuranga;2013;4
Itapuranga;2014;2,7
Itapuranga;2015;6,9
Itapuranga;2016;8,2
Itapuranga;2017;4,5
Itapuranga;2018;3,1
Itarumã;2013;10
Itarumã;2014;22
Itarumã;2015;13,9
Itarumã;2016;12,7
Itarumã;2017;14,2
Itarumã;2018;7,2
Itauçu;2013;6,9
Itauçu;2014;9
Itauçu;2015;8,3
Itauçu;2016;5,1
Itauçu;2017;1,4
Itauçu;2018;0
Itumbiara;2013;4,5
Itumbiara;2014;4,2
Itumbiara;2015;4,3
Itumbiara;2016;2,2
Itumbiara;2017;0,7
Itumbiara;2018;0,6
Ivolândia;2013;1,5
Ivolândia;2014;0
Ivolândia;2015;0
Ivolândia;2016;0
Ivolândia;2017;0
Ivolândia;2018;0
Jandaia;2013;3,2
Jandaia;2014;1,4
Jandaia;2015;0,9
Jandaia;2016;0
Jandaia;2017;1,3
Jandaia;2018;0
Jaraguá;2013;6,4
Jaraguá;2014;7,4
Jaraguá;2015;9,1
Jaraguá;2016;8,4
Jaraguá;2017;2,8
Jaraguá;2018;4,2
Jataí;2013;6,3
Jataí;2014;9,5
Jataí;2015;9
Jataí;2016;7,9
Jataí;2017;3
Jataí;2018;2,9
Jaupaci;2013;8,9
Jaupaci;2014;1,9
Jaupaci;2015;0
Jaupaci;2016;0
Jaupaci;2017;1,9
Jaupaci;2018;1
Jesúpolis;2013;0
Jesúpolis;2014;0
Jesúpolis;2015;5
Jesúpolis;2016;2,6
Jesúpolis;2017;0
Jesúpolis;2018;4,1
Joviânia;2013;0
Joviânia;2014;7,7
Joviânia;2015;0,5
Joviânia;2016;1,2
Joviânia;2017;0,8
Joviânia;2018;0,9
Jussara;2013;2
Jussara;2014;2,2
Jussara;2015;1,4
Jussara;2016;1,2
Jussara;2017;0
Jussara;2018;0
Lagoa Santa;2013;2,6
Lagoa Santa;2014;2,2
Lagoa Santa;2015;0
Lagoa Santa;2016;0
Lagoa Santa;2017;0
Lagoa Santa;2018;0
Leopoldo de Bulhões;2013;7,8
Leopoldo de Bulhões;2014;3,7
Leopoldo de Bulhões;2015;0,8
Leopoldo de Bulhões;2016;4,5
Leopoldo de Bulhões;2017;1,2
Leopoldo de Bulhões;2018;10,2
Luziânia;2013;6,3
Luziânia;2014;4,1
Luziânia;2015;2,6
Luziânia;2016;3,1
Luziânia;2017;0,7
Luziânia;2018;0,5
Mairipotaba;2013;9,6
Mairipotaba;2014;5,6
Mairipotaba;2015;6,1
Mairipotaba;2016;7,7
Mairipotaba;2017;1,6
Mairipotaba;2018;1,6
Mambaí;2013;4,8
Mambaí;2014;7,1
Mambaí;2015;1,9
Mambaí;2016;3,5
Mambaí;2017;2,8
Mambaí;2018;0,3
Mara Rosa;2013;6
Mara Rosa;2014;1,2
Mara Rosa;2015;1,3
Mara Rosa;2016;2,9
Mara Rosa;2017;0
Mara Rosa;2018;0
Marzagão;2013;0
Marzagão;2014;6,6
Marzagão;2015;1
Marzagão;2016;2,2
Marzagão;2017;0
Marzagão;2018;0
Matrinchã;2013;0
Matrinchã;2014;1,2
Matrinchã;2015;0
Matrinchã;2016;1,2
Matrinchã;2017;0
Matrinchã;2018;1,1
Maurilândia;2013;17,9
Maurilândia;2014;16,4
Maurilândia;2015;11,1
Maurilândia;2016;21,1
Maurilândia;2017;8,6
Maurilândia;2018;11,1
Mimoso de Goiás;2013;0
Mimoso de Goiás;2014;2,6
Mimoso de Goiás;2015;2,6
Mimoso de Goiás;2016;3
Mimoso de Goiás;2017;2,3
Mimoso de Goiás;2018;0
Minaçu;2013;3,4
Minaçu;2014;3,8
Minaçu;2015;2,8
Minaçu;2016;2,6
Minaçu;2017;1,7
Minaçu;2018;1,7
Mineiros;2013;9
Mineiros;2014;4,8
Mineiros;2015;8,5
Mineiros;2016;3,8
Mineiros;2017;3,4
Mineiros;2018;2
Moiporá;2013;0
Moiporá;2014;1,2
Moiporá;2015;1,5
Moiporá;2016;0
Moiporá;2017;0
Moiporá;2018;2,4
Monte Alegre de Goiás;2013;10,1
Monte Alegre de Goiás;2014;2,1
Monte Alegre de Goiás;2015;5,1
Monte Alegre de Goiás;2016;1,9
Monte Alegre de Goiás;2017;1,2
Monte Alegre de Goiás;2018;2,3
Montes Claros de Goiás;2013;5,5
Montes Claros de Goiás;2014;1,6
Montes Claros de Goiás;2015;4
Montes Claros de Goiás;2016;9,4
Montes Claros de Goiás;2017;0,5
Montes Claros de Goiás;2018;0
Montividiu;2013;9,5
Montividiu;2014;5,8
Montividiu;2015;8,5
Montividiu;2016;7,3
Montividiu;2017;6,8
Montividiu;2018;4,6
Montividiu do Norte;2013;9,9
Montividiu do Norte;2014;10,4
Montividiu do Norte;2015;7,8
Montividiu do Norte;2016;2,3
Montividiu do Norte;2017;0
Montividiu do Norte;2018;0
Morrinhos;2013;6
Morrinhos;2014;7
Morrinhos;2015;7
Morrinhos;2016;4,8
Morrinhos;2017;4,6
Morrinhos;2018;5,4
Morro Agudo de Goiás;2013;2,3
Morro Agudo de Goiás;2014;1,2
Morro Agudo de Goiás;2015;1
Morro Agudo de Goiás;2016;2,1
Morro Agudo de Goiás;2017;0
Morro Agudo de Goiás;2018;2,9
Mossâmedes;2013;4,6
Mossâmedes;2014;4,7
Mossâmedes;2015;7,1
Mossâmedes;2016;6,1
Mossâmedes;2017;0
Mossâmedes;2018;0
Mozarlândia;2013;4,3
Mozarlândia;2014;0,8
Mozarlândia;2015;13,2
Mozarlândia;2016;7,8
Mozarlândia;2017;1,8
Mozarlândia;2018;1
Mundo Novo;2013;2,4
Mundo Novo;2014;2,4
Mundo Novo;2015;3,9
Mundo Novo;2016;7,3
Mundo Novo;2017;2,3
Mundo Novo;2018;1
Mutunópolis;2013;3,9
Mutunópolis;2014;1,8
Mutunópolis;2015;3,5
Mutunópolis;2016;2,3
Mutunópolis;2017;0
Mutunópolis;2018;0
Nazário;2013;1
Nazário;2014;6,9
Nazário;2015;13,5
Nazário;2016;11,6
Nazário;2017;4,6
Nazário;2018;0,8
Nerópolis;2013;6,6
Nerópolis;2014;6,3
Nerópolis;2015;8,6
Nerópolis;2016;6,1
Nerópolis;2017;5,3
Nerópolis;2018;2,3
Niquelândia;2013;9
Niquelândia;2014;7
Niquelândia;2015;6,4
Niquelândia;2016;6,7
Niquelândia;2017;3,4
Niquelândia;2018;3,1
Nova América;2013;6,5
Nova América;2014;10,9
Nova América;2015;1,2
Nova América;2016;1
Nova América;2017;0
Nova América;2018;0
Nova Aurora;2013;4,2
Nova Aurora;2014;9,3
Nova Aurora;2015;6,8
Nova Aurora;2016;1,8
Nova Aurora;2017;0
Nova Aurora;2018;3,3
Nova Crixás;2013;7,3
Nova Crixás;2014;2
Nova Crixás;2015;11,5
Nova Crixás;2016;11,6
Nova Crixás;2017;6
Nova Crixás;2018;4,6
Nova Glória;2013;2,1
Nova Glória;2014;0
Nova Glória;2015;0,3
Nova Glória;2016;0,4
Nova Glória;2017;0
Nova Glória;2018;0
Nova Iguaçu de Goiás;2013;4,4
Nova Iguaçu de Goiás;2014;3,5
Nova Iguaçu de Goiás;2015;6,9
Nova Iguaçu de Goiás;2016;7,3
Nova Iguaçu de Goiás;2017;4,7
Nova Iguaçu de Goiás;2018;4
Nova Roma;2013;1,5
Nova Roma;2014;4
Nova Roma;2015;3,8
Nova Roma;2016;2
