Localidade;Ano;IDHM – Geral;IDHM - Educação;IDHM - Longevidade;IDHM - Renda
Indiara;2000;0,545;0,338;0,769;0,622
Indiara;2010;0,701;0,593;0,837;0,694
Inhumas;1991;0,49;0,278;0,687;0,616
Inhumas;2000;0,616;0,437;0,8;0,668
Inhumas;2010;0,72;0,618;0,842;0,718
Ipameri;1991;0,476;0,268;0,683;0,589
Ipameri;2000;0,574;0,394;0,755;0,637
Ipameri;2010;0,701;0,588;0,823;0,711
Ipiranga de Goiás;1991;0,425;0,222;0,662;0,523
Ipiranga de Goiás;2000;0,559;0,392;0,761;0,586
Ipiranga de Goiás;2010;0,696;0,642;0,816;0,643
Iporá;1991;0,498;0,304;0,676;0,6
Iporá;2000;0,614;0,465;0,763;0,651
Iporá;2010;0,743;0,667;0,84;0,731
Israelândia;1991;0,438;0,24;0,668;0,524
Israelândia;2000;0,538;0,351;0,761;0,584
Israelândia;2010;0,711;0,652;0,831;0,664
Itaberaí;1991;0,436;0,218;0,639;0,593
Itaberaí;2000;0,589;0,399;0,763;0,67
Itaberaí;2010;0,719;0,61;0,828;0,735
Itaguari;1991;0,44;0,259;0,632;0,519
Itaguari;2000;0,577;0,425;0,716;0,63
Itaguari;2010;0,693;0,596;0,817;0,683
Itaguaru;1991;0,441;0,239;0,644;0,557
Itaguaru;2000;0,591;0,442;0,72;0,649
Itaguaru;2010;0,718;0,648;0,828;0,689
Itajá;1991;0,462;0,245;0,667;0,605
Itajá;2000;0,568;0,363;0,782;0,644
Itajá;2010;0,691;0,57;0,835;0,692
Itapaci;1991;0,417;0,191;0,644;0,591
Itapaci;2000;0,557;0,378;0,757;0,603
Itapaci;2010;0,725;0,626;0,844;0,72
Itapirapuã;1991;0,38;0,145;0,67;0,563
Itapirapuã;2000;0,541;0,351;0,775;0,581
Itapirapuã;2010;0,677;0,568;0,816;0,67
Itapuranga;1991;0,454;0,247;0,67;0,567
Itapuranga;2000;0,593;0,42;0,772;0,642
Itapuranga;2010;0,726;0,653;0,837;0,7
Itarumã;1991;0,42;0,174;0,662;0,644
Itarumã;2000;0,588;0,391;0,757;0,686
Itarumã;2010;0,693;0,503;0,861;0,769
Itauçu;1991;0,454;0,253;0,678;0,546
Itauçu;2000;0,611;0,495;0,784;0,589
Itauçu;2010;0,718;0,638;0,833;0,697
Itumbiara;1991;0,518;0,301;0,718;0,644
Itumbiara;2000;0,656;0,505;0,815;0,686
Itumbiara;2010;0,752;0,682;0,838;0,744
Ivolândia;1991;0,389;0,16;0,676;0,543
Ivolândia;2000;0,563;0,384;0,77;0,602
Ivolândia;2010;0,704;0,622;0,825;0,68
Jandaia;1991;0,444;0,215;0,69;0,589
Jandaia;2000;0,59;0,418;0,796;0,616
Jandaia;2010;0,707;0,625;0,821;0,69
Jaraguá;1991;0,393;0,169;0,653;0,549
Jaraguá;2000;0,56;0,39;0,725;0,621
Jaraguá;2010;0,699;0,588;0,841;0,692
Jataí;1991;0,497;0,262;0,718;0,651
Jataí;2000;0,627;0,435;0,816;0,696
Jataí;2010;0,757;0,656;0,856;0,774
Jaupaci;1991;0,428;0,211;0,639;0,583
Jaupaci;2000;0,553;0,415;0,712;0,572
Jaupaci;2010;0,689;0,602;0,824;0,658
Jesúpolis;1991;0,351;0,135;0,621;0,518
Jesúpolis;2000;0,55;0,407;0,697;0,586
Jesúpolis;2010;0,649;0,522;0,814;0,642
Joviânia;1991;0,497;0,287;0,679;0,629
Joviânia;2000;0,637;0,473;0,767;0,714
Joviânia;2010;0,706;0,595;0,827;0,714
Jussara;1991;0,475;0,252;0,7;0,607
Jussara;2000;0,598;0,414;0,809;0,637
Jussara;2010;0,743;0,635;0,842;0,768
Lagoa Santa;1991;0,382;0,141;0,718;0,551
Lagoa Santa;2000;0,559;0,366;0,815;0,585
Lagoa Santa;2010;0,74;0,638;0,868;0,733
Leopoldo de Bulhões;1991;0,427;0,209;0,658;0,566
Leopoldo de Bulhões;2000;0,523;0,312;0,737;0,622
Leopoldo de Bulhões;2010;0,659;0,529;0,812;0,665
Luziânia;1991;0,43;0,195;0,665;0,614
Luziânia;2000;0,55;0,334;0,779;0,639
Luziânia;2010;0,701;0,602;0,831;0,689
Mairipotaba;1991;0,473;0,261;0,684;0,593
Mairipotaba;2000;0,627;0,465;0,789;0,671
Mairipotaba;2010;0,745;0,648;0,854;0,748
Mambaí;1991;0,245;0,053;0,635;0,437
Mambaí;2000;0,431;0,222;0,713;0,506
Mambaí;2010;0,626;0,494;0,816;0,61
Mara Rosa;1991;0,415;0,182;0,67;0,587
Mara Rosa;2000;0,54;0,35;0,772;0,584
Mara Rosa;2010;0,691;0,579;0,838;0,68
Marzagão;1991;0,51;0,299;0,7;0,632
Marzagão;2000;0,614;0,465;0,78;0,638
Marzagão;2010;0,699;0,601;0,822;0,692
Matrinchã;1991;0,344;0,112;0,652;0,558
Matrinchã;2000;0,515;0,307;0,763;0,582
Matrinchã;2010;0,679;0,572;0,84;0,651
Maurilândia;1991;0,448;0,222;0,671;0,604
Maurilândia;2000;0,546;0,347;0,773;0,607
Maurilândia;2010;0,677;0,554;0,823;0,682
Mimoso de Goiás;1991;0,331;0,115;0,648;0,487
Mimoso de Goiás;2000;0,445;0,231;0,728;0,525
Mimoso de Goiás;2010;0,665;0,543;0,825;0,656
Minaçu;1991;0,434;0,211;0,676;0,572
Minaçu;2000;0,559;0,365;0,772;0,619
Minaçu;2010;0,707;0,637;0,803;0,691
Mineiros;1991;0,479;0,228;0,718;0,671
Mineiros;2000;0,59;0,378;0,792;0,687
Mineiros;2010;0,718;0,584;0,84;0,753
Moiporá;1991;0,425;0,217;0,653;0,541
Moiporá;2000;0,575;0,408;0,763;0,612
Moiporá;2010;0,696;0,632;0,818;0,652
Monte Alegre de Goiás;1991;0,312;0,104;0,618;0,472
Monte Alegre de Goiás;2000;0,418;0,206;0,707;0,503
Monte Alegre de Goiás;2010;0,615;0,481;0,816;0,592
Montes Claros de Goiás;1991;0,434;0,201;0,676;0,602
Montes Claros de Goiás;2000;0,563;0,367;0,779;0,623
Montes Claros de Goiás;2010;0,707;0,622;0,806;0,704
Montividiu;1991;0,379;0,135;0,684;0,589
Montividiu;2000;0,578;0,372;0,786;0,66
Montividiu;2010;0,733;0,644;0,827;0,738
Montividiu do Norte;1991;0,31;0,1;0,618;0,482
Montividiu do Norte;2000;0,451;0,253;0,708;0,512
Montividiu do Norte;2010;0,613;0,488;0,816;0,578
Morrinhos;1991;0,498;0,286;0,71;0,609
Morrinhos;2000;0,623;0,419;0,803;0,717
Morrinhos;2010;0,734;0,621;0,862;0,739
Morro Agudo de Goiás;1991;0,434;0,244;0,621;0,54
Morro Agudo de Goiás;2000;0,535;0,383;0,707;0,567
Morro Agudo de Goiás;2010;0,695;0,63;0,826;0,644
Mossâmedes;1991;0,396;0,167;0,7;0,53
Mossâmedes;2000;0,587;0,407;0,787;0,633
Mossâmedes;2010;0,706;0,623;0,811;0,696
Mozarlândia;1991;0,393;0,169;0,638;0,563
Mozarlândia;2000;0,562;0,385;0,742;0,62
Mozarlândia;2010;0,683;0,565;0,825;0,684
Mundo Novo;1991;0,321;0,095;0,618;0,561
Mundo Novo;2000;0,446;0,213;0,725;0,575
Mundo Novo;2010;0,634;0,488;0,812;0,642
Mutunópolis;1991;0,379;0,17;0,634;0,506
Mutunópolis;2000;0,528;0,354;0,704;0,589
Mutunópolis;2010;0,68;0,584;0,806;0,668
Nazário;1991;0,402;0,174;0,7;0,534
Nazário;2000;0,574;0,379;0,786;0,634
Nazário;2010;0,71;0,631;0,808;0,702
Nerópolis;1991;0,461;0,25;0,676;0,579
Nerópolis;2000;0,616;0,462;0,777;0,65
Nerópolis;2010;0,721;0,671;0,82;0,681
Niquelândia;1991;0,374;0,147;0,647;0,548
Niquelândia;2000;0,555;0,365;0,749;0,627
Niquelândia;2010;0,715;0,64;0,806;0,709
Nova América;1991;0,441;0,265;0,621;0,522
Nova América;2000;0,514;0,323;0,737;0,571
Nova América;2010;0,678;0,604;0,796;0,647
Nova Aurora;1991;0,462;0,271;0,702;0,52
Nova Aurora;2000;0,651;0,541;0,784;0,649
Nova Aurora;2010;0,747;0,697;0,849;0,703
Nova Crixás;1991;0,349;0,114;0,646;0,577
Nova Crixás;2000;0,479;0,237;0,746;0,621
Nova Crixás;2010;0,643;0,485;0,813;0,674
Nova Glória;1991;0,44;0,253;0,658;0,512
Nova Glória;2000;0,557;0,393;0,762;0,577
Nova Glória;2010;0,681;0,589;0,816;0,657
Nova Iguaçu de Goiás;1991;0,306;0,083;0,621;0,557
Nova Iguaçu de Goiás;2000;0,514;0,324;0,708;0,591
Nova Iguaçu de Goiás;2010;0,655;0,54;0,812;0,642
Nova Roma;1991;0,384;0,182;0,639;0,486
Nova Roma;2000;0,486;0,309;0,753;0,492
Nova Roma;2010;0,634;0,529;0,812;0,594
Nova Veneza;1991;0,451;0,267;0,639;0,538
Nova Veneza;2000;0,549;0,382;0,73;0,593
Nova Veneza;2010;0,718;0,66;0,837;0,671
Novo Brasil;1991;0,414;0,19;0,649;0,575
Novo Brasil;2000;0,55;0,364;0,748;0,611
Novo Brasil;2010;0,699;0,598;0,828;0,691
Novo Gama;1991;0,451;0,235;0,661;0,589
Novo Gama;2000;0,546;0,357;0,735;0,619
Novo Gama;2010;0,684;0,567;0,851;0,664
Novo Planalto;1991;0,433;0,226;0,637;0,563
Novo Planalto;2000;0,536;0,381;0,731;0,553
Novo Planalto;2010;0,658;0,55;0,831;0,623
Orizona;1991;0,402;0,174;0,683;0,548
Orizona;2000;0,577;0,385;0,761;0,657
Orizona;2010;0,715;0,612;0,827;0,722
Ouro Verde de Goiás;1991;0,408;0,179;0,632;0,601
Ouro Verde de Goiás;2000;0,523;0,335;0,722;0,59
Ouro Verde de Goiás;2010;0,719;0,674;0,821;0,672
Ouvidor;1991;0,486;0,28;0,682;0,6
Ouvidor;2000;0,636;0,516;0,789;0,631
Ouvidor;2010;0,747;0,697;0,83;0,721
Padre Bernardo;1991;0,346;0,124;0,648;0,517
Padre Bernardo;2000;0,484;0,261;0,728;0,598
