Localidade;Ano;IDM Educacao;Adequacao dos professores do ensino infantil;Adequacao dos professores do ensino fundamental;Adequacao dos professores do ensino médio;Atendimento educacional da população de 4 a 5 anos;Atendimento educacional da população de 6 a 14 anos;Atendimento educacional da população de 15 a 17 anos;IDEB5ano;IDEB9ano;Infraestrutura dos predios das escolas publicas urbanas
Bonópolis;2018;5,13777777777778;6;5,07;3,09;8,47;4,71;4,28;5,8;4,4;4,42
Brazabrantes;2012;5,885;;;;8,26;9,28;7,43;5,5;4,1;0,74
Brazabrantes;2014;3,88666666666667;;;;6,73;5,48;2,01;5,9;3,2;0
Brazabrantes;2016;5,04555555555556;4,29;4,11;3,7;9,17;9,1;4,37;5,3;5;0,37
Brazabrantes;2018;5,86333333333333;6,25;4,9;4,65;10;10;5,01;5,5;5;1,46
Britânia;2012;4,985;;;;5,74;7,93;3,3;4,3;3,9;4,74
Britânia;2014;5,915;;;;6,04;8,62;8,29;4,4;4,2;3,94
Britânia;2016;5,25444444444444;2;4,47;2,26;7,62;10;7,35;5,9;4,6;3,09
Britânia;2018;5,08;6,25;2,42;2,23;6,91;10;2,41;5,9;5,6;4
Buriti Alegre;2012;4,53166666666667;;;;6,82;7,28;2,41;5;2,7;2,98
Buriti Alegre;2014;4,26;;;;4,99;3,21;5,8;5,1;3,4;3,06
Buriti Alegre;2016;5,73666666666667;1,05;3,93;5,08;9,12;10;7,74;6,1;5,4;3,21
Buriti Alegre;2018;5,79333333333333;3,44;3,32;4,39;10;10;4,99;6,6;6;3,4
Buriti de Goiás;2012;5,73833333333333;;;;7,65;9,55;0,74;5,7;5;5,79
Buriti de Goiás;2014;6,18833333333333;;;;4,34;9,45;8,72;6,1;4,2;4,32
Buriti de Goiás;2016;7,29;10;6,24;3,28;7,79;10;10;6,3;5,7;6,3
Buriti de Goiás;2018;6,73333333333333;8;5,44;3,34;10;10;6,98;6,7;6,1;4,04
Buritinópolis;2012;5,105;;;;7,78;8,93;5,64;4,2;3,2;0,88
Buritinópolis;2014;5,76333333333333;;;;6,78;7,72;10;4,6;4;1,48
Buritinópolis;2016;4,71111111111111;2,5;1,74;3,92;5,25;9,88;6,82;5,4;4,3;2,59
Buritinópolis;2018;5,22375;5,33;2,11;5,06;6,73;9,24;6,01;;5;2,31
Cabeceiras;2012;4,98166666666667;;;;4,74;6,93;5,47;4,4;3,4;4,95
Cabeceiras;2014;4,65333333333333;;;;3,97;7,07;5,04;4,3;3,6;3,94
Cabeceiras;2016;4,75444444444444;5;3,23;3,11;4,98;7,2;7,18;4,8;4,7;2,59
Cabeceiras;2018;4,70555555555556;4;3;2,96;7,51;7,6;5,71;5;4,4;2,17
Cachoeira Alta;2012;4,815;;;;5,45;8,24;3,62;4,7;3,2;3,68
Cachoeira Alta;2014;3,835;;;;4,5;2,87;2,48;5,1;3,9;4,16
Cachoeira Alta;2016;5,33111111111111;7;4,79;3,58;7,05;7,62;4,39;5,8;4,8;2,95
Cachoeira Alta;2018;5,87888888888889;7,39;4,8;3,6;8,15;6,76;7,28;5,5;5,2;4,23
Cachoeira de Goiás;2012;5,86666666666667;;;;7,39;10;5,78;5,1;4,3;2,63
Cachoeira de Goiás;2014;6,998;;;;10;7,16;8,25;6,4;;3,18
Cachoeira de Goiás;2016;6,415;10;4,87;3,83;10;7,46;7,28;;5,6;2,28
Cachoeira de Goiás;2018;6,20666666666667;6,67;5,38;2,29;10;10;6,62;6,8;5,6;2,5
Cachoeira Dourada;2012;6,99666666666667;;;;8,65;8,9;8,04;4,6;3,9;7,89
Cachoeira Dourada;2014;5,91;;;;8,28;6,47;6,28;5,1;4,2;5,13
Cachoeira Dourada;2016;5,92666666666667;2,76;3,44;4,23;10;10;6,82;5,7;4,8;5,59
Cachoeira Dourada;2018;5,70888888888889;2,86;3,93;4,02;10;8,65;4,45;6,5;5,2;5,77
Caçu;2012;5,88333333333333;;;;5,42;8,92;6,59;5;4;5,37
Caçu;2014;4,67166666666667;;;;4,66;5,57;4,19;5,6;4,4;3,61
Caçu;2016;5,14888888888889;8;6,4;5,28;4,1;4,62;3,24;5,6;5,1;4
Caçu;2018;5,74222222222222;7,65;5,78;5,39;5,3;6,36;5,65;6,2;5,5;3,85
Caiapônia;2012;5,77666666666667;;;;7,25;7,52;6,14;5;3,9;4,85
Caiapônia;2014;4,20666666666667;;;;4,14;4,45;1,99;5,3;4,6;4,76
Caiapônia;2016;4,61222222222222;5,77;3,59;3,14;4,95;4,81;3,93;5,8;5,2;4,32
Caiapônia;2018;5,30111111111111;7,5;2,75;3,15;7,92;5,72;4,99;6,1;5,4;4,18
Caldas Novas;2012;5,15333333333333;;;;4,95;7,64;6,32;4,7;3,7;3,61
Caldas Novas;2014;5,415;;;;4,59;8;7,38;5,1;3,8;3,62
Caldas Novas;2016;5,42444444444444;7,61;5,45;5,47;3,67;7,05;5,43;5,7;4,9;3,54
Caldas Novas;2018;6,00111111111111;7,18;5,82;4,76;7,54;10;3,85;5,9;5,2;3,76
Caldazinha;2012;4,33333333333333;;;;6,8;4,13;2,53;4;3,8;4,74
Caldazinha;2014;5,37833333333333;;;;6,19;7,49;7,15;3,6;3,9;3,94
Caldazinha;2016;6,23333333333333;7,14;4,73;3,16;9,48;10;10;4,9;4,1;2,59
Caldazinha;2018;5,58333333333333;7,27;4,48;3,15;10;10;1,76;5,4;5,5;2,69
Campestre de Goiás;2012;5,39166666666667;;;;4,32;7,96;5,68;5,1;3,5;5,79
Campestre de Goiás;2014;5,61166666666667;;;;5,31;9,17;5,54;5,6;4,3;3,75
Campestre de Goiás;2016;6,04555555555556;6;3,83;3,06;10;10;7,79;5,6;4,3;3,83
Campestre de Goiás;2018;6,29;7,14;3,94;2,23;10;10;6,87;6,7;5,5;4,23
Campinaçu;2012;4,08333333333333;;;;3,16;4,34;4,71;4,2;3,7;4,39
Campinaçu;2014;5,585;;;;4,43;8,25;8,54;5,1;4,2;2,99
Campinaçu;2016;4,98777777777778;1,54;1,78;4,63;8,18;10;6,37;5,1;4,7;2,59
Campinaçu;2018;4,92222222222222;2,14;2,16;2,42;10;10;3,43;5,6;4,9;3,65
Campinorte;2012;5,15333333333333;;;;2,93;9,17;5,73;4,6;3,9;4,59
Campinorte;2014;5,28333333333333;;;;2,48;8,51;7,55;4,6;4,7;3,86
Campinorte;2016;4,88555555555556;7,27;3,45;3,11;4,16;6,94;5,44;5,4;4,9;3,3
Campinorte;2018;6,10777777777778;7,69;3,45;5,14;6,76;7,57;9,39;6,3;5,4;3,27
Campo Alegre de Goiás;2012;6,125;;;;6,32;8,84;7,3;5,1;3,4;5,79
Campo Alegre de Goiás;2014;5,27333333333333;;;;5,29;6,03;5,22;5,7;4,1;5,3
Campo Alegre de Goiás;2016;5,71777777777778;4,38;5,16;4,39;6,23;10;4,35;6,3;4,6;6,05
Campo Alegre de Goiás;2018;5,05666666666667;5;4,08;2,86;4,06;5,25;7,99;6,1;4,9;5,27
Campo Limpo de Goiás;2012;4,77833333333333;;;;5,15;7,51;2,62;4,3;3,3;5,79
Campo Limpo de Goiás;2014;4,705;;;;6,49;7,39;2,77;4,8;3,6;3,18
Campo Limpo de Goiás;2016;5,16;6,54;4,57;3,77;6,79;7,23;6,45;4,7;3,8;2,59
Campo Limpo de Goiás;2018;4,95666666666667;8,26;5,49;3,77;5,11;5,66;4,79;5,3;4,5;1,73
Campos Belos;2012;5,96666666666667;;;;7,05;9,43;7,33;4,5;3,6;3,89
Campos Belos;2014;6,18833333333333;;;;6,37;9,95;8,61;5;4;3,2
Campos Belos;2016;5,91444444444444;6,98;4,56;4,22;5,38;7,61;10;5,3;4,6;4,58
Campos Belos;2018;5,57555555555556;7,65;5,51;2,87;8,34;9,08;3,24;5,3;4,7;3,49
Campos Verdes;2012;5,77;;;;6,78;7,4;7,05;4,7;3,8;4,89
Campos Verdes;2014;6,68333333333333;;;;8,35;10;8,37;4,7;3,6;5,08
Campos Verdes;2016;6,31444444444444;3,75;4,16;3,67;10;10;10;5,5;5,1;4,65
Campos Verdes;2018;6,01777777777778;5;5,15;4,33;10;10;4,44;5,7;5,6;3,94
Carmo do Rio Verde;2012;5,865;;;;7,7;9,5;5,38;4,5;4;4,11
Carmo do Rio Verde;2014;4,52;;;;6,17;4,44;2,44;5,2;4;4,87
Carmo do Rio Verde;2016;4,31666666666667;3,89;4,56;1,29;5,49;7,05;2,66;5,5;5,2;3,21
Carmo do Rio Verde;2018;5,03;5,26;4,18;1,19;6,58;3,63;8,8;6,2;5,2;4,23
Castelândia;2012;4,03166666666667;;;;3,56;3,75;5,17;3,9;3,6;4,21
Castelândia;2014;6,16666666666667;;;;7,41;9,5;8,61;4,3;4;3,18
Castelândia;2016;5,35666666666667;0;5,79;2,89;8,17;10;9,07;5,3;4,4;2,59
Castelândia;2018;5,93777777777778;4,55;4,83;2,03;10;10;10;5,2;5,1;1,73
Catalão;2012;5,68;;;;7,41;7,47;5,8;4,9;3,8;4,7
Catalão;2014;5,98166666666667;;;;6,09;7,52;7,8;5,4;4,1;4,98
Catalão;2016;3,98666666666667;4,28;3,42;5,22;3,8;1,96;2,83;6,7;4,9;2,77
Catalão;2018;4,95333333333333;4,25;3,81;5,01;7,51;7,31;1,65;6,6;5,3;3,14
Caturaí;2012;5,25833333333333;;;;5,85;8,29;2,72;5;3,9;5,79
Caturaí;2014;5,78666666666667;;;;4,3;9,12;6,25;5,1;4,5;5,45
Caturaí;2016;6,07888888888889;2,5;7,44;4,94;6,59;9,75;7,93;5,3;5,2;5,06
Caturaí;2018;6,09666666666667;4;6,72;5,24;8,79;10;4,61;5,8;4,9;4,81
Cavalcante;2012;3,755;;;;3,16;3,85;5,14;3,6;3,1;3,68
Cavalcante;2014;4,41333333333333;;;;3,15;7,73;4,46;4,1;3,4;3,64
Cavalcante;2016;3,59777777777778;2,17;0;1,5;3,77;8,11;6,23;4,3;4,2;2,1
Cavalcante;2018;4,00888888888889;3,33;0;0,56;3,12;9,36;7,39;4,4;4,5;3,42
Ceres;2012;6,57333333333333;;;;8,41;9,42;7,73;5,5;4,5;3,88
Ceres;2014;7,275;;;;8,02;10;10;5,9;4,9;4,83
Ceres;2016;6,07666666666667;8,42;4,47;6,68;6,25;3,54;10;6,5;5,1;3,73
Ceres;2018;6,37;6,36;3,96;5,7;10;10;4,19;6,8;5,6;4,72
Cezarina;2012;5,65833333333333;;;;8,02;8,12;4,42;4,7;3,6;5,09
Cezarina;2014;5,97666666666667;;;;7,17;8,22;6,47;5,6;3,7;4,7
Cezarina;2016;5,93555555555556;8,46;4,38;4,45;7,12;8,3;5,74;5,4;4,1;5,47
Cezarina;2018;6,08333333333333;9,29;3,85;3,03;9,86;7,77;5,37;5,9;4,3;5,38
Chapadão do Céu;2012;5,105;;;;7,32;4,19;4,46;5,3;4,1;5,26
Chapadão do Céu;2014;6,48;;;;6,13;10;5,9;6,1;5,3;5,45
Chapadão do Céu;2016;6,03222222222222;6,32;6,15;3,38;4,93;10;9,03;6,6;5,7;2,18
Chapadão do Céu;2018;6,50888888888889;3,64;6,55;2,81;10;10;10;6,7;5,8;3,08
Cidade Ocidental;2012;5,28666666666667;;;;5,77;7,6;6,7;4,1;3,6;3,95
Cidade Ocidental;2014;4,49333333333333;;;;4,28;5,24;5,4;4,4;3,5;4,14
Cidade Ocidental;2016;5,91777777777778;8,48;7,15;3,5;4,8;8,96;6,88;5;4,1;4,39
Cidade Ocidental;2018;5,89;8,08;6,35;3,98;7,33;8,23;4,81;5;4,5;4,73
Cocalzinho de Goiás;2012;4,38166666666667;;;;4,48;5,8;4,36;4,2;3,5;3,95
Cocalzinho de Goiás;2014;5,51833333333333;;;;2,53;10;8,61;4,8;3,8;3,37
Cocalzinho de Goiás;2016;5,81444444444445;8,57;4,68;3,32;3,56;10;9,14;5,3;3,7;4,06
Cocalzinho de Goiás;2018;6,55444444444444;8,71;5,3;3,61;7,67;10;8,9;5,8;4,7;4,3
Colinas do Sul;2012;4,14333333333333;;;;5,5;5,79;3,44;4,1;3,4;2,63
Colinas do Sul;2014;5,40333333333333;;;;3,13;9,71;6,26;4,7;4,3;4,32
Colinas do Sul;2016;5,53;4,44;2,67;1,61;9,24;10;9,72;4,9;4,6;2,59
Colinas do Sul;2018;5,35777777777778;5;2,76;1,88;8,91;10;4,83;5,5;5,3;4,04
Córrego do Ouro;2012;5,615;;;;9,31;7,61;3,58;5,1;3,7;4,39
