Localidade;Ano;IDM Geral;IDM Economia;IDM Educacao;IDM Infraestrutura;IDM Saude;IDM Seguranca;IDM Trabalho
Caturaí;2012;4,7;1,12;5,26;2,83;7,73;9,35;1,91
Caturaí;2014;4,88333333333333;1,49;5,79;3,18;7,9;8,74;2,2
Caturaí;2016;5,01166666666667;1,36;6,08;3,18;8,49;8,49;2,47
Caturaí;2018;4,92333333333333;1,16;6,1;3,26;9,22;7,17;2,63
Cavalcante;2012;4,43333333333333;1,35;3,75;1,53;8,12;9,96;1,89
Cavalcante;2014;4,37666666666667;2,13;4,41;1,65;6,3;9,79;1,98
Cavalcante;2016;4,03;1,52;3,6;1,83;7,07;7,35;2,81
Cavalcante;2018;4,10166666666667;1,23;4,01;2,15;7,65;6,63;2,94
Ceres;2012;5,30333333333333;1,15;6,57;5,44;7,93;8,06;2,67
Ceres;2014;5,64666666666667;1,92;7,28;6,22;9,05;6,77;2,64
Ceres;2016;5,635;1,69;6,08;6,31;9,02;6,71;4
Ceres;2018;5,62333333333333;1,3;6,37;6,57;8,86;6,39;4,25
Cezarina;2012;5,13166666666667;2,3;5,66;3,23;8,69;8,02;2,89
Cezarina;2014;4,85833333333333;2,03;5,98;3,26;7,95;7,63;2,3
Cezarina;2016;4,855;1,77;5,94;2,98;6,7;8,20;3,54
Cezarina;2018;4,84166666666667;1,54;6,08;2,96;8,37;6,50;3,6
Chapadão do Céu;2012;4,93166666666667;3,03;5,11;4,21;7,95;4,37;4,92
Chapadão do Céu;2014;5,91;2,95;6,48;4,24;8,72;7,63;5,44
Chapadão do Céu;2016;5,63833333333333;3,81;6,03;4,54;8,15;6,23;5,07
Chapadão do Céu;2018;5,49666666666667;3,19;6,51;3,82;9,2;4,89;5,37
Cidade Ocidental;2012;4,54666666666667;1,79;5,29;4,77;6;7,08;2,35
Cidade Ocidental;2014;4,29;1,99;4,49;5,06;5,52;6,50;2,18
Cidade Ocidental;2016;4,69;1,97;5,92;5,2;6,15;5,69;3,21
Cidade Ocidental;2018;4,99166666666667;1,62;5,89;5,36;6,77;6,94;3,37
Cocalzinho de Goiás;2012;4,07333333333333;1,22;4,38;1,79;7,53;7,36;2,16
Cocalzinho de Goiás;2014;4,28166666666667;1,8;5,52;2;7,03;6,91;2,43
Cocalzinho de Goiás;2016;4,275;1,39;5,81;2,06;7,29;6,20;2,9
Cocalzinho de Goiás;2018;4,53;1,1;6,55;2,23;7,41;6,98;2,91
Colinas do Sul;2012;4,28166666666667;1,18;4,14;1,74;7,9;9,49;1,24
Colinas do Sul;2014;4,42833333333333;1,75;5,4;1,83;7,89;7,76;1,94
Colinas do Sul;2016;4,42166666666667;1,33;5,53;1,85;8;8,20;1,62
Colinas do Sul;2018;4,545;0,87;5,36;1,8;8,54;7,23;3,47
Córrego do Ouro;2012;4,94666666666667;1,09;5,61;2,88;8,5;9,59;2,01
Córrego do Ouro;2014;4,875;1,8;5,44;2,73;8,03;9,23;2,02
Córrego do Ouro;2016;4,935;1,56;6,11;2,74;7,5;9,09;2,61
Córrego do Ouro;2018;5,18666666666667;1,16;6,34;2,79;9,16;8,93;2,74
Corumbá de Goiás;2012;3,62166666666667;0,96;4,86;1,49;5,64;7,28;1,5
Corumbá de Goiás;2014;3,995;1,68;3,87;1,73;7,06;7,52;2,11
Corumbá de Goiás;2016;4,02833333333333;1,59;4,83;1,65;7,27;6,39;2,44
Corumbá de Goiás;2018;4,38833333333333;0,99;5,23;1,72;8,36;7,32;2,71
Corumbaíba;2012;4,73833333333333;1,15;4,77;4,66;8,11;7,39;2,35
Corumbaíba;2014;5,22;2,06;5,91;5,57;8,75;6,43;2,6
Corumbaíba;2016;5,43833333333333;2,43;6,55;5,44;8,29;6,96;2,96
Corumbaíba;2018;5,26666666666667;1,57;6,39;5,2;8,4;6,87;3,17
Cristalina;2012;4,61;2,54;4,9;2,84;6,98;7,59;2,81
Cristalina;2014;4,55333333333333;3,28;4,69;2,82;6,18;7,40;2,95
Cristalina;2016;4,67;3,3;4,75;2,64;6,76;7,30;3,27
Cristalina;2018;4,66166666666667;2,89;5,43;2,93;6,72;6,88;3,12
Cristianópolis;2012;5,155;1,15;6,26;3,76;7,98;9,74;2,04
Cristianópolis;2014;5,26;1,47;6,85;4,03;8,52;8,53;2,16
Cristianópolis;2016;4,86833333333333;1,32;6,51;4,07;8,71;6,26;2,34
Cristianópolis;2018;4,70333333333333;0,68;5,79;4,12;8,32;6,78;2,53
Crixás;2012;4,90166666666667;1,58;6,03;2,16;8,59;6,90;4,15
Crixás;2014;4,95166666666667;2,29;6,15;2,32;7,98;7,13;3,84
Crixás;2016;4,68333333333333;1,68;4,72;2,39;8,36;6,94;4,01
Crixás;2018;5,05666666666667;1,46;5,71;2,32;8,68;7,70;4,47
Cromínia;2012;4,58833333333333;1,22;5,33;3,41;7,71;7,60;2,26
Cromínia;2014;4,68166666666667;1,47;5,77;3,35;8;7,24;2,26
Cromínia;2016;4,43833333333333;1,26;6,3;3,26;7,59;5,51;2,71
Cromínia;2018;4,57166666666667;1;6,59;3,34;9,15;5,17;2,18
Cumari;2012;4,59833333333333;1,25;5,94;3,92;7,48;6,54;2,46
Cumari;2014;4,465;1,55;4,55;3,86;7,69;6,61;2,53
Cumari;2016;4,12833333333333;1,82;4,78;3,77;7,72;4,18;2,5
Cumari;2018;4,62833333333333;1,2;6,01;4,01;8,52;5,31;2,72
Damianópolis;2012;4,545;1,15;5,44;2,16;7,96;9,18;1,38
Damianópolis;2014;4,78833333333333;1,47;5,89;2,58;8,27;8,97;1,55
Damianópolis;2016;4,94166666666667;1,23;5,58;2,52;8,14;9,69;2,49
Damianópolis;2018;4,91;0,96;4,63;2,72;9,02;9,30;2,83
Damolândia;2012;5,05833333333333;1,58;6,28;3,42;8,42;8,69;1,96
Damolândia;2014;5,21833333333333;1,58;7,01;3,61;7,82;9,04;2,25
Damolândia;2016;5,445;1,65;6,43;3,7;8,88;9,03;2,98
Damolândia;2018;4,72;1,15;5,44;4,14;9,64;6,12;1,83
Davinópolis;2012;4,49166666666667;2,76;5,1;2,99;7,01;6,78;2,31
Davinópolis;2014;5,015;2,86;4,48;3,17;7,12;9,32;3,14
Davinópolis;2016;4,76;1,03;4,21;3,22;8,4;7,78;3,92
Davinópolis;2018;5,26333333333333;2,97;4,64;3,57;8;8,18;4,22
Diorama;2012;5,08;0,88;7,27;2,29;8,19;9,86;1,99
Diorama;2014;4,83666666666667;1,44;5,16;2,43;9,34;8,20;2,45
Diorama;2016;5,01833333333333;1,55;4,78;2,25;9,75;8,89;2,89
Diorama;2018;4,89;1,19;4,53;2,4;9,38;8,81;3,03
Divinópolis de Goiás;2012;4,72666666666667;1,06;5,05;2,7;7,84;9,37;2,34
Divinópolis de Goiás;2014;4,83833333333333;1,57;6,14;2,69;6,91;9,59;2,13
Divinópolis de Goiás;2016;4,53333333333333;1,15;5,65;2,54;8,2;7,17;2,49
Divinópolis de Goiás;2018;4,69666666666667;0,94;4,91;2,6;8,87;8,09;2,77
Doverlândia;2012;4,62333333333333;1,76;4,27;3,06;7,7;9,02;1,93
Doverlândia;2014;4,72166666666667;1,92;4,17;3,2;7,64;9,27;2,13
Doverlândia;2016;4,94833333333333;1,83;4,68;3,2;8,27;9,17;2,54
Doverlândia;2018;4,65;1,56;4,8;3,3;8,71;7,50;2,03
Edealina;2012;4,83666666666667;1,3;4,7;3,44;8,08;9,48;2,02
Edealina;2014;5,38833333333333;2,14;6,18;3,15;9,37;8,36;3,13
Edealina;2016;5,78666666666667;3,11;7,29;3,25;8,66;7,57;4,84
Edealina;2018;5,30166666666667;2,6;7,05;3,42;8,93;6,62;3,19
Edéia;2012;4,65;2,08;6,09;3,23;7,15;6,17;3,18
Edéia;2014;5,42333333333333;2,47;5,62;5,42;7,56;7,70;3,77
