Localidade;Ano;IDM Saude;Cobertura ESF;Cobertura Vacinal tetravalente;Cobertura ESF Saude Bucal;Leitos SUS por 1000 hab;Medicos SUS por 1000 hab;Mortalidade Infantil;Morte por causas externas;Prenatal com 7 consultas
Aparecida do Rio Doce;2016;7,35;10;10;10;0;7,97;10;5,56;5,27
Aparecida do Rio Doce;2018;7,61625;10;10;10;0;8;10;7,22;5,71
Aporé;2012;7,92;10;7,71;4,53;10;10;8,63;7,95;4,54
Aporé;2014;8,41625;8,91;10;8,97;10;7,5;8,5;7,69;5,76
Aporé;2016;8,60875;8,72;8,4;8,94;10;10;10;6,11;6,7
Aporé;2018;7,7025;7,91;5,55;10;10;10;6,83;5,83;5,5
Araçu;2012;8,22;10;7;10;10;2,6;10;8,13;8,03
Araçu;2014;8,21875;10;10;10;10;0;10;8,67;7,08
Araçu;2016;8,2775;9,92;10;10;10;2,65;10;9,54;4,11
Araçu;2018;8,00875;10;7,43;10;10;5;9,11;7,12;5,41
Aragarças;2012;8,07375;9,96;8,65;10;7,23;10;8,76;7,21;2,78
Aragarças;2014;7,4525;9,76;4,51;10;7,27;10;8,51;6,07;3,5
Aragarças;2016;7,795;8,37;8,76;9,6;9,02;10;8,23;7,58;0,8
Aragarças;2018;7,705;10;4,28;10;9;10;9,05;6,46;2,85
Aragoiânia;2012;7,02125;8,03;8,31;8,27;6,27;3,5;9,36;6,25;6,18
Aragoiânia;2014;7,505;9,82;10;10;5,87;5,5;8,35;5,69;4,81
Aragoiânia;2016;7,44;10;4,14;10;5,65;7,41;10;7,07;5,25
Aragoiânia;2018;8,07375;10;10;10;5,33;10;10;5,28;3,98
Araguapaz;2012;7,76625;10;10;10;4,43;2,7;7,56;10;7,44
Araguapaz;2014;7,4625;9,93;10;4,58;4,3;7,7;10;8,14;5,05
Araguapaz;2016;7,5075;10;10;4,57;4,26;10;8,48;6,5;6,25
Araguapaz;2018;7,8675;10;10;8,64;4,33;6;8,92;8,68;6,37
Arenópolis;2012;9,30125;10;10;10;10;6,2;10;10;8,21
Arenópolis;2014;9,00125;10;10;10;10;10;7,31;10;4,7
Arenópolis;2016;9,2825;10;10;10;10;9,78;10;10;4,48
Arenópolis;2018;8,7225;10;6,94;10;10;10;8,72;6,43;7,69
Aruanã;2012;7,9425;9,44;10;10;6,5;5,2;10;7,82;4,58
Aruanã;2014;7,9375;8,81;10;8,88;6;8,4;7,92;6,15;7,34
Aruanã;2016;7,39125;8,53;8,33;8,78;5,72;3,43;10;7,78;6,56
Aruanã;2018;6,80375;7,03;3,7;7,42;5,33;9;8,75;6,23;6,97
Aurilândia;2012;6,49125;8,62;10;8,9;0;2,8;10;7,19;4,42
Aurilândia;2014;6,73375;10;4,86;10;0;2,8;10;9,44;6,77
Aurilândia;2016;7,4075;10;10;10;0;5,7;10;8,13;5,43
Aurilândia;2018;7,41625;10;8,87;10;0;9;10;5,59;5,87
Avelinópolis;2012;9,2775;10;8,83;10;10;10;10;8,5;6,89
Avelinópolis;2014;8,7575;10;10;10;10;4;10;9;7,06
Avelinópolis;2016;9,17875;10;10;10;10;8;10;10;5,43
Avelinópolis;2018;8,69625;10;10;10;10;8;7,22;7,92;6,43
Baliza;2012;5,8625;7,81;4,33;8,07;0;2,6;10;8,13;5,96
Baliza;2014;5,5925;9,78;0;10;0;4,8;10;5,79;4,37
Baliza;2016;5,37375;10;4,09;10;0;2,25;6,9;7,41;2,34
Baliza;2018;5,5475;10;0;10;0;10;6,88;7,5;0
Barro Alto;2012;7,18125;8,5;10;4,96;10;4,5;8,88;5,29;5,32
Barro Alto;2014;7,925;6,84;10;7,02;10;6,2;10;9,05;4,29
Barro Alto;2016;7,76;7,11;10;7,59;7,31;8,97;9,43;6,54;5,13
Barro Alto;2018;7,84125;5,78;10;10;7,33;10;9,29;5,75;4,58
Bela Vista de Goiás;2012;8,0875;9,16;9,94;9,26;3,6;10;9,26;7,1;6,38
Bela Vista de Goiás;2014;8,25875;10;10;10;3,77;9,4;9,43;6,99;6,48
Bela Vista de Goiás;2016;7,46375;8,09;9,27;9,98;3,62;6,15;8,53;7,3;6,77
Bela Vista de Goiás;2018;7,9275;10;8,85;10;3,67;10;9,13;5,69;6,08
Bom Jardim de Goiás;2012;8,32375;9,9;9,78;9,96;10;3,5;8,65;7,08;7,72
Bom Jardim de Goiás;2014;7,645;8,04;10;8,15;10;4,6;6,82;8,64;4,91
Bom Jardim de Goiás;2016;8,40875;10;10;8,14;8,69;4,53;10;8,34;7,57
Bom Jardim de Goiás;2018;7,6675;10;7,62;7,5;8,67;10;8,39;4,83;4,33
Bom Jesus de Goiás;2012;7,625;10;10;10;5,23;4,7;8,41;7;5,66
Bom Jesus de Goiás;2014;6,6625;9,73;10;8,12;3,1;5,8;6,37;6,93;3,25
Bom Jesus de Goiás;2016;6,84;9,61;10;8,06;2,72;4,73;8,9;7,43;3,27
Bom Jesus de Goiás;2018;7,32125;8,39;10;6,95;3;10;8,72;4,85;6,66
Bonfinópolis;2012;7,81;10;10;6,42;8,67;7,8;7,14;7,19;5,26
Bonfinópolis;2014;8,21625;9,91;6,92;10;8;10;9,04;6,36;5,5
Bonfinópolis;2016;7,1825;10;8,33;8,77;0;10;9,35;6,83;4,18
Bonfinópolis;2018;7,34125;10;8,25;7,48;1;10;9,1;6,95;5,95
Bonópolis;2012;5,6425;3,1;10;3,92;0;5,6;10;5,5;7,02
Bonópolis;2014;6,99125;9,54;10;9,57;0;5,2;10;6,92;4,7
Bonópolis;2016;7,595;10;8,2;10;0;10;10;7,78;4,78
Bonópolis;2018;7,8275;10;10;10;0;10;10;5,83;6,79
Brazabrantes;2012;8,2725;10;10;10;0;9,2;10;8,5;8,48
Brazabrantes;2014;7,9025;10;10;10;0;5,8;10;10;7,42
Brazabrantes;2016;7,345;10;10;10;0;5,67;7,18;8,59;7,32
Brazabrantes;2018;8,08375;10;10;9,63;0;9;10;7,58;8,46
Britânia;2012;8,5675;9,84;10;10;10;3,6;9,01;7,1;8,99
Britânia;2014;8,3025;10;10;6,23;10;8,7;8,58;7,33;5,58
Britânia;2016;8,195;10;10;6,22;10;10;8,56;7,32;3,46
Britânia;2018;8,5;10;10;5,42;10;10;9,43;7,44;5,71
Buriti Alegre;2012;8,04875;9,59;10;8,86;9,17;4,4;9,29;7,4;5,68
Buriti Alegre;2014;6,29625;3,07;10;3,48;9,23;4,3;7,88;7,5;4,91
Buriti Alegre;2016;7,36625;7,33;9,15;7,58;8,8;6,34;8,64;7,68;3,41
Buriti Alegre;2018;8,3975;10;10;6,9;8,67;10;8,61;7,73;5,27
Buriti de Goiás;2012;8,9;9,57;8,01;10;10;7,8;7,2;10;8,62
Buriti de Goiás;2014;8,9825;10;10;10;10;3,8;10;8,95;9,11
Buriti de Goiás;2016;8,76;10;10;10;10;3,85;10;8,17;8,06
Buriti de Goiás;2018;9,23;10;9,62;10;10;10;10;5;9,22
Buritinópolis;2012;5,3425;0,53;6,14;10;0;3;10;5,26;7,81
Buritinópolis;2014;6,1325;9,11;10;9,54;0;2,9;7,08;4,74;5,69
Buritinópolis;2016;6,3175;10;8,05;10;0;2,95;5,92;7,88;5,74
Buritinópolis;2018;7,9675;10;10;10;0;6;10;8,81;8,93
Cabeceiras;2012;7,9875;10;10;10;7,2;5,4;10;6,12;5,18
Cabeceiras;2014;7,3025;9,25;10;9,3;6,9;3,9;8,22;6,32;4,53
Cabeceiras;2016;8,23375;9,12;10;9,27;6,81;6,39;10;8,15;6,13
Cabeceiras;2018;7,67;10;8,01;10;6,67;6;9;4,64;7,04
Cachoeira Alta;2012;6,175;5,69;10;2,07;8,1;2,8;7,17;8,27;5,3
Cachoeira Alta;2014;7,285;7,59;10;7,73;7,63;1,8;10;7,5;6,03
Cachoeira Alta;2016;8,00875;10;10;10;7,42;3,42;8,88;7,63;6,72
Cachoeira Alta;2018;9,065;10;10;10;7,33;9;10;8,33;7,86
Cachoeira de Goiás;2012;4,96875;3,17;10;3,23;0;7,1;10;6,25;0
Cachoeira de Goiás;2014;7,3425;10;10;10;0;7;10;4,55;7,19
Cachoeira de Goiás;2016;6,9625;10;5,12;10;0;7,02;10;10;3,56
Cachoeira de Goiás;2018;7,03875;10;10;10;0;7;5;6,88;7,43
Cachoeira Dourada;2012;7,98375;10;5,18;10;6,47;6,1;10;7,42;8,7
Cachoeira Dourada;2014;8,67125;10;10;10;6,33;10;9,02;6,8;7,22
Cachoeira Dourada;2016;8,75375;10;10;10;7,95;9,54;8,55;8,67;5,32
Cachoeira Dourada;2018;7,63;10;4,38;10;7;10;8,95;6,18;4,53
Caçu;2012;7,58375;9,81;7,26;9,95;7,17;5,2;6,67;7,53;7,08
Caçu;2014;7,11375;10;10;5,08;6,5;4,2;9,35;5,63;6,15
Caçu;2016;8,41;10;10;10;6,29;8,09;9,03;7,32;6,55
Caçu;2018;8,31875;8,91;10;8,71;6;10;9,41;6,11;7,41
Caiapônia;2012;7,54625;10;7,53;10;10;3,5;9,59;5,15;4,6
Caiapônia;2014;6,21375;7,82;10;2,03;6;3,9;7,74;6,73;5,49
Caiapônia;2016;6,15375;7,7;9,62;2,02;4,22;6,06;8,32;7,58;3,71
Caiapônia;2018;8,11375;10;10;7,21;5;9;9,77;7,19;6,74
Caldas Novas;2012;7,74;9,55;10;9,73;3,6;7,8;8,94;6,14;6,16
Caldas Novas;2014;6,15625;4,74;9,46;3,24;3,6;8,9;7,85;6,51;4,95
Caldas Novas;2016;6,10625;4,13;7,46;3,12;3,48;9,33;9,01;7,22;5,1
Caldas Novas;2018;6,30875;4,56;6,71;3,73;3,33;10;9,42;5,74;6,98
Caldazinha;2012;7,7425;10;10;10;0;8,9;8,06;6,78;8,2
Caldazinha;2014;7,63625;10;10;10;0;8,5;10;5,29;7,3
Caldazinha;2016;8,11625;10;10;10;0;10;8,2;8,44;8,29
Caldazinha;2018;7,6375;10;8,12;9,34;0;10;10;5,83;7,81
Campestre de Goiás;2012;6,31125;5,27;10;5,61;0;5,9;10;7,75;5,96
Campestre de Goiás;2014;5,99125;10;10;10;0;2,8;4,38;4,44;6,31
Campestre de Goiás;2016;7,56375;10;10;10;0;5,59;10;8,27;6,65
Campestre de Goiás;2018;7,7125;9,46;10;9,52;0;10;8,53;9,11;5,08
Campinaçu;2012;8,06875;8,76;10;8,76;10;2,7;6,82;10;7,51
Campinaçu;2014;7,91125;10;10;10;10;8;5;5,65;4,64
Campinaçu;2016;8,10625;7,94;6,32;10;10;8,01;10;8,17;4,41
Campinaçu;2018;7,82875;10;5,41;10;10;10;7,22;5;5
Campinorte;2012;6,8075;10;10;6,37;5,03;0,9;9,14;6,31;6,71
Campinorte;2014;7,195;9,13;10;9,18;4,8;2,5;10;8;3,95
Campinorte;2016;7,3125;9,65;10;10;4,42;4,14;9,16;6,7;4,43
Campinorte;2018;7,6325;10;9,59;10;4,33;5;9,66;6,03;6,45
Campo Alegre de Goiás;2012;7,4325;9,05;10;10;3,23;10;9,04;1,1;7,04
Campo Alegre de Goiás;2014;8,38375;10;9,7;10;3;10;10;6,67;7,7
Campo Alegre de Goiás;2016;8,42625;10;7,5;10;8,7;10;7,65;7,41;6,15
Campo Alegre de Goiás;2018;8,23125;10;10;10;8,33;10;8,59;2,24;6,69
Campo Limpo de Goiás;2012;5,91;9,51;10;9,57;0;0;7,02;5,31;5,87
Campo Limpo de Goiás;2014;6,0625;9,11;10;4,93;0;4,4;10;5,62;4,44
Campo Limpo de Goiás;2016;6,11125;10;10;5,33;0;2,82;10;6,11;4,63
Campo Limpo de Goiás;2018;5,82625;9,43;6,21;4,1;0;8;9,66;4,57;4,64
Campos Belos;2012;5,50875;0;10;0;6,13;4,3;9,59;9,07;4,98
Campos Belos;2014;7,20875;8,75;9,87;8,83;5,87;5,2;7,24;7,81;4,1
Campos Belos;2016;7,09375;8,38;7,9;8,65;5,8;6,65;9,56;7,48;2,33
Campos Belos;2018;7,25875;8,41;8,31;8,61;5,67;7;9,1;5,63;5,34
Campos Verdes;2012;8,235;10;8,05;10;10;4,2;10;6,16;7,47
Campos Verdes;2014;7,555;10;10;7,39;10;4,6;7,86;6,92;3,67
Campos Verdes;2016;7,76125;10;10;7,56;10;5,17;6,96;6,73;5,67
Campos Verdes;2018;7,92625;10;7,08;9,44;10;10;9,16;3,18;4,55
Carmo do Rio Verde;2012;6,81;6,65;10;7,05;6,67;1,1;8,29;8,04;6,68
Carmo do Rio Verde;2014;7,36;9,79;10;7,94;6;2,1;9,13;8,4;5,52
Carmo do Rio Verde;2016;7,66875;10;9,07;10;5,86;3,1;9,34;7,97;6,01
Carmo do Rio Verde;2018;7,98125;10;8,49;10;6;5;10;7,47;6,89
Castelândia;2012;7,87625;10;10;5,57;10;2,8;10;7,07;7,57
Castelândia;2014;7,06;9,53;4,81;9,55;10;5,4;6,72;6,52;3,95
Castelândia;2016;8,10875;9,49;10;9,58;10;5,49;10;7,97;2,34
Castelândia;2018;8,9525;9,37;10;9,45;10;10;8,53;7;7,27
Catalão;2012;9,30125;9,99;9,54;10;9,03;10;9,29;7,75;8,81
Catalão;2014;6,14125;0,61;8,03;0;5,87;10;8,89;7,69;8,04
Catalão;2016;6,37125;3,05;6,92;0;6,82;10;9,38;7,94;6,86
Catalão;2018;6,7475;1,93;7,52;3,75;7,33;10;9,56;5,81;8,08
Caturaí;2012;7,7275;8,87;10;9,01;10;2,1;8,51;7,4;5,93
Caturaí;2014;7,895;10;10;10;10;4,1;5;7,14;6,92
Caturaí;2016;8,49375;10;10;10;10;6,03;7,13;8,06;6,73
Caturaí;2018;9,225;10;10;10;10;10;9,17;6,77;7,86
Cavalcante;2012;8,12125;9,9;9,65;10;6,37;8,5;9,5;6,14;4,91
Cavalcante;2014;6,2975;6,16;10;4,88;6,17;6,2;7,31;7,74;1,92
Cavalcante;2016;7,0675;10;10;7,32;5,12;5,12;8,37;8,44;2,17
Cavalcante;2018;7,6525;10;10;6,65;5,33;10;9,25;7,97;2,02
Ceres;2012;7,93375;8,01;10;1,9;10;10;8,46;8,1;7
Ceres;2014;9,0475;9,91;10;9,92;10;10;8,72;7,07;6,76
Ceres;2016;9,02375;9,87;9,2;9,89;10;10;8,95;7,9;6,38
Ceres;2018;8,85625;9,21;8,25;10;10;10;9,83;6,38;7,18
Cezarina;2012;8,695;9,75;10;10;10;3,9;9,4;8,68;7,83
Cezarina;2014;7,95125;8,94;9,63;9,01;10;6,2;9,18;6,6;4,05
Cezarina;2016;6,69875;8,75;6,82;8,96;6,09;6,09;8,4;6,2;2,28
Cezarina;2018;8,37;10;7,35;8,09;6,33;10;9,54;7,81;7,84
Chapadão do Céu;2012;7,95125;10;10;10;6,43;10;9,41;0;7,77
Chapadão do Céu;2014;8,7175;9,33;10;9,37;10;10;8,75;4,29;8
Chapadão do Céu;2016;8,145;7,67;10;8,06;9,7;10;8,42;3,42;7,89
Chapadão do Céu;2018;9,19625;10;10;10;9,33;10;10;5,19;9,05
Cidade Ocidental;2012;6,0025;4,23;10;2,11;2,57;10;9,41;4,3;5,4
Cidade Ocidental;2014;5,51625;8,27;10;1,79;1,07;6;7,9;4,39;4,71
Cidade Ocidental;2016;6,14875;9,62;10;1,78;1,25;7,01;8,76;6,24;4,53
Cidade Ocidental;2018;6,76625;10;9,57;3,97;1,67;10;9,91;3,38;5,63
Cocalzinho de Goiás;2012;7,52375;9,99;10;10;6,63;4;8,61;6,01;4,95
Cocalzinho de Goiás;2014;7,03125;9,72;10;9,73;3,77;3,2;9,5;5,41;4,92
Cocalzinho de Goiás;2016;7,29;8,64;10;9,68;3,84;5,23;10;6,63;4,3
Cocalzinho de Goiás;2018;7,405;10;10;8,77;4;8;8,57;5,61;4,29
Colinas do Sul;2012;7,89625;7,79;10;7,19;10;10;6,5;8,2;3,49
Colinas do Sul;2014;7,885;10;10;10;10;5,6;10;4,78;2,7
Colinas do Sul;2016;8,00125;10;10;10;10;2,82;8,28;8,8;4,11
Colinas do Sul;2018;8,535;10;10;10;10;8;7,92;5,31;7,05
Córrego do Ouro;2012;8,49625;10;10;10;10;3,8;10;6,54;7,63
Córrego do Ouro;2014;8,0275;10;10;10;10;0;10;6,47;7,75
Córrego do Ouro;2016;7,49875;9;10;10;10;0;6,77;6,67;7,55
Córrego do Ouro;2018;9,1625;10;8,84;10;10;10;7,37;8,44;8,65
Corumbá de Goiás;2012;5,64;6,68;5,71;7,08;4,17;2,9;8,53;7,78;2,27
Corumbá de Goiás;2014;7,065;9,91;10;9,92;4,63;3,7;8,11;5,95;4,3
Corumbá de Goiás;2016;7,265;9,87;8,48;9,89;3,95;4,56;9,22;7,56;4,59
Corumbá de Goiás;2018;8,3625;9,21;10;10;4;10;10;8,7;4,99
Corumbaíba;2012;8,10875;9,9;10;10;10;2,4;9,35;5,85;7,37
Corumbaíba;2014;8,75125;8,15;8,79;8,26;10;7,9;10;8,93;7,98
Corumbaíba;2016;8,29125;7,84;10;8,2;9,55;6,61;10;7,36;6,77
Corumbaíba;2018;8,39625;6,76;10;7,17;9,33;10;9,41;6,81;7,69
Cristalina;2012;6,98125;10;10;10;0,63;4,4;9,48;4,35;6,99
Cristalina;2014;6,18375;6,88;10;6,23;2,87;4,9;8,69;4,9;5
Cristalina;2016;6,76375;8,25;10;6,94;2,75;6,57;8,86;5,57;5,17
Cristalina;2018;6,72;6,92;9,95;7,31;3;9;9,56;2,31;5,71
Cristianópolis;2012;7,98125;10;7,32;10;9,1;3,4;10;6,62;7,41
Cristianópolis;2014;8,5225;10;10;10;8,83;6,6;10;8;4,75
Cristianópolis;2016;8,70875;9;8,68;10;8,82;9,92;10;8,7;4,55
Cristianópolis;2018;8,3175;10;9,65;10;8,67;10;10;3;5,22
Crixás;2012;8,59125;9,71;9,92;10;10;5,7;9,02;6,75;7,63
Crixás;2014;7,98;8,61;10;8,69;10;4,2;8,39;6,47;7,48
Crixás;2016;8,365;9,3;9,93;7,58;10;7,19;8,97;7,22;6,73
Crixás;2018;8,67625;10;8,14;10;10;10;9,59;4,85;6,83
Cromínia;2012;7,71375;10;8,52;10;6,57;0;10;8,93;7,69
Cromínia;2014;8,0025;10;10;10;6,43;5,5;8,25;7,5;6,34
Cromínia;2016;7,59375;9,97;2,28;10;10;5,53;7,85;8,8;6,32
Cromínia;2018;9,1525;10;8,9;10;10;10;10;7,22;7,1
Cumari;2012;7,4775;9,05;6,38;10;10;3,4;6,96;8,27;5,76
Cumari;2014;7,68625;10;10;10;10;0;5,96;10;5,53
Cumari;2016;7,7175;8;4,06;9,77;10;3,34;10;8,27;8,3
Cumari;2018;8,5175;10;9,29;10;10;10;10;1,07;7,78
Damianópolis;2012;7,95625;10;10;10;10;3;10;6,62;4,03
Damianópolis;2014;8,27;10;10;10;10;3;10;8;5,16
Damianópolis;2016;8,14125;10;10;10;10;2,95;10;6,11;6,07
Damianópolis;2018;9,01875;10;7,72;10;10;9;10;8,86;6,57
Damolândia;2012;8,4175;10;10;6,64;10;3,6;10;9,17;7,93
Damolândia;2014;7,82375;10;3,58;10;10;7;6,38;8,75;6,88
Damolândia;2016;8,88375;10;10;10;10;10;6,31;8,27;6,49
Damolândia;2018;9,64375;10;10;10;10;10;8,39;10;8,76
Davinópolis;2012;7,00875;9,76;10;10;0;4,9;5,63;7,5;8,28
Davinópolis;2014;7,115;10;10;10;0;0;10;6,92;10
Davinópolis;2016;8,40125;10;10;10;0;9,41;10;9,03;8,77
Davinópolis;2018;8,00125;10;10;10;0;10;10;7,22;6,79
Diorama;2012;8,1925;10;5,46;9,15;10;10;10;1,56;9,37
Diorama;2014;9,3425;9,11;10;10;10;10;10;7,78;7,85
Diorama;2016;9,74875;10;10;10;10;10;10;10;7,99
Diorama;2018;9,37625;10;7,28;10;10;10;10;7,73;10
Divinópolis de Goiás;2012;7,84125;10;10;10;10;4;8,97;6,62;3,14
Divinópolis de Goiás;2014;6,905;10;5,87;6,99;10;4;8,36;7,69;2,33
Divinópolis de Goiás;2016;8,20125;9;10;10;10;5,98;9,11;9,14;2,38
Divinópolis de Goiás;2018;8,8675;10;8,06;10;10;10;10;9;3,88
Doverlândia;2012;7,69625;10;7,55;10;10;5,1;7,94;4,92;6,06
Doverlândia;2014;7,6375;9,89;9,37;10;10;2,5;6,56;5,79;6,99
Doverlândia;2016;8,27125;10;10;10;10;3,83;9,16;6,54;6,64
Doverlândia;2018;8,70875;10;6,61;10;10;10;9,24;6,59;7,23
Edealina;2012;8,07625;10;10;9,86;0;10;8,48;7,59;8,68
Edealina;2014;9,3675;10;10;10;8,73;10;7,77;9,26;9,18
Edealina;2016;8,66375;10;7,31;10;4,37;10;10;8,7;8,93
Edealina;2018;8,925;10;10;10;4,33;10;10;8,08;8,99
Edéia;2012;7,15125;10;10;10;5,3;2,6;8,16;5,68;5,47
Edéia;2014;7,55625;10;10;10;5,07;4,2;7,16;7,38;6,64
