Localidade;Ano;IDM Segurança;Crimes contra a dignidade sexual;Crimes contra a pessoa;Crimes contra o patrimonio;Contravenções penais;Tráfico de drogas
Barro Alto;2012;8,928;6,47;9,85;8,55;9,77;10
Barro Alto;2014;8,186;6,15;8,14;7,6;9,76;9,28
Barro Alto;2016;6,74;2,66;6,05;7,56;8,48;8,95
Barro Alto;2018;7,132;6,7;6,5;6,55;8,49;7,42
Bela Vista de Goiás;2012;6,856;5,99;5,63;6,16;8,03;8,47
Bela Vista de Goiás;2014;6,784;6,21;5,39;4,06;9,29;8,97
Bela Vista de Goiás;2016;5,956;4,66;4,86;4,57;8,55;7,14
Bela Vista de Goiás;2018;6,148;6,21;5,94;5,03;5,98;7,58
Bom Jardim de Goiás;2012;9,218;10;8,66;9,55;9,15;8,73
Bom Jardim de Goiás;2014;9,678;10;9,36;9,35;9,68;10
Bom Jardim de Goiás;2016;8,832;8,96;8,31;9,29;9,38;8,22
Bom Jardim de Goiás;2018;7,338;8,35;7,42;6,56;5,7;8,66
Bom Jesus de Goiás;2012;8,398;9,7;8,6;5,55;8,92;9,22
Bom Jesus de Goiás;2014;8,28;9,59;7,99;7,14;9,13;7,55
Bom Jesus de Goiás;2016;7,13;7,23;7,53;7,32;7,86;5,71
Bom Jesus de Goiás;2018;7,4;7,34;7,52;6,84;6,55;8,75
Bonfinópolis;2012;7,622;8,37;5,59;6,72;8,85;8,58
Bonfinópolis;2014;8,116;8,89;5,65;6,53;9,51;10
Bonfinópolis;2016;7,918;8,94;6,55;7,76;9,36;6,98
Bonfinópolis;2018;7,546;9,46;6,05;5,5;7,71;9,01
Bonópolis;2012;9,156;8,24;8,58;9,4;9,56;10
Bonópolis;2014;7,814;2,8;8,84;9,68;9,55;8,2
Bonópolis;2016;9,82;10;9,46;9,64;10;10
Bonópolis;2018;9,12;10;8,47;9,52;8,33;9,28
Brazabrantes;2012;8,758;10;6,2;8,22;9,37;10
Brazabrantes;2014;7,588;2,06;7,55;8,5;9,83;10
Brazabrantes;2016;7,934;10;7,58;8,12;8,43;5,54
Brazabrantes;2018;7,114;7,28;6,77;7,01;7,82;6,69
Britânia;2012;8,774;10;7,25;8,51;9,08;9,03
Britânia;2014;8,104;8,42;6,67;7,9;9,9;7,63
Britânia;2016;8,068;5,24;7,66;8,16;9,28;10
Britânia;2018;7,522;7,48;7,21;6,47;7,47;8,98
Buriti Alegre;2012;9,356;10;9,02;8,94;8,82;10
Buriti Alegre;2014;9,364;10;8,9;8,88;9,76;9,28
Buriti Alegre;2016;6,304;8,06;5,95;7,8;8,55;1,16
Buriti Alegre;2018;6,72;8,97;6,68;7,06;5,57;5,32
Buriti de Goiás;2012;8,978;7,6;9,08;8,21;10;10
Buriti de Goiás;2014;9,118;10;6,83;8,97;9,79;10
Buriti de Goiás;2016;8,698;6,47;7,95;9,07;10;10
Buriti de Goiás;2018;8,614;8,11;8,5;9,12;7,34;10
Buritinópolis;2012;9,188;10;7,64;9,22;9,08;10
Buritinópolis;2014;9,148;10;7,91;8,16;9,67;10
Buritinópolis;2016;8,302;7,3;6,76;8,67;8,78;10
Buritinópolis;2018;7,038;2,8;6,58;8,12;7,69;10
Cabeceiras;2012;8,27;6,66;8,22;9,35;7,85;9,27
Cabeceiras;2014;8,868;8,83;6,9;9,49;9,12;10
Cabeceiras;2016;8,432;6,48;8,09;9,28;9,65;8,66
Cabeceiras;2018;7,784;10;7,1;5,93;7,77;8,12
Cachoeira Alta;2012;8,984;10;8,49;8,02;8,41;10
Cachoeira Alta;2014;9,364;10;8,9;8,58;9,34;10
Cachoeira Alta;2016;7,614;7,64;7,11;7,97;8,94;6,41
Cachoeira Alta;2018;6,548;9,18;7,33;7,79;5,9;2,54
Cachoeira de Goiás;2012;9,792;10;9,82;9,5;9,64;10
Cachoeira de Goiás;2014;9,112;10;7,81;8,14;9,61;10
Cachoeira de Goiás;2016;8,452;10;7,02;9,1;6,14;10
Cachoeira de Goiás;2018;7,086;6,55;6,24;8,2;6,54;7,9
Cachoeira Dourada;2012;9,186;10;7,97;9,53;9,08;9,35
Cachoeira Dourada;2014;9,098;10;8,22;8,94;9,13;9,2
Cachoeira Dourada;2016;7,344;10;6,2;7,83;7,05;5,64
Cachoeira Dourada;2018;6,942;7,08;5,6;7,33;7,54;7,16
Caçu;2012;9,966;10;9,94;9,89;10;10
Caçu;2014;9,926;10;9,78;9,89;9,96;10
Caçu;2016;8,52;10;6,71;8,72;8,23;8,94
Caçu;2018;7,686;8,39;7,43;7,91;6,26;8,44
Caiapônia;2012;7,248;7,8;6,44;6,52;8,36;7,12
Caiapônia;2014;8,31;9,49;6,75;6,66;9,42;9,23
Caiapônia;2016;7,134;3,42;7,22;7,73;9,32;7,98
Caiapônia;2018;7,184;7,35;7,71;7,16;6,44;7,26
Caldas Novas;2012;4,916;6,86;5,06;2,55;5,21;4,9
Caldas Novas;2014;5,142;6,08;5,01;3,12;8,72;2,78
Caldas Novas;2016;5,274;6,72;4,9;3,95;6,87;3,93
Caldas Novas;2018;6,376;6,93;6,82;4,51;7,53;6,09
Caldazinha;2012;7,338;6,3;5,67;7,78;6,94;10
Caldazinha;2014;6,94;4,85;5,58;7,01;9,19;8,07
Caldazinha;2016;8,132;7,47;7,74;7,28;9,62;8,55
Caldazinha;2018;8,278;7,35;8,03;6,82;10;9,19
Campestre de Goiás;2012;9,582;10;8,84;9,52;9,55;10
Campestre de Goiás;2014;8,942;7,45;8,09;9,49;9,68;10
Campestre de Goiás;2016;8,44;10;5,84;8,2;9,62;8,54
Campestre de Goiás;2018;8,2;8,65;6,32;7,93;8,1;10
Campinaçu;2012;9,62;10;8,93;9,45;9,72;10
Campinaçu;2014;9,486;10;8,31;9,12;10;10
Campinaçu;2016;8,83;7,55;7,92;9,78;8,9;10
Campinaçu;2018;8,404;10;6,64;8,79;6,59;10
Campinorte;2012;8,488;10;7,43;6,57;8,44;10
Campinorte;2014;6,464;4,6;6,1;4,9;8,46;8,26
Campinorte;2016;7,492;9,24;7,17;7,89;7,94;5,22
Campinorte;2018;8,174;8,01;7,7;7,32;8,32;9,52
Campo Alegre de Goiás;2012;8,142;10;6,85;8,7;6,05;9,11
Campo Alegre de Goiás;2014;7,356;7,22;5,17;7,6;7,83;8,96
Campo Alegre de Goiás;2016;8,278;10;7,21;8,31;7,39;8,48
Campo Alegre de Goiás;2018;6,322;6,56;7,18;6,88;5,17;5,82
Campo Limpo de Goiás;2012;7,282;3,1;7,65;8,4;8,12;9,14
Campo Limpo de Goiás;2014;6,452;1,9;5,25;8,07;9,07;7,97
Campo Limpo de Goiás;2016;7,838;6,11;6,98;8,56;9,02;8,52
Campo Limpo de Goiás;2018;8,41;8,66;7,22;8,59;7,99;9,59
Campos Belos;2012;6,342;5,66;5,31;6,76;7,48;6,5
Campos Belos;2014;4,846;3,9;3,74;5,4;8,94;2,25
Campos Belos;2016;5,864;6,25;5,15;6,95;4,99;5,98
Campos Belos;2018;6,898;8,52;6,93;7,14;7,02;4,88
Campos Verdes;2012;8,962;10;7,45;8,37;8,99;10
Campos Verdes;2014;8,9;10;7,64;8,54;9,76;8,56
Campos Verdes;2016;8,998;10;8,29;9,35;10;7,35
Campos Verdes;2018;8,034;8,6;4,72;9,39;7,46;10
Carmo do Rio Verde;2012;9,596;10;9,91;9,67;9,6;8,8
Carmo do Rio Verde;2014;7,68;5,2;7,25;8,05;8,62;9,28
Carmo do Rio Verde;2016;7,402;5,25;8,2;7,98;8,29;7,29
Carmo do Rio Verde;2018;7,938;8,51;7,61;7,07;7,41;9,09
Castelândia;2012;9,26;10;8,13;9,29;8,88;10
Castelândia;2014;9,554;10;9,04;9,03;9,7;10
Castelândia;2016;8,004;4,98;8,35;8,5;9,62;8,57
Castelândia;2018;7,876;7,3;6,52;8,28;8,1;9,18
Catalão;2012;6,418;8,79;6,62;5,68;5,71;5,29
Catalão;2014;6,656;8,06;6,69;6,14;8,51;3,88
Catalão;2016;5,892;7,58;5,09;5,2;7,13;4,46
Catalão;2018;6,882;8,9;6,75;4,73;7,39;6,64
Caturaí;2012;9,35;10;8,88;8,2;9,67;10
Caturaí;2014;8,744;8,16;7,81;8,1;9,65;10
Caturaí;2016;8,492;8,16;7,22;8,41;9,72;8,95
Caturaí;2018;7,176;3,21;7,65;8,15;8,64;8,23
Cavalcante;2012;9,964;10;9,92;9,9;10;10
Cavalcante;2014;9,79;9,07;10;9,88;10;10
Cavalcante;2016;7,346;7,19;5,83;7,49;6,76;9,46
Cavalcante;2018;6,638;3,54;6,21;7,83;5,91;9,7
Ceres;2012;8,054;7,92;7,75;7,41;8,23;8,96
Ceres;2014;6,768;6,24;6,62;5,5;8,3;7,18
Ceres;2016;6,71;7,07;6,4;6,63;5,6;7,85
Ceres;2018;6,386;6,25;7,47;6,89;4,28;7,04
Cezarina;2012;8,02;8,37;7,89;8,9;6,36;8,58
Cezarina;2014;7,624;6,6;7,55;8,45;8,93;6,59
Cezarina;2016;8,202;7,76;7,4;8,17;8,32;9,36
Cezarina;2018;6,5;7,66;5,34;5,62;6,01;7,87
Chapadão do Céu;2012;4,37;1,22;5,55;7,61;5,13;2,34
Chapadão do Céu;2014;7,63;7,67;5,94;7,75;8,54;8,25
Chapadão do Céu;2016;6,228;6,77;6,33;9,13;6,28;2,63
Chapadão do Céu;2018;4,892;10;5,07;7,63;0;1,76
Cidade Ocidental;2012;7,086;5,38;6,68;5,61;8,62;9,14
Cidade Ocidental;2014;6,496;6,4;4,94;4,46;9,49;7,19
Cidade Ocidental;2016;5,686;6,85;2,62;4,35;7,56;7,05
Cidade Ocidental;2018;6,944;7,06;5,41;5,33;7,95;8,97
Cocalzinho de Goiás;2012;7,354;6,11;5,66;6,1;9,21;9,69
Cocalzinho de Goiás;2014;6,91;6,57;4,97;6,02;9,57;7,42
Cocalzinho de Goiás;2016;6,196;4,23;3,71;6,5;9,28;7,26
Cocalzinho de Goiás;2018;6,982;7;6,01;5,83;6,53;9,54
Colinas do Sul;2012;9,492;10;9,63;8,84;8,99;10
Colinas do Sul;2014;7,764;0;9,23;9,75;9,84;10
Colinas do Sul;2016;8,196;7,42;6,71;8,32;10;8,53
Colinas do Sul;2018;7,226;5,85;7,26;8,32;7,22;7,48
Córrego do Ouro;2012;9,588;10;8,61;9,33;10;10
Córrego do Ouro;2014;9,23;10;7,61;8,54;10;10
Córrego do Ouro;2016;9,086;10;8,76;8,81;7,86;10
Córrego do Ouro;2018;8,934;10;8,95;9,22;6,5;10
Corumbá de Goiás;2012;7,276;7,03;5,99;6,58;7,3;9,48
Corumbá de Goiás;2014;7,522;8,33;5,55;6,5;7,86;9,37
Corumbá de Goiás;2016;6,394;9,16;4,88;6,78;4,97;6,18
Corumbá de Goiás;2018;7,32;6,03;7,05;7,6;6,99;8,93
Corumbaíba;2012;7,392;5,49;7,12;7,09;8,57;8,69
Corumbaíba;2014;6,428;8,96;5,61;7,06;9,09;1,42
Corumbaíba;2016;6,966;5,95;6,08;7,24;7,87;7,69
Corumbaíba;2018;6,866;6,85;6,02;6,67;7,99;6,8
Cristalina;2012;7,588;6,96;7,7;6,1;8,56;8,62
Cristalina;2014;7,4;8,2;6,68;6,16;9,61;6,35
Cristalina;2016;7,3;6,72;7,19;6,23;9,22;7,14
Cristalina;2018;6,876;6,89;6,46;5,16;6,84;9,03
Cristianópolis;2012;9,74;10;9,38;9,32;10;10
Cristianópolis;2014;8,534;7,02;8,95;9,31;9,63;7,76
Cristianópolis;2016;6,254;3,94;5,54;6,16;9,09;6,54
Cristianópolis;2018;6,778;8,39;6,73;4,3;7,41;7,06
Crixás;2012;6,908;8,05;5,34;6,97;8,26;5,92
Crixás;2014;7,126;6,71;5,84;7,24;9,55;6,29
Crixás;2016;6,944;7,8;7,19;7,7;8,93;3,1
Crixás;2018;7,7;7,68;7,73;8,06;7,67;7,36
Cromínia;2012;7,6;10;6,03;5,91;7,57;8,49
Cromínia;2014;7,246;7,53;5,87;4,83;9,85;8,15
Cromínia;2016;5,508;10;2,85;4,57;7,34;2,78
Cromínia;2018;5,172;5,94;2,83;6,9;2,66;7,53
Cumari;2012;6,538;10;2,94;7,23;4,33;8,19
Cumari;2014;6,61;10;1,37;5,95;5,73;10
Cumari;2016;4,184;3,89;0,77;7,2;0,81;8,25
Cumari;2018;5,31;6,72;5,37;7,06;5,39;2,01
Damianópolis;2012;9,176;8,13;8,49;9,57;9,69;10
Damianópolis;2014;8,97;7,34;8,13;9,38;10;10
Damianópolis;2016;9,686;10;8,95;9,48;10;10
Damianópolis;2018;9,298;10;7,57;9,5;9,42;10
Damolândia;2012;8,688;10;7,14;9,36;8,89;8,05
Damolândia;2014;9,042;6,85;9,17;9,58;9,61;10
Damolândia;2016;9,028;10;8,04;9;8,1;10
Damolândia;2018;6,122;0;8,51;8,12;3,98;10
Davinópolis;2012;6,78;4,02;7,71;7,26;7,52;7,39
Davinópolis;2014;9,324;10;8,88;7,74;10;10
Davinópolis;2016;7,778;10;5,33;7,96;8,06;7,54
Davinópolis;2018;8,182;7,71;6,71;6,95;9,54;10
Diorama;2012;9,856;10;9,89;9,39;10;10
Diorama;2014;8,2;2,94;9,53;9,41;9,12;10
Diorama;2016;8,892;10;7,63;8,99;7,84;10
Diorama;2018;8,806;10;7,63;7,94;8,46;10
Divinópolis de Goiás;2012;9,372;7,52;9,53;9,81;10;10
Divinópolis de Goiás;2014;9,592;10;8,6;9,47;9,89;10
Divinópolis de Goiás;2016;7,17;6,36;5,41;8,46;5,62;10
Divinópolis de Goiás;2018;8,094;8,05;7,39;8,76;6,27;10
Doverlândia;2012;9,022;10;8,01;8,68;9,1;9,32
Doverlândia;2014;9,27;10;8,91;8,84;9,44;9,16
Doverlândia;2016;9,17;8,83;9,05;8,5;9,47;10
Doverlândia;2018;7,498;5,6;8,44;8,12;5,71;9,62
Edealina;2012;9,478;10;8,95;9,53;8,91;10
Edealina;2014;8,364;10;8,66;8,44;10;4,72
Edealina;2016;7,572;10;7,96;8,19;8,56;3,15
Edealina;2018;6,622;6,16;7,08;7,89;6,66;5,32
Edéia;2012;6,166;7,82;8,58;7,68;6,75;0
Edéia;2014;7,7;9,23;7,88;6,8;9,76;4,83
Edéia;2016;6,458;8,48;7,35;7,03;9,43;0
Edéia;2018;7,112;7,2;8,04;6,31;7,91;6,1
Estrela do Norte;2012;9,908;10;10;9,54;10;10
Estrela do Norte;2014;7,79;7,36;7,91;7,98;5,7;10
Estrela do Norte;2016;7,26;7,3;5,29;6,96;6,75;10
Estrela do Norte;2018;6,448;1,33;5,85;8,54;6,52;10
Faina;2012;9,234;10;9,18;9,48;9,05;8,46
Faina;2014;9,358;10;9,61;9,24;9,84;8,1
Faina;2016;7,616;3,47;8,38;8,35;8,63;9,25
Faina;2018;8,386;7,19;8,61;8,39;8,59;9,15
Fazenda Nova;2012;9,248;10;8,35;8,61;9,28;10
Fazenda Nova;2014;8,872;10;7,52;7,99;8,85;10
Fazenda Nova;2016;8,868;8,52;8;8,26;9,56;10
Fazenda Nova;2018;8,242;9,2;6,66;7,93;7,91;9,51
Firminópolis;2012;7,326;4,16;6,93;8,23;8,24;9,07
Firminópolis;2014;8,208;7,78;6,94;7,89;8,98;9,45
Firminópolis;2016;8,152;7,82;7,55;8,95;9,34;7,1
Firminópolis;2018;7,352;6,97;6,47;8,29;6,88;8,15
Flores de Goiás;2012;9,564;8,98;9,44;9,74;9,66;10
Flores de Goiás;2014;9,434;8,63;9,43;9,66;9,96;9,49
Flores de Goiás;2016;8,726;5,51;8,98;9,51;10;9,63
Flores de Goiás;2018;7,74;5,76;6,81;7,97;8,95;9,21
Formosa;2012;5,724;6,99;4,9;4,82;5,72;6,19
Formosa;2014;5,884;6,53;4,44;3,93;8,71;5,81
Formosa;2016;5,864;5;4,76;4,83;8;6,73
Formosa;2018;6,168;6,99;5,52;3,18;7,11;8,04
Formoso;2012;9,97;10;9,95;10;9,9;10
Formoso;2014;9,826;10;9,68;9,45;10;10
Formoso;2016;8,98;10;8,95;8,44;9,71;7,8
Formoso;2018;6,324;4,74;5,21;8,23;4,08;9,36
Gameleira de Goiás;2012;9,36;10;8,4;9,18;9,22;10
Gameleira de Goiás;2014;8,922;7,41;9,66;9,48;10;8,06
Gameleira de Goiás;2016;9,534;10;9,13;8,54;10;10
Gameleira de Goiás;2018;7,904;8,7;7,68;7,06;6,87;9,21
Goianápolis;2012;6,894;5,4;7,04;6,42;7,62;7,99
Goianápolis;2014;7,622;10;6,55;6,42;8,82;6,32
Goianápolis;2016;5,126;5,02;4,05;5,47;7,25;3,84
Goianápolis;2018;5,916;6,02;5,12;5,42;8,4;4,62
Goiandira;2012;5,86;1,83;3,79;7,55;6,13;10
Goiandira;2014;6,764;6,71;2,03;7,76;7,32;10
Goiandira;2016;6,874;8,35;5,52;7,5;6,77;6,23
Goiandira;2018;6,648;6,51;5,68;7,02;6,15;7,88
Goianésia;2012;7,512;6,8;7,72;5,24;8,34;9,46
Goianésia;2014;6,262;5,71;6,93;5,36;9,53;3,78
Goianésia;2016;4,892;3,29;2,95;6;7,88;4,34
Goianésia;2018;6,24;6,66;4,96;5,57;7,11;6,9
Goiânia;2012;5,316;6,82;5,22;0;6,95;7,59
Goiânia;2014;5,752;6,8;5,48;0;9,04;7,44
Goiânia;2016;5,652;7,32;5,66;0;8,05;7,23
Goiânia;2018;5,758;8,4;6,34;0,63;5,22;8,2
Goianira;2012;6,676;5,49;5,4;5,01;8,43;9,05
Goianira;2014;6,712;5,83;4,92;5,3;9,54;7,97
Goianira;2016;4,672;0,9;4,96;3,61;8,42;5,47
Goianira;2018;5,222;5,34;5,83;2,2;6,88;5,86
Goiás;2012;6,49;7,51;4,71;6,63;5,55;8,05
Goiás;2014;6,002;4,98;4,38;6,08;8,34;6,23
Goiás;2016;6,772;7,01;6,56;6,6;7,53;6,16
Goiás;2018;6,406;7,78;6,58;5,58;5,41;6,68
Goiatuba;2012;7,28;8,68;6,06;6,25;7,89;7,52
Goiatuba;2014;7,752;8,93;6,56;6,63;8,85;7,79
Goiatuba;2016;10;10;10;10;10;10
Goiatuba;2018;6,842;8,58;7,16;6,84;6,14;5,49
Gouvelândia;2012;8,458;8,76;9,05;8,96;8,77;6,75
Gouvelândia;2014;9,708;10;9,55;9,2;9,79;10
