Localidade;Ano;Cursos Presenciais Federal;na Educação de Jovens a Adultos Estadual;Educação de Jovens a Adultos Federal;Cursos Presenciais Estadual;Educação de Jovens a Adultos Municipal;Cursos Presenciais Municipal;Cursos Presenciais Particular;Educação de Jovens a Adultos Particular;Cursos Presenciais Comunitária/Confessional/Filantrópica;Educação profissional Estadual;Educação profissional Federal;Educação profissional Municipal;Educação profissional Particular;Ensino Médio Estadual;Ensino Médio Federal;Ensino Médio Municipal;Ensino Médio Particular
Abadia de Goiás;2002;;;;;;;;;;;;;;246;;;
Abadia de Goiás;2003;;;;;;;;;;;;;;259;;;
Abadia de Goiás;2004;;;;;;;;;;;;;;291;;;
Abadia de Goiás;2005;;;;;;;;;;;;;;263;;;
Abadia de Goiás;2006;;;;;;;;;;;;;;304;;;
Abadia de Goiás;2007;;;;;;;;;;;;;;371;;;
Abadia de Goiás;2008;;;;;48;;;;;;;;;274;;;
Abadia de Goiás;2009;;;;;107;;;;;;;;;299;;;
Abadia de Goiás;2010;; ; ;;117;;; ;; ; ; ; ;326; ; ; 
Abadia de Goiás;2011;;;;;154;;;;;;;;;315;;;
Abadia de Goiás;2012;;;;;;;;;;;;;;312;;;
Abadia de Goiás;2013;;;;;;;;;;;;;;323;;;
Abadia de Goiás;2014;;;;;;;;;;;;;;332;;;
Abadia de Goiás;2015;;;;;;;;;;;;;;365;;;
Abadia de Goiás;2016;;;;;;;;;;;;;;425;;;
Abadia de Goiás;2017;;20;;;;;;;;;;;;466;;;
Abadia de Goiás;2018;;158;0;;0;;;0;;0;0;0;0;528;0;0;0
Abadiânia;2002;;;;;50;;;;;;;;;373;;;266
Abadiânia;2003;;;;;58;;;;;;;;;383;;;211
Abadiânia;2004;;;;;119;;;;;;;;;407;;;171
Abadiânia;2005;;;;;109;;;;;;;;;413;;;193
Abadiânia;2006;;;;;126;;;;;;;;;448;;;176
Abadiânia;2007;;;;;70;;;;;;;;;529;;;126
Abadiânia;2008;;;;;105;;;;;;;;;490;;;148
Abadiânia;2009;;;;;245;;;;;;;;;453;;;126
Abadiânia;2010;;59; ;;199;;; ;; ; ; ; ;470; ; ;185
Abadiânia;2011;;50;;;177;;;;;;;;;439;;;254
Abadiânia;2012;;36;;;188;;;;;;;;;424;;;289
Abadiânia;2013;;81;;;65;;;;;;;;;483;;;277
Abadiânia;2014;;148;;;49;;;;;;;;;537;;;322
Abadiânia;2015;;120;;;31;;;;;;;;;506;;;346
Abadiânia;2016;;119;;;;;;;;;;;;506;;;341
Abadiânia;2017;;192;;;;;;;;;;;;418;;;360
Abadiânia;2018;;137;0;;0;;;0;;0;0;0;0;422;0;0;338
Acreúna;2002;;308;;;;;;287;;;;;;718;;;100
Acreúna;2003;;407;;;25;;;117;;;;;;732;;;88
Acreúna;2004;;569;;;77;;;88;;;;;;758;;;79
Acreúna;2005;;428;;;34;;;49;;;;;;900;;;67
Acreúna;2006;;391;;;;;;19;;;;;;927;;;64
Acreúna;2007;;335;;;;;;;;;;;;607;;;63
Acreúna;2008;;236;;;;;;;;;;;;631;;;56
Acreúna;2009;;234;;;;;;;;;;;;729;;;79
Acreúna;2010;;367; ;;142;;; ;; ; ; ; ;798; ; ;76
Acreúna;2011;;323;;;108;;;;;;;;;731;;;93
Acreúna;2012;;219;;;;;;;;;;;;721;;;92
Acreúna;2013;;181;;;42;;;;;;;;;633;;;101
Acreúna;2014;;154;;;;;;;;;;;;600;;;84
Acreúna;2015;;155;;;;;;;;;;;;650;;;87
Acreúna;2016;;255;;;;;;;;;;;;667;;;90
Acreúna;2017;;255;;;100;;;;;;;;;629;;;63
Acreúna;2018;;313;0;;63;;;0;;0;0;0;0;676;0;0;64
Adelândia;2002;;;;;;;;;;;;;;156;;;
Adelândia;2003;;;;;;;;;;;;;;135;;;
Adelândia;2004;;;;;;;;;;;;;;143;;;
Adelândia;2005;;;;;;;;;;;;;;154;;;
Adelândia;2006;;;;;;;;;;;;;;157;;;
Adelândia;2007;;21;;;;;;;;;;;;177;;;
Adelândia;2008;;16;;;;;;;;;;;;139;;;
Adelândia;2009;;57;;;;;;;;;;;;150;;;
Adelândia;2010;;37; ;; ;;; ;; ; ; ; ;130; ; ; 
Adelândia;2011;;17;;;;;;;;;;;;124;;;
Adelândia;2012;;23;;;;;;;;;;;;84;;;
Adelândia;2013;;16;;;;;;;;;;;;91;;;
Adelândia;2014;;25;;;25;;;;;;;;;89;;;
Adelândia;2015;;16;;;;;;;;;;;;89;;;
Adelândia;2016;;14;;;13;;;;;;;;;78;;;
Adelândia;2017;;8;;;;;;;;;;;;78;;;
Adelândia;2018;;10;0;;0;;;0;;0;0;0;0;78;0;0;0
Água Fria de Goiás;2002;;;;;21;;;;;;;;;186;;;
Água Fria de Goiás;2003;;;;;16;;;;;;;;;211;;;
Água Fria de Goiás;2004;;20;;;27;;;;;;;;;290;;;
Água Fria de Goiás;2005;;15;;;9;;;;;;;;;299;;;
Água Fria de Goiás;2006;;16;;;69;;;;;;;;;308;;;
Água Fria de Goiás;2007;;;;;133;;;;;;;;;243;;;
Água Fria de Goiás;2008;;;;;84;;;;;;;;;198;;;
Água Fria de Goiás;2009;;;;;103;;;;;;;;;205;;;
Água Fria de Goiás;2010;; ; ;;97;;; ;; ; ; ; ;209; ; ; 
Água Fria de Goiás;2011;;;;;78;;;;;;;;;211;;;
Água Fria de Goiás;2012;;;;;64;;;;;;;;;182;;;
Água Fria de Goiás;2013;;;;;64;;;;;;;;;176;;;
Água Fria de Goiás;2014;;;;;56;;;;;;;;;193;;;
Água Fria de Goiás;2015;;;;;43;;;;;;;;;171;;;
Água Fria de Goiás;2016;;;;;32;;;;;;;;;168;;;
Água Fria de Goiás;2017;;;;;46;;;;;;;;;164;;;
Água Fria de Goiás;2018;;0;0;;34;;;0;;0;0;0;0;192;0;0;0
Água Limpa;2002;;;;;;;;;;;;;;122;;;
Água Limpa;2003;;;;;;;;;;;;;;126;;;
Água Limpa;2004;;;;;;;;;;;;;;155;;;
Água Limpa;2005;;;;;;;;;;;;;;108;;;
Água Limpa;2006;;;;;;;;;;;;;;123;;;
Água Limpa;2007;;;;;;;;;;;;;;117;;;
Água Limpa;2008;;;;;13;;;;;;;;;109;;;
Água Limpa;2009;;;;;7;;;;;;;;;99;;;
Água Limpa;2010;; ; ;; ;;; ;; ; ; ; ;87; ; ; 
Água Limpa;2011;;;;;;;;;;;;;;87;;;
Água Limpa;2012;;;;;;;;;;;;;;77;;;
Água Limpa;2013;;;;;;;;;;;;;;79;;;
Água Limpa;2014;;;;;;;;;;;;;;88;;;
Água Limpa;2015;;;;;;;;;;;;;;99;;;
Água Limpa;2016;;;;;;;;;;;;;;78;;;
Água Limpa;2017;;12;;;;;;;;;;;;54;;;
Água Limpa;2018;;10;0;;0;;;0;;0;0;0;0;72;0;0;0
Águas Lindas de Goiás;2002;;;;;522;;;266;;;;;;3304;;;
Águas Lindas de Goiás;2003;;301;;;653;;;260;;;;;;4331;;;30
Águas Lindas de Goiás;2004;;1409;;;1245;;;441;;;;;;5387;;;
Águas Lindas de Goiás;2005;;1601;;;1202;;;93;;;;;;5376;;;
Águas Lindas de Goiás;2006;;1714;;;1380;;;302;;;;;;6033;;;53
Águas Lindas de Goiás;2007;;845;;306;1055;;22;122;;;;;;5359;;;
Águas Lindas de Goiás;2008;;631;;284;1280;;88;76;;;;;;5390;;;74
Águas Lindas de Goiás;2009;;599;;311;1008;;194;57;;;;;;5389;;;49
Águas Lindas de Goiás;2010;;582; ;;806;;420;40;; ; ; ; ;5221; ; ;219
Águas Lindas de Goiás;2011;;382;;;948;;510;128;;;;;;5192;;;264
Águas Lindas de Goiás;2012;;369;;;868;;565;50;;;;;;5740;;;334
Águas Lindas de Goiás;2013;;314;;;581;;512;102;;;;;;6114;;;419
Águas Lindas de Goiás;2014;;479;26;;437;;;246;;;;;;6196;27;;598
Águas Lindas de Goiás;2015;;379;80;;412;;;113;;;344;;;6017;112;;466
Águas Lindas de Goiás;2016;;477;113;;532;;;123;;;368;;;6036;203;;689
Águas Lindas de Goiás;2017;;1949;148;;402;;;587;;;405;;;5036;251;;733
Águas Lindas de Goiás;2018;;2961;169;;403;;;717;;0;250;0;679;4930;250;0;793
Alexânia;2002;;95;;;;;;;;;;;;771;;;19
Alexânia;2003;;224;;;116;;;;;;;;;797;;;9
Alexânia;2004;;267;;;213;;;;;;;;;809;;;17
Alexânia;2005;;469;;;320;;;;;;;;;830;;;29
Alexânia;2006;;474;;;262;;;;;;;;;934;;;35
Alexânia;2007;;291;;;233;;;;;;;;;957;;;44
Alexânia;2008;;419;;;238;;;;;;;;;965;;;36
Alexânia;2009;;225;;;160;;;;;;;;;984;;;23
Alexânia;2010;;173; ;;175;;; ;; ; ; ; ;1019; ; ;25
Alexânia;2011;;159;;;154;;;;;;;;;1019;;;30
Alexânia;2012;;145;;;170;;;;;;;;;923;;;41
Alexânia;2013;;182;;;30;;;;;;;;;955;;;63
Alexânia;2014;;182;;;33;;;;;;;;;929;;;73
Alexânia;2015;;146;;;66;;;;;;;;;928;;;112
Alexânia;2016;;164;;;25;;;;;;;;;965;;;81
Alexânia;2017;;234;;;21;;;;;;;;;1001;;;82
Alexânia;2018;;249;0;;27;;;0;;89;0;0;0;1092;0;0;77
Aloândia;2002;;;;;;;;;;;;;;75;;;
Aloândia;2003;;28;;;;;;;;;;;;74;;;
Aloândia;2004;;70;;;;;;;;;;;;64;;;
Aloândia;2005;;;;;;;;;;;;;;91;;;
Aloândia;2006;;;;;;;;;;;;;;86;;;
Aloândia;2007;;;;;;;;;;;;;;78;;;
Aloândia;2008;;;;;;;;;;;;;;65;;;
Aloândia;2009;;;;;;;;;;;;;;53;;;
Aloândia;2010;; ; ;; ;;; ;; ; ; ; ;58; ; ; 
Aloândia;2011;;;;;;;;;;;;;;62;;;
Aloândia;2012;;;;;;;;;;;;;;74;;;
Aloândia;2013;;;;;;;;;;;;;;71;;;
Aloândia;2014;;;;;;;;;;;;;;75;;;
Aloândia;2015;;;;;;;;;;;;;;67;;;
Aloândia;2016;;;;;;;;;;;;;;73;;;
Aloândia;2017;;22;;;;;;;;;;;;44;;;
Aloândia;2018;;19;0;;0;;;0;;0;0;0;0;41;0;0;0
Alto Horizonte;2002;;;;;95;;;;;;;;;119;;;
Alto Horizonte;2003;;;;;66;;;;;;;;;82;;;
Alto Horizonte;2004;;;;;20;;;;;;;;;89;;;
Alto Horizonte;2005;;;;;80;;;;;;;;;103;;;
Alto Horizonte;2006;;;;;112;;;;;;;;;139;;;
Alto Horizonte;2007;;;;;77;;;;;;;;;152;;;
Alto Horizonte;2008;;;;;82;;;;;;;;;174;;;
Alto Horizonte;2009;;;;;69;;;;;;;;;219;;;
Alto Horizonte;2010;; ; ;;101;;; ;; ; ; ; ;219; ; ; 
Alto Horizonte;2011;;;;;113;;;;;;;;;231;;;
Alto Horizonte;2012;;;;;141;;;;;;;;;227;;;
Alto Horizonte;2013;;;;;95;;;;;;;;;248;;;
Alto Horizonte;2014;;;;;107;;;;;;;;;238;;;
Alto Horizonte;2015;;;;;66;;;;;;;;;204;;;
Alto Horizonte;2016;;;;;69;;;;;;;;;172;;;
Alto Horizonte;2017;;24;;;84;;;;;;;;;162;;;
Alto Horizonte;2018;;24;0;;110;;;0;;39;0;0;0;177;0;0;0
Alto Paraíso de Goiás;2002;;89;;;;;;;;;;;;259;;;
Alto Paraíso de Goiás;2003;;195;;;11;;;;;;;;;274;;;
Alto Paraíso de Goiás;2004;;301;;;;;;;;;;;;320;;;
Alto Paraíso de Goiás;2005;;284;;;;;;;;;;;;308;;;
Alto Paraíso de Goiás;2006;;277;;;;;;;;;;;;394;;;
Alto Paraíso de Goiás;2007;;132;;;26;;;;;;;;;264;;;
Alto Paraíso de Goiás;2008;;68;;;55;;;;;;;;;296;;;8
Alto Paraíso de Goiás;2009;;107;;;42;;;;;;;;;300;;;7
Alto Paraíso de Goiás;2010;;61; ;;11;;; ;; ; ; ; ;321; ; ;14
Alto Paraíso de Goiás;2011;;32;;;31;;;;;;;;;272;;;22
Alto Paraíso de Goiás;2012;;14;;;31;;;;;;;;;269;;;27
Alto Paraíso de Goiás;2013;;;;;;;;;;;;;;268;;;22
Alto Paraíso de Goiás;2014;;;;;20;;;;;;;;;270;;;17
Alto Paraíso de Goiás;2015;;;;;22;;;;;;;;;320;;;25
Alto Paraíso de Goiás;2016;;;;;18;;;;;;;;;287;;;30
Alto Paraíso de Goiás;2017;;29;;;17;;;;;;;;;277;;;35
Alto Paraíso de Goiás;2018;;83;0;;0;;;0;;0;0;0;0;263;0;0;28
Alvorada do Norte;2002;;182;;;105;;;;;;;;;637;;;
Alvorada do Norte;2003;;247;;;143;;;;;;;;;608;;;
Alvorada do Norte;2004;;254;;;109;;;;;;;;;478;;;
Alvorada do Norte;2005;;132;;;106;;;;;;;;;511;;;
Alvorada do Norte;2006;;170;;;78;;;;;;;;;494;;;
Alvorada do Norte;2007;;136;;;94;;;;;;;;;412;;;
Alvorada do Norte;2008;;115;;;33;;;;;;;;;407;;;
Alvorada do Norte;2009;;122;;;32;;;;;;;;;411;;;
Alvorada do Norte;2010;;158; ;;42;;; ;; ; ; ; ;388; ; ; 
Alvorada do Norte;2011;;105;;;;;;;;;;;;431;;;
Alvorada do Norte;2012;;119;;;;;;;;;;;;427;;;
Alvorada do Norte;2013;;65;;;;;;;;;;;;425;;;
Alvorada do Norte;2014;;66;;;;;;;;;;;;396;;;
Alvorada do Norte;2015;;91;;;;;;;;;;;;405;;;
Alvorada do Norte;2016;;55;;;;;;;;;;;;380;;;
Alvorada do Norte;2017;;89;;;;;;;;;;;;396;;;
Alvorada do Norte;2018;;161;0;;0;;;0;;0;0;0;0;332;0;0;0
Amaralina;2002;;;;;;;;;;;;;;150;;;
Amaralina;2003;;;;;;;;;;;;;;136;;;
Amaralina;2004;;;;;;;;;;;;;;161;;;
Amaralina;2005;;56;;;;;;;;;;;;155;;;
Amaralina;2006;;44;;;;;;;;;;;;181;;;
Amaralina;2007;;;;;;;;;;;;;;146;;;
Amaralina;2008;;;;;;;;;;;;;;131;;;
Amaralina;2009;;;;;;;;;;;;;;130;;;
Amaralina;2010;; ; ;; ;;; ;; ; ; ; ;138; ; ; 
Amaralina;2011;;;;;;;;;;;;;;141;;;
Amaralina;2012;;;;;;;;;;;;;;142;;;
Amaralina;2013;;;;;;;;;;;;;;115;;;
Amaralina;2014;;;;;;;;;;;;;;118;;;
Amaralina;2015;;;;;;;;;;;;;;105;;;
Amaralina;2016;;;;;;;;;;;;;;110;;;
Amaralina;2017;;21;;;;;;;;;;;;77;;;
Amaralina;2018;;24;0;;0;;;0;;0;0;0;0;82;0;0;0
Americano do Brasil;2002;;;;;;;;;;;;;;257;;;
Americano do Brasil;2003;;;;;30;;;;;;;;;240;;;
Americano do Brasil;2004;;;;;20;;;;;;;;;264;;;
Americano do Brasil;2005;;;;;;;;;;;;;;247;;;
Americano do Brasil;2006;;;;;;;;;;;;;;264;;;
Americano do Brasil;2007;;;;;;;;;;;;;;291;;;
Americano do Brasil;2008;;;;;;;;;;;;;;264;;;
Americano do Brasil;2009;;;;;;;;;;;;;;246;;;
Americano do Brasil;2010;; ; ;; ;;; ;; ; ; ; ;277; ; ; 
Americano do Brasil;2011;;;;;;;;;;;;;;278;;;
Americano do Brasil;2012;;;;;;;;;;;;;;246;;;
Americano do Brasil;2013;;;;;;;;;;;;;;216;;;
Americano do Brasil;2014;;;;;;;;;;;;;;205;;;
Americano do Brasil;2015;;;;;;;;;;;;;;225;;;
Americano do Brasil;2016;;;;;;;;;;;;;;224;;;
Americano do Brasil;2017;;;;;;;;;;;;;;198;;;
Americano do Brasil;2018;;0;0;;0;;;0;;0;0;0;0;196;0;0;0
Amorinópolis;2002;;;;;78;;;;;;;;;128;;;
Amorinópolis;2003;;43;;;74;;;;;;;;;164;;;
Amorinópolis;2004;;21;;;49;;;;;;;;;168;;;
Amorinópolis;2005;;20;;;63;;;;;;;;;207;;;
Amorinópolis;2006;;29;;;22;;;;;;;;;193;;;
Amorinópolis;2007;;22;;;16;;;;;;;;;168;;;
Amorinópolis;2008;;54;;;10;;;;;;;;;156;;;
Amorinópolis;2009;;55;;;9;;;;;;;;;162;;;
Amorinópolis;2010;;38; ;;10;;; ;; ; ; ; ;162; ; ; 
Amorinópolis;2011;;22;;;16;;;;;;;;;180;;;
Amorinópolis;2012;;13;;;12;;;;;;;;;174;;;
Amorinópolis;2013;;5;;;16;;;;;;;;;137;;;
Amorinópolis;2014;;;;;10;;;;;;;;;124;;;
Amorinópolis;2015;;;;;8;;;;;;;;;127;;;
Amorinópolis;2016;;;;;;;;;;;;;;107;;;
Amorinópolis;2017;;15;;;;;;;;;;;;98;;;
Amorinópolis;2018;;19;0;;0;;;0;;0;0;0;0;91;0;0;0
Anápolis;2002;;5557;;3893;3283;;497;1071;3093;;;;;13783;;;1964
Anápolis;2003;;6367;;4294;3631;;1168;1179;3641;;;;;14113;;;1961
Anápolis;2004;;7478;;4474;3652;;2417;913;4056;;;;244;13553;;;2319
Anápolis;2005;;6730;;4238;2863;;3981;894;4438;;;;815;13378;;;2443
Anápolis;2006;;5794;;3862;2741;;5440;436;4810;;;;1495;14138;;;2926
Anápolis;2007;;3889;;3809;2265;;7823;64;4816;370;;;515;14167;;;2377
Anápolis;2008;;3784;;3570;2033;;8359;45;4885;223;;;923;13072;;;2689
Anápolis;2009;;3229;;3089;1534;67;10075;;4421;136;;;1682;12860;;;2927
Anápolis;2010;90;3187; ;3005;1944;70;16006; ;;179; ; ;1850;12905; ; ;2908
Anápolis;2011;181;2526;66;2878;1771;59;19091;;;204;74;;1294;12673;168;;3120
Anápolis;2012;231;2082;84;2674;1375;;18638;32;;557;101;;;12142;241;;3234
Anápolis;2013;248;2306;132;2598;1480;;20758;488;;186;97;;2069;12679;293;;3195
Anápolis;2014;;2494;129;;1415;;;684;;307;32;;3224;12392;291;;3035
Anápolis;2015;;2668;144;;1082;;;167;;428;594;;2473;12299;293;;3055
Anápolis;2016;;2584;164;;1065;;;394;;434;491;;1562;11787;243;;2711
Anápolis;2017;;3108;142;;940;;;520;;136;395;;1271;11323;253;;2246
Anápolis;2018;;3753;157;;897;;;540;;353;425;0;1317;11363;268;0;2122
Anhanguera;2002;;;;;38;;;;;;;;;52;;;
Anhanguera;2003;;;;;24;;;;;;;;;72;;;
Anhanguera;2004;;;;;26;;;;;;;;;70;;;
Anhanguera;2005;;;;;;;;;;;;;;62;;;
Anhanguera;2006;;;;;;;;;;;;;;51;;;
Anhanguera;2007;;;;;;;;;;;;;;43;;;
Anhanguera;2008;;;;;;;;;;;;;;39;;;
Anhanguera;2009;;;;;;;;;;;;;;45;;;
Anhanguera;2010;; ; ;; ;;; ;; ; ; ; ;44; ; ; 
Anhanguera;2011;;;;;;;;;;;;;;38;;;
Anhanguera;2012;;;;;;;;;;;;;;33;;;
Anhanguera;2013;;;;;;;;;;;;;;40;;;
Anhanguera;2014;;;;;;;;;;;;;;40;;;
Anhanguera;2015;;;;;;;;;;;;;;41;;;
Anhanguera;2016;;;;;;;;;;;;;;29;;;
Anhanguera;2017;;16;;;;;;;;;;;;22;;;
Anhanguera;2018;;22;0;;0;;;0;;0;0;0;0;7;0;0;0
Anicuns;2002;;216;;;254;1101;;124;;;;;;1083;;;22
Anicuns;2003;;168;;;306;1134;;168;;;;;;1059;;;
Anicuns;2004;;321;;;238;1195;;53;;;;;;943;;;
Anicuns;2005;;295;;;215;1235;;;;;;;;890;;;
Anicuns;2006;;318;;;152;1268;;;;;;;;886;;;
Anicuns;2007;;256;;;133;1263;;;;;;;;925;;;34
Anicuns;2008;;315;;;298;1263;;;;;;;;790;;;46
Anicuns;2009;;274;;;171;925;;;;;;;;820;;;43
Anicuns;2010;;260; ;;152;732;; ;; ; ; ; ;800; ; ;21
Anicuns;2011;;233;;;84;723;;;;;;;;799;;;19
Anicuns;2012;;285;;;71;1203;;;;;;;;829;;;
Anicuns;2013;;230;;;10;1245;;;;;;;;790;;;
Anicuns;2014;;193;;;5;;;;;;;;;780;;;
Anicuns;2015;;179;;;10;;;;;;;;;702;;;
Anicuns;2016;;216;;;6;;;;;;;;;580;;;
Anicuns;2017;;193;;;12;;;;;;;;;586;;;
Anicuns;2018;;133;0;;5;;;0;;0;0;0;0;583;0;0;0
Aparecida de Goiânia;2002;;3427;;1104;42;;1504;3194;;;;;;15129;;;1527
Aparecida de Goiânia;2003;;6879;;1041;;;2275;2859;;;;;;15057;;;1839
Aparecida de Goiânia;2004;;7877;;1165;;;2607;1871;;;;;43;16484;;;1964
Aparecida de Goiânia;2005;;7700;;619;;;2699;1063;;;;;;16777;;;1724
Aparecida de Goiânia;2006;;8515;;396;;;3518;1196;;;;;46;19819;;;1910
Aparecida de Goiânia;2007;;6866;;152;;;4649;699;;;;;;19452;;;1879
Aparecida de Goiânia;2008;;6051;;267;256;;5654;364;;;;;;18545;;;1992
Aparecida de Goiânia;2009;;5029;;113;317;;6067;421;;;;;177;19005;;;1955
Aparecida de Goiânia;2010;;5912; ;75;336;;6704;488;; ; ; ;190;19254; ; ;1992
Aparecida de Goiânia;2011;;4996;;62;262;;8197;424;;;;;161;19053;;;2400
Aparecida de Goiânia;2012;56;3779;;110;69;;8286;599;;;;;;17929;90;;2935
Aparecida de Goiânia;2013;105;3427;33;166;60;;8688;698;;;;;865;17981;170;;2617
Aparecida de Goiânia;2014;;3191;38;;37;;;780;;;;;1963;17666;250;;2799
Aparecida de Goiânia;2015;;3513;56;;;;;646;;68;442;;2311;17932;277;;2998
Aparecida de Goiânia;2016;;3999;48;;;;;606;;40;394;;1171;17614;267;;2630
Aparecida de Goiânia;2017;;5772;61;;;;;616;;18;333;;1363;15680;263;;2316
Aparecida de Goiânia;2018;;6601;95;;0;;;533;;0;370;0;1243;16377;275;0;2252
Aparecida do Rio Doce;2002;;;;;65;;;;;;;;;86;;;
Aparecida do Rio Doce;2003;;;;;88;;;;;;;;;120;;;
Aparecida do Rio Doce;2004;;;;;49;;;;;;;;;137;;;
Aparecida do Rio Doce;2005;;;;;48;;;;;;;;;184;;;
Aparecida do Rio Doce;2006;;;;;48;;;;;;;;;208;;;
Aparecida do Rio Doce;2007;;;;;29;;;;;;;;;165;;;
Aparecida do Rio Doce;2008;;;;;17;;;;;;;;;162;;;
Aparecida do Rio Doce;2009;;;;;13;;;;;;;;;168;;;
Aparecida do Rio Doce;2010;; ; ;;25;;; ;; ; ; ; ;177; ; ; 
Aparecida do Rio Doce;2011;;;;;;;;;;;;;;156;;;
Aparecida do Rio Doce;2012;;;;;29;;;;;;;;;132;;;
Aparecida do Rio Doce;2013;;;;;;;;;;;;;;110;;;
Aparecida do Rio Doce;2014;;;;;;;;;;;;;;128;;;
Aparecida do Rio Doce;2015;;;;;;;;;;;;;;136;;;
Aparecida do Rio Doce;2016;;;;;;;;;;;;;;129;;;
Aparecida do Rio Doce;2017;;9;;;;;;;;;;;;120;;;
Aparecida do Rio Doce;2018;;7;0;;0;;;0;;0;0;0;0;120;0;0;0
Aporé;2002;;;;;66;;;;;;;;;119;;;
Aporé;2003;;;;;32;;;;;;;;;147;;;
Aporé;2004;;;;;15;;;;;;;;;150;;;
Aporé;2005;;;;;12;;;;;;;;;126;;;
Aporé;2006;;17;;;17;;;;;;;;;132;;;
Aporé;2007;;26;;;18;;;;;;;;;146;;;
Aporé;2008;;36;;;15;;;;;;;;;169;;;
Aporé;2009;;23;;;13;;;;;;;;;151;;;
Aporé;2010;;5; ;;11;;; ;; ; ; ; ;142; ; ; 
Aporé;2011;;;;;8;;;;;;;;;156;;;
Aporé;2012;;;;;1;;;;;;;;;151;;;
Aporé;2013;;;;;30;;;;;;;;;120;;;
Aporé;2014;;;;;31;;;;;;;;;107;;;
Aporé;2015;;;;;39;;;;;;;;;116;;;
Aporé;2016;;;;;27;;;;;;;;;109;;;
Aporé;2017;;13;;;29;;;;;;;;;124;;;
Aporé;2018;;66;0;;37;;;0;;0;0;0;0;156;0;0;0
Araçu;2002;;190;;;;;;;;;;;;227;;;
Araçu;2003;;110;;;30;;;;;;;;;253;;;
Araçu;2004;;110;;;14;;;;;;;;;335;;;
Araçu;2005;;;;;;;;;;;;;;301;;;
Araçu;2006;;;;;;;;;;;;;;275;;;
Araçu;2007;;33;;;;;;;;;;;;220;;;
Araçu;2008;;14;;;;;;;;;;;;204;;;
Araçu;2009;;13;;;;;;;;;;;;161;;;
Araçu;2010;;28; ;; ;;; ;; ; ; ; ;162; ; ; 
Araçu;2011;;12;;;;;;;;;;;;180;;;
Araçu;2012;;;;;;;;;;;;;;201;;;
Araçu;2013;;;;;;;;;;;;;;194;;;
Araçu;2014;;;;;;;;;;;;;;178;;;
Araçu;2015;;;;;;;;;;;;;;158;;;
Araçu;2016;;;;;;;;;;;;;;124;;;
Araçu;2017;;;;;;;;;;;;;;124;;;
Araçu;2018;;0;0;;0;;;0;;0;0;0;0;133;0;0;0
Aragarças;2002;;695;;;227;;;;;;;;;587;;;
Aragarças;2003;;790;;;182;;;;;;;;;569;;;
Aragarças;2004;;870;;;192;;;;;;;;;596;;;
Aragarças;2005;;827;;;223;;;;;;;;;640;;;
Aragarças;2006;;788;;;229;;;;;;;;;728;;;
Aragarças;2007;;729;;;155;;;;;;;;;766;;;
Aragarças;2008;;511;;;194;;;;;;;;;632;;;
Aragarças;2009;;578;;;140;;;;;;;;;626;;;
Aragarças;2010;;594; ;;140;;; ;; ; ; ; ;637; ; ; 
Aragarças;2011;;310;;;;;;;;;;;;600;;;
Aragarças;2012;;199;;;;;;;;;;;;486;;;
Aragarças;2013;;172;;;54;;;;;;;;;464;;;
Aragarças;2014;;244;;;4;;;;;;;;;508;;;
Aragarças;2015;;196;;;38;;;;;;;;;470;;;
Aragarças;2016;;179;;;20;;;;;14;;;;454;;;
Aragarças;2017;;249;;;;;;;;13;;;;368;;;
Aragarças;2018;;383;0;;0;;;0;;12;0;0;0;327;0;0;0
Aragoiânia;2002;;;;;;;;296;;;;;;236;;;
Aragoiânia;2003;;150;;;114;;;;;;;;;204;;;
Aragoiânia;2004;;156;;;84;;;;;;;;;284;;;
Aragoiânia;2005;;164;;;110;;;;;;;;;289;;;
Aragoiânia;2006;;188;;;73;;;;;;;;;292;;;
Aragoiânia;2007;;115;;;53;;;;;;;;;308;;;
Aragoiânia;2008;;107;;;55;;;;;;;;;261;;;
Aragoiânia;2009;;110;;;91;;;;;;;;;287;;;
Aragoiânia;2010;;123; ;;73;;; ;; ; ; ; ;335; ; ; 
Aragoiânia;2011;;63;;;42;;;;;;;;;305;;;
Aragoiânia;2012;;;;;24;;;;;;;;;355;;;
Aragoiânia;2013;;;;;47;;;;;;;;;347;;;
Aragoiânia;2014;;;;;14;;;;;;;;;348;;;
Aragoiânia;2015;;;;;;;;;;;;;;383;;;
Aragoiânia;2016;;;;;;;;;;;;;;342;;;
Aragoiânia;2017;;72;;;;;;;;;;;;288;;;
Aragoiânia;2018;;97;0;;0;;;0;;0;0;0;0;280;0;0;0
Araguapaz;2002;;60;;;;;;;;;;;;463;;;
Araguapaz;2003;;170;;;65;;;;;;;;;490;;;
Araguapaz;2004;;99;;;67;;;;;;;;;470;;;
Araguapaz;2005;;;;;71;;;;;;;;;410;;;
Araguapaz;2006;;;;;18;;;;;;;;;347;;;
Araguapaz;2007;;;;;;;;;;;;;;317;;;
Araguapaz;2008;;;;;;;;;;;;;;275;;;
Araguapaz;2009;;;;;;;;;;;;;;293;;;
Araguapaz;2010;; ; ;; ;;; ;; ; ; ; ;316; ; ; 
Araguapaz;2011;;;;;;;;;;;;;;309;;;
Araguapaz;2012;;;;;;;;;;;;;;297;;;
Araguapaz;2013;;;;;;;;;;;;;;255;;;
