Localidade;Ano;Rendimento Médio;Indústria de Transformação;Indústria de Extração de Minerais;Serviços Industriais de Utilidade Pública;Construção Civil;Comércio;Serviços;Administração Pública Direta e Indireta;Agricultura, Silvicultura, Criação de Animais, Extração Vegetal e Pesca;Atividade não especificada ou classificada
Abadia de Goiás;2000;355,04;;;;;;;;;
Abadia de Goiás;2001;358,93;;;;;;;;;
Abadia de Goiás;2002;416,35;;;;;;;;;
Abadia de Goiás;2003;499,28;;;;;;;;;
Abadia de Goiás;2004;537,84;;;;;;;;;
Abadia de Goiás;2005;613,06;;;;;;;;;
Abadia de Goiás;2006;607,67;;;;;;;;;
Abadia de Goiás;2007;661,98;;;;;;;;;
Abadia de Goiás;2008;737,42;;;;;;;;;
Abadia de Goiás;2009;790,72;;;;;;;;;
Abadia de Goiás;2010;936,58;957,41;;;1065,15;852,75;1099,87;819,75;824,63;
Abadia de Goiás;2011;998,76;1058,06;;;1118,7;760,66;1117,07;980,28;964,01;
Abadia de Goiás;2012;1165,8;1358,08;;;1377,84;1180,56;1032,63;951,3;1164,88;
Abadia de Goiás;2013;1456,78;1388,1;;;1467,9;1397,83;1556,64;1547,54;1305,94;
Abadia de Goiás;2014;1737,67;1452,53;800;;1510,74;2263,56;1608,09;1724,65;1298,68;
Abadia de Goiás;2015;1608,19;1509,07;;;1787,17;1387,15;1826,64;1796,17;1451,54;
Abadia de Goiás;2016;1654,5;1605,93;;;1460,05;1530,27;1468,54;1973,23;1637,25;
Abadia de Goiás;2017;1838,61;1573,26;;;4754,64;1564,98;1422,01;2235,83;1654,25;
Abadia de Goiás;2018;1789,07;1599,87;0;1066,78;1963,31;1616,64;1553,41;2257,51;1800,69;
Abadiânia;1999;260,45;;;;;;;;;
Abadiânia;2000;268,82;;;;;;;;;
Abadiânia;2001;314,61;;;;;;;;;
Abadiânia;2002;378,86;;;;;;;;;
Abadiânia;2003;380,5;;;;;;;;;
Abadiânia;2004;436,89;;;;;;;;;
Abadiânia;2005;579,48;;;;;;;;;
Abadiânia;2006;583,15;;;;;;;;;
Abadiânia;2007;593,07;;;;;;;;;
Abadiânia;2008;630,64;;;;;;;;;
Abadiânia;2009;663,59;;;;;;;;;
Abadiânia;2010;768,5;677,85;1040,93;3738,79;;709,85;816,79;794,61;703,4;
Abadiânia;2011;904,72;738,03;1166,6;4142,51;808,76;730,67;933,86;1042,59;785,22;
Abadiânia;2012;970,44;861,19;1272,62;5551,66;787,94;823,88;1055,01;1027,49;884,68;
Abadiânia;2013;1089,16;1055,78;1395,66;2220,15;1177,8;911,84;1229,05;1065,9;971,21;
Abadiânia;2014;1236,69;1230;1484,18;2010,57;1611,93;1020,21;1304,12;1273,56;1069,27;
Abadiânia;2015;1409,64;1267,99;1666,17;2802,65;1286,94;1166,27;1454,29;1613,78;1195,22;
Abadiânia;2016;1527,39;1402,78;1692,15;3012,12;1343,22;1251,39;1566,42;1756,99;1397,3;
Abadiânia;2017;1658,57;1344,49;1847,21;3319,02;1613,07;1339,91;1658,26;1980,82;1515,67;
Abadiânia;2018;1669,24;1594,78;2011,77;2954,42;1407,5;1330,49;1707,52;1795,17;1616,28;
Acreúna;1999;393,08;;;;;;;;;
Acreúna;2000;374,93;;;;;;;;;
Acreúna;2001;471,72;;;;;;;;;
Acreúna;2002;526,22;;;;;;;;;
Acreúna;2003;593,15;;;;;;;;;
Acreúna;2004;652,42;;;;;;;;;
Acreúna;2005;709,31;;;;;;;;;
Acreúna;2006;745,75;;;;;;;;;
Acreúna;2007;847,62;;;;;;;;;
Acreúna;2008;964,39;;;;;;;;;
Acreúna;2009;1020,61;;;;;;;;;
Acreúna;2010;1123,14;1181,87;;4095,32;1373,25;985,08;1027,34;1328,15;1029,22;
Acreúna;2011;1241,73;1346,7;;4613,65;2056,65;1047,9;1167,23;1377,13;1206,08;
Acreúna;2012;1407,47;1504,12;;6317,1;1735,89;1261,03;1369,16;1459,86;1414,51;
Acreúna;2013;1534,52;1470,87;;6541,01;859,25;1463,43;1508,34;1653,02;1510,65;
Acreúna;2014;1618,77;1779,74;;7210,98;1378;1450,4;1542,19;1571,91;1747,64;
Acreúna;2015;1839,22;2404,55;;10277,38;1421,29;1626,89;1695,47;1877,33;1896,19;
Acreúna;2016;1932,41;2441,09;;19187,16;1165,84;1823,3;1663,59;1723,75;2155,64;
Acreúna;2017;2125,7;2583,77;;;1656,42;1825,75;1784,53;2334,52;2231,18;
Acreúna;2018;2274,01;2817,15;0;0;2056,28;2141,66;1850,66;2592,63;2196,85;
Adelândia;1999;226,26;;;;;;;;;
Adelândia;2000;254,52;;;;;;;;;
Adelândia;2001;270,73;;;;;;;;;
Adelândia;2002;313,75;;;;;;;;;
Adelândia;2003;357,34;;;;;;;;;
Adelândia;2004;422,07;;;;;;;;;
Adelândia;2005;423,76;;;;;;;;;
Adelândia;2006;464,79;;;;;;;;;
Adelândia;2007;568,34;;;;;;;;;
Adelândia;2008;637,26;;;;;;;;;
Adelândia;2009;644,99;;;;;;;;;
Adelândia;2010;660,69;556,35;;;;731,1;847,44;991,48;638,63;
Adelândia;2011;810,07;698,91;;;;616,21;967,35;863,68;816,81;
Adelândia;2012;944,57;718,41;;;;1108,44;1413,67;998,6;813,41;
Adelândia;2013;977,66;806,69;;;;797,17;968,61;1205,77;878,58;
Adelândia;2014;979,49;853,5;;;;954,56;872,89;1180,68;948,09;
Adelândia;2015;1118,41;945,17;;;1296,43;1021,16;906,49;1519,46;969,66;
Adelândia;2016;1244,27;969,12;;;1348,17;1156,84;1254,38;1663,07;1222,78;
Adelândia;2017;1373,98;992,53;;;1327,4;1211,25;1128,87;1677,03;1393,96;
Adelândia;2018;1494,93;1071,96;0;0;954;1212,55;1455,9;1614,56;1647,05;
Água Fria de Goiás;1999;229,63;;;;;;;;;
Água Fria de Goiás;2000;248,35;;;;;;;;;
Água Fria de Goiás;2001;270,11;;;;;;;;;
Água Fria de Goiás;2002;323,23;;;;;;;;;
Água Fria de Goiás;2003;387,27;;;;;;;;;
Água Fria de Goiás;2004;425,61;;;;;;;;;
Água Fria de Goiás;2005;530,98;;;;;;;;;
Água Fria de Goiás;2006;566,85;;;;;;;;;
Água Fria de Goiás;2007;608,41;;;;;;;;;
Água Fria de Goiás;2008;720,57;;;;;;;;;
Água Fria de Goiás;2009;783,85;;;;;;;;;
Água Fria de Goiás;2010;890,02;685,23;;;;896,05;1378,81;785,56;893,16;
Água Fria de Goiás;2011;967,54;754,34;;;;934,99;1422,57;847,1;985,01;
Água Fria de Goiás;2012;1095,84;790,67;;;;887,27;1742,4;921,57;1168,08;
Água Fria de Goiás;2013;1286,86;1028;;;;999,02;1931,68;1021,82;1460,06;
Água Fria de Goiás;2014;1504,61;1048,8;;;;1334,63;1691,7;1456,63;1547,43;
Água Fria de Goiás;2015;1482,16;1210;;;830,4;1226,95;1680,95;1227,66;1667,45;
Água Fria de Goiás;2016;1606,24;1148;;;;1385,14;1793,9;1388,25;1776,08;
Água Fria de Goiás;2017;1860,45;1175,72;;;;2209,56;1990,94;1614,82;1989,2;
Água Fria de Goiás;2018;1908,06;822,67;0;0;0;2123,77;1599,82;1803,39;1985,04;
Água Limpa;1999;275,24;;;;;;;;;
Água Limpa;2000;301,65;;;;;;;;;
Água Limpa;2001;309,99;;;;;;;;;
Água Limpa;2002;357,62;;;;;;;;;
Água Limpa;2003;384,87;;;;;;;;;
Água Limpa;2004;410,01;;;;;;;;;
Água Limpa;2005;403,9;;;;;;;;;
Água Limpa;2006;447,27;;;;;;;;;
Água Limpa;2007;440,74;;;;;;;;;
Água Limpa;2008;578,38;;;;;;;;;
Água Limpa;2009;782,82;;;;;;;;;
Água Limpa;2010;869,07;648,54;;;;846,07;1091,8;915,46;722,69;
Água Limpa;2011;885,27;692,96;;;;784,24;1173,05;911,25;835,52;
Água Limpa;2012;992,49;842,4;;;;957,65;1417,36;984,23;982,94;
Água Limpa;2013;1170,79;;678;;;1071,27;1485,24;1221,6;1009,34;
Água Limpa;2014;1303,21;;;;;1155,34;1133,14;1387,63;1107,07;
Água Limpa;2015;1364,54;;;;;1242,23;1595,42;1438,15;1183,39;
Água Limpa;2016;1349,72;;;;;1302,54;1601,9;3500;1322;
Água Limpa;2017;1481,98;;;;;1532,37;1926,22;1482,57;1420,13;
Água Limpa;2018;1638,83;1160,84;0;0;1013,62;1522,31;1942,78;1748,05;1415,15;
Águas Lindas de Goiás;1999;334,13;;;;;;;;;
Águas Lindas de Goiás;2000;359,82;;;;;;;;;
Águas Lindas de Goiás;2001;431,74;;;;;;;;;
Águas Lindas de Goiás;2002;411,3;;;;;;;;;
Águas Lindas de Goiás;2003;444,21;;;;;;;;;
Águas Lindas de Goiás;2004;522,87;;;;;;;;;
Águas Lindas de Goiás;2005;598,58;;;;;;;;;
Águas Lindas de Goiás;2006;688,16;;;;;;;;;
Águas Lindas de Goiás;2007;729,77;;;;;;;;;
Águas Lindas de Goiás;2008;775,12;;;;;;;;;
Águas Lindas de Goiás;2009;949,3;;;;;;;;;
Águas Lindas de Goiás;2010;1002,29;788,92;;;856,24;765,6;822,82;1446,91;723,04;
Águas Lindas de Goiás;2011;1085,5;832,98;788,81;;866,13;845,37;914,95;1693,29;776,18;
Águas Lindas de Goiás;2012;1183,1;972,78;1087,9;;883,05;954,04;924,68;2510,06;730,94;
Águas Lindas de Goiás;2013;1245,24;1106,58;1200,61;;955,37;1074,67;1080,99;1911,9;1144,02;
Águas Lindas de Goiás;2014;1384,74;1257,43;1410,13;;1235,48;1103,99;1184,52;1866,14;992,71;
Águas Lindas de Goiás;2015;1438,47;1571,3;;1297,18;1291,01;1212,15;1349,33;1638,13;948,04;
Águas Lindas de Goiás;2016;1413,24;1473;;983,45;1264,08;1254,77;1512,95;1452,43;1172,09;
Águas Lindas de Goiás;2017;1591,66;1575,81;;7498,79;1794,26;1383,33;1540,61;1714,45;1256,87;
Águas Lindas de Goiás;2018;1799,34;1441,93;0;11687,49;1144,85;1405,41;1540,37;2597,67;1183,87;
Alexânia;1999;320,78;;;;;;;;;
Alexânia;2000;350,8;;;;;;;;;
Alexânia;2001;367,81;;;;;;;;;
Alexânia;2002;449,62;;;;;;;;;
Alexânia;2003;541,65;;;;;;;;;
Alexânia;2004;589,8;;;;;;;;;
Alexânia;2005;550,34;;;;;;;;;
Alexânia;2006;807,03;;;;;;;;;
Alexânia;2007;867,49;;;;;;;;;
Alexânia;2008;877,53;;;;;;;;;
Alexânia;2009;927,57;;;;;;;;;
Alexânia;2010;1123,28;1524,04;583,98;5096,24;1146,24;700,57;1412,85;1072,8;718,54;
Alexânia;2011;1154,66;1714,47;650,46;4666,17;1480,53;765,26;991,85;1268,48;774,84;
Alexânia;2012;1384,05;1867,67;819,06;5193,78;1974,34;1321,03;1116,18;1453,63;904,25;
Alexânia;2013;1486,01;1903,68;1010,99;3852,27;767,52;1488,67;1169,46;1610,02;1014,42;
Alexânia;2014;1623,02;2202,14;1569,26;2406,91;1088,84;1613,15;1349,74;1879,07;1066,77;
Alexânia;2015;1738,26;2446,15;943,78;5206,93;458,48;1669,01;1482,08;2053,09;1275,86;
Alexânia;2016;1946,92;2547,69;1457,2;4808,69;1163,45;1836,04;1491,86;2403,13;1386,33;
Alexânia;2017;2018,93;2323,65;1113,65;;1686,23;1979,16;1520,83;2342,84;1518,1;
Alexânia;2018;1997,91;2303,12;954;1133,97;1806,84;1983,34;1500,24;2734,17;1537,1;
Aloândia;1999;362,85;;;;;;;;;
Aloândia;2000;399,55;;;;;;;;;
Aloândia;2001;406,51;;;;;;;;;
Aloândia;2002;458,5;;;;;;;;;
Aloândia;2003;472,91;;;;;;;;;
Aloândia;2004;498,58;;;;;;;;;
Aloândia;2005;776,33;;;;;;;;;
Aloândia;2006;572,76;;;;;;;;;
Aloândia;2007;632,29;;;;;;;;;
Aloândia;2008;760,61;;;;;;;;;
Aloândia;2009;769,35;;;;;;;;;
Aloândia;2010;828,24;690;;;;664,67;2432,15;778,51;822,02;
Aloândia;2011;874,33;758,86;;;545;756,63;2268,61;843,65;832,54;
Aloândia;2012;1022,4;881,17;;;;803,9;2093,13;996,14;938,84;
Aloândia;2013;1528,18;1032,44;1000;;;944,42;2372,51;1727,02;1000,45;
Aloândia;2014;1266,1;1109,16;1070;;;999,58;2227,07;1287,9;1055,15;
Aloândia;2015;1444,83;1348,71;;;;1160,51;2501,08;1386,47;1750,44;
Aloândia;2016;1464,83;1346,35;;;;1251,75;2956,01;1425,88;1346,09;
Aloândia;2017;1640,39;1381,65;;;;1280,26;3733,18;1647,84;1370,92;
Aloândia;2018;1742,65;1372,08;0;0;0;1433,81;4036,05;1791,01;1193,62;
Alto Horizonte;1999;210,42;;;;;;;;;
Alto Horizonte;2000;228,27;;;;;;;;;
Alto Horizonte;2001;317,94;;;;;;;;;
Alto Horizonte;2002;354,14;;;;;;;;;
Alto Horizonte;2003;409,77;;;;;;;;;
Alto Horizonte;2004;599,68;;;;;;;;;
Alto Horizonte;2005;1261,81;;;;;;;;;
Alto Horizonte;2006;1474,01;;;;;;;;;
Alto Horizonte;2007;1547;;;;;;;;;
Alto Horizonte;2008;1728,71;;;;;;;;;
Alto Horizonte;2009;2033,72;;;;;;;;;
Alto Horizonte;2010;2112,81;1005,58;3363,15;;2329,86;1157,55;903,47;1120,79;720,07;
Alto Horizonte;2011;2146,09;1026,08;3283,88;;2511,53;1504,6;1252;1332,86;822,47;
Alto Horizonte;2012;4612,71;1407,21;10591,67;;3096,81;2527,91;1593,97;1514,43;965,88;
Alto Horizonte;2013;2568,67;1594,34;3910,75;;2593,62;3016,81;1617,42;1920,85;975,74;
Alto Horizonte;2014;2685,49;1771,48;4124,7;1022,32;4629,89;2914,2;1278,95;1841,89;1092,42;
Alto Horizonte;2015;2887,23;1821,36;4485,8;940,07;3030,59;3131,89;1343,53;1970,2;1151,72;
Alto Horizonte;2016;3061,68;1825,3;4625,54;959,39;2834,12;3189,33;1372,55;2302,64;1258,39;
Alto Horizonte;2017;2187,7;1737,57;;985,62;2827,8;3184,62;1352,52;2050,22;1280,91;
Alto Horizonte;2018;3113,68;1069,1;4630,61;977,22;3074,29;3107,08;1439,95;2655,36;1316,37;
Alto Paraíso de Goiás;1999;265,6;;;;;;;;;
Alto Paraíso de Goiás;2000;286,75;;;;;;;;;
Alto Paraíso de Goiás;2001;330,29;;;;;;;;;
Alto Paraíso de Goiás;2002;373,86;;;;;;;;;
Alto Paraíso de Goiás;2003;400,45;;;;;;;;;
Alto Paraíso de Goiás;2004;442,61;;;;;;;;;
Alto Paraíso de Goiás;2005;513,21;;;;;;;;;
Alto Paraíso de Goiás;2006;585,8;;;;;;;;;
Alto Paraíso de Goiás;2007;626,41;;;;;;;;;
Alto Paraíso de Goiás;2008;699,85;;;;;;;;;
Alto Paraíso de Goiás;2009;759,92;;;;;;;;;
Alto Paraíso de Goiás;2010;807,53;548,69;;2610,72;512,72;713,07;780,19;852,81;811,71;
Alto Paraíso de Goiás;2011;942,05;641,71;;3712,75;593,02;812,4;812,93;1084,5;977,43;
Alto Paraíso de Goiás;2012;1050,33;748,3;;2185,1;725,67;858,31;912,12;1292,62;1023,23;
Alto Paraíso de Goiás;2013;1206,87;1003,37;;3597,08;893,15;907,64;1023,11;1564,49;1156,73;
Alto Paraíso de Goiás;2014;1284,91;854,45;;4383,16;855,52;985,71;1127,17;1643,7;1248,71;
Alto Paraíso de Goiás;2015;1363,6;958,83;;;811,64;1105,91;1228,36;1703,22;1364,13;
Alto Paraíso de Goiás;2016;1496,87;1372,48;;;3154,04;1234,23;1300,89;1901,96;1539,02;
Alto Paraíso de Goiás;2017;1638,47;1391,51;;;3409,43;1259,95;1389,55;2169,35;1711,2;
Alto Paraíso de Goiás;2018;1682,76;1604,95;0;0;1000;1306,44;1464,27;2276,75;1777,34;
Alvorada do Norte;1999;321,55;;;;;;;;;
Alvorada do Norte;2000;350,75;;;;;;;;;
Alvorada do Norte;2001;425,35;;;;;;;;;
Alvorada do Norte;2002;440,69;;;;;;;;;
Alvorada do Norte;2003;485,18;;;;;;;;;
Alvorada do Norte;2004;490,35;;;;;;;;;
Alvorada do Norte;2005;617,81;;;;;;;;;
Alvorada do Norte;2006;685,44;;;;;;;;;
Alvorada do Norte;2007;724,86;;;;;;;;;
Alvorada do Norte;2008;748,56;;;;;;;;;
Alvorada do Norte;2009;817,88;;;;;;;;;
Alvorada do Norte;2010;913,21;552,86;510;1633,64;512,09;677,19;1250,94;798,9;734,62;
Alvorada do Norte;2011;1031,71;681,39;;2488,74;544,16;747,38;1340,49;1007,59;794,89;
Alvorada do Norte;2012;1239,66;682,44;;4282,91;1080,41;874,66;1506,54;1161,57;987,81;
Alvorada do Norte;2013;1276,09;911,81;898;3362,07;961,46;888,95;1544,34;1194,09;1040,75;
Alvorada do Norte;2014;1374,36;849,17;1254;2618,92;2451,39;955,4;1766,68;1276,87;1048,26;
Alvorada do Norte;2015;1368,71;927,26;1081;3511,35;3056,44;981,52;1727,65;1269,52;1185,03;
Alvorada do Norte;2016;1591,25;878,74;1081;6204,16;3206,85;1205,33;1651,48;1626,27;1365,09;
Alvorada do Norte;2017;1725,43;1073,77;937;;2791,54;1204;1858,2;1802,18;1388,68;
Alvorada do Norte;2018;1926,92;998,5;2200;0;3651,37;1156,84;1951,27;1889,71;1418,95;
Amaralina;1999;207,35;;;;;;;;;
Amaralina;2000;217,91;;;;;;;;;
Amaralina;2001;272,84;;;;;;;;;
Amaralina;2002;327,88;;;;;;;;;
Amaralina;2003;437,59;;;;;;;;;
Amaralina;2004;463,92;;;;;;;;;
Amaralina;2005;551,27;;;;;;;;;
Amaralina;2006;590,2;;;;;;;;;
Amaralina;2007;634,81;;;;;;;;;
Amaralina;2008;718,86;;;;;;;;;
Amaralina;2009;799,4;;;;;;;;;
Amaralina;2010;860,23;;816;;;769,12;1548,09;848,38;915,02;
Amaralina;2011;928,86;;609,98;;;720,94;1608,42;910,79;1001,2;
Amaralina;2012;1062,38;;;;;865,87;2115,8;984,52;1283,56;
Amaralina;2013;1160,9;;;;;712,12;1136,73;1093,53;1377,97;
Amaralina;2014;1353,08;1230,8;;;;486,74;1312,95;1353,49;1400,53;
Amaralina;2015;1548,48;1751,11;;;;1065,04;2066,47;1509,38;1605,13;
Amaralina;2016;1525,68;2528,44;;;;1067,6;2483,14;1316,23;1921,18;
Amaralina;2017;1783,63;2725,36;;;1865,68;799,55;2096,26;1628,81;2022,36;
Amaralina;2018;1709,1;2969,71;0;0;0;911,11;2253,9;1523,8;2000,21;
Americano do Brasil;1999;205,89;;;;;;;;;
Americano do Brasil;2000;230,24;;;;;;;;;
Americano do Brasil;2001;290,31;;;;;;;;;
Americano do Brasil;2002;365,49;;;;;;;;;
Americano do Brasil;2003;380,79;;;;;;;;;
Americano do Brasil;2004;392,46;;;;;;;;;
Americano do Brasil;2005;754,02;;;;;;;;;
Americano do Brasil;2006;1096,49;;;;;;;;;
Americano do Brasil;2007;1247,75;;;;;;;;;
Americano do Brasil;2008;1317,32;;;;;;;;;
Americano do Brasil;2009;1416,7;;;;;;;;;
Americano do Brasil;2010;1475,3;639,73;2169,86;;879,71;724,56;782,56;911,35;707,99;
Americano do Brasil;2011;1560,17;664,59;2381,87;;743,77;800,76;816,53;1011,39;707,13;
Americano do Brasil;2012;1473,07;537,24;2561,09;;365,64;702,87;401,1;1137,86;478,43;
Americano do Brasil;2013;1136,31;761,06;2305,8;;1214,25;917,79;878,36;1243,09;852,8;
Americano do Brasil;2014;1283,98;884,33;;;1407,24;1208,66;1052,34;1425,27;960,7;
Americano do Brasil;2015;1285,06;870,19;419,04;;1707,98;1170,94;1149,1;1506,01;1114,29;
Americano do Brasil;2016;1308,61;1006,23;1996,57;;1480;1173,32;1068,95;1593,78;1111,66;
Americano do Brasil;2017;1341,4;1136,68;2102,28;;;1096,26;1397,35;1521,69;1356,18;
Americano do Brasil;2018;1408,51;1028,19;2139,33;0;0;1228,91;1460,81;1712,37;1375,44;
Amorinópolis;1999;213,85;;;;;;;;;
Amorinópolis;2000;237,86;;;;;;;;;
Amorinópolis;2001;308,2;;;;;;;;;
Amorinópolis;2002;334;;;;;;;;;
Amorinópolis;2003;404,64;;;;;;;;;
Amorinópolis;2004;371,7;;;;;;;;;
Amorinópolis;2005;444,99;;;;;;;;;
Amorinópolis;2006;490,85;;;;;;;;;
Amorinópolis;2007;624,97;;;;;;;;;
Amorinópolis;2008;742,97;;;;;;;;;
Amorinópolis;2009;789,81;;;;;;;;;
Amorinópolis;2010;940,65;999,88;;;;604,88;726,23;994,16;780,79;
Amorinópolis;2011;1000,97;1089,92;;;;653,58;838,29;1019,72;956,66;
Amorinópolis;2012;1206,44;1292,24;;;;880,58;1223,43;1243,82;1026,75;
Amorinópolis;2013;1434,44;1509,61;;;;998,49;1144,73;1551,37;1163,93;
Amorinópolis;2014;1538,49;1499,67;;;;1059,75;1192,78;1710,78;1275,13;
Amorinópolis;2015;1285,21;;;;;1106,3;1108,4;1360,44;1454,26;
Amorinópolis;2016;1726,35;880;;;;1262,8;1300,25;1989,02;1505,78;
Amorinópolis;2017;1667,75;;;;;1208,89;1275,55;1766,14;1600,07;
Amorinópolis;2018;2000,87;0;0;0;0;1541,04;1592,55;2182,4;1723,46;
Anápolis;1999;396,24;;;;;;;;;
Anápolis;2000;428,78;;;;;;;;;
Anápolis;2001;532,79;;;;;;;;;
Anápolis;2002;572,9;;;;;;;;;
Anápolis;2003;667,87;;;;;;;;;
Anápolis;2004;682,67;;;;;;;;;
Anápolis;2005;761,79;;;;;;;;;
Anápolis;2006;864,11;;;;;;;;;
Anápolis;2007;931,26;;;;;;;;;
Anápolis;2008;1030,57;;;;;;;;;
Anápolis;2009;1128,59;;;;;;;;;
Anápolis;2010;1257,22;1183,72;1218,97;4150,31;1441,61;874,28;1234,91;1867,89;740,53;
Anápolis;2011;1337,81;1285,42;1799,63;4128,38;1104,22;1010,84;1434,37;2005,27;835,25;
Anápolis;2012;1569,82;1490,54;2142,32;1668,42;1678,88;1148,34;1615,77;2272,81;966,25;
Anápolis;2013;1710,3;1661,99;2640,88;1765,9;1517,78;1259,39;1728,42;2557,88;1049,59;
Anápolis;2014;1875,67;1831,16;2575,19;1997,63;1458,03;1374,05;2045,79;2781,37;1120,66;
Anápolis;2015;2068,36;2106,08;1915,05;2181,74;1598,28;1460,61;2185,81;3103,83;1220,98;
Anápolis;2016;2314,95;2360,1;2247,57;2924,27;1574,89;1579,48;2468,84;3606,83;1327,82;
Anápolis;2017;2486,74;2549,35;2499,64;2178,34;1560,1;1688,83;2654,13;3818,33;1430,81;
Anápolis;2018;2564,48;2722,67;2479,63;2228,31;1819,42;1718,7;2626,81;3992,93;1390,64;
Anhanguera;1999;234,38;;;;;;;;;
Anhanguera;2000;256,28;;;;;;;;;
Anhanguera;2001;284,43;;;;;;;;;
Anhanguera;2002;318,23;;;;;;;;;
Anhanguera;2003;375,92;;;;;;;;;
Anhanguera;2004;417,63;;;;;;;;;
Anhanguera;2005;478,78;;;;;;;;;
Anhanguera;2006;555,52;;;;;;;;;
Anhanguera;2007;690,87;;;;;;;;;
Anhanguera;2008;758,19;;;;;;;;;
Anhanguera;2009;881,59;;;;;;;;;
Anhanguera;2010;922,76;558,71;;;;510;1390,16;964,03;743,45;
Anhanguera;2011;1053,04;643,33;683,33;;;587,23;1649,14;1070,55;1021,79;
Anhanguera;2012;1029,59;792,73;700;;;;1826,94;1058,51;528,05;
Anhanguera;2013;1296,79;1143,73;;;678;678;1163,79;1324,93;1123,89;
Anhanguera;2014;1427,77;928,92;;;952;724;1468,76;1544,96;1174,63;
Anhanguera;2015;1560,66;928,18;;;1084,4;788;1359,94;1651,34;1484,47;
Anhanguera;2016;1720,51;1052,39;;;;;1412,23;1892,67;1096,33;
Anhanguera;2017;1850,36;1225,03;2401,57;;;1117;1063,32;1898,8;1420,77;
Anhanguera;2018;1906,94;933,44;2516,84;0;0;1064,5;1115,69;1964,78;1420,67;
Anicuns;1999;340,26;;;;;;;;;
Anicuns;2000;373,93;;;;;;;;;
Anicuns;2001;437,86;;;;;;;;;
Anicuns;2002;487,27;;;;;;;;;
Anicuns;2003;533,12;;;;;;;;;
Anicuns;2004;600,19;;;;;;;;;
Anicuns;2005;680,87;;;;;;;;;
Anicuns;2006;811,33;;;;;;;;;
Anicuns;2007;902,51;;;;;;;;;
Anicuns;2008;963,3;;;;;;;;;
Anicuns;2009;1073,76;;;;;;;;;
Anicuns;2010;1170,93;1361,42;1000;5140,27;594,29;725,5;1216,09;1037,57;684,45;
Anicuns;2011;1301,28;1482,12;1103,12;5777,63;671,92;778,51;1442,68;1099,82;766,85;
Anicuns;2012;1392,06;1590,69;1059;5432,47;923,28;932,02;1328,72;1281,86;912,48;
Anicuns;2013;1527,59;1729,87;1346,12;7441,02;542,4;1022,73;1654,88;1385,24;968,9;
Anicuns;2014;1574,23;1753,86;1499,01;7358,97;1088,33;1089,86;1842;1459,3;1087,16;
Anicuns;2015;1619,33;1715,66;;7691,37;930,44;1175,61;2144,79;1545,64;1284,16;
Anicuns;2016;1835,51;1993,37;;12995,46;1351,7;1308,36;2266,69;1767,16;1252,61;
Anicuns;2017;1697,31;1673,4;;;1431,04;1378,95;2195,08;1825,71;1378,03;
Anicuns;2018;1984,66;2293,05;0;1494,07;1498,52;1371,93;2230,88;1909,18;1490,56;
Aparecida de Goiânia;1999;337,19;;;;;;;;;
Aparecida de Goiânia;2000;363,36;;;;;;;;;
Aparecida de Goiânia;2001;395,98;;;;;;;;;
Aparecida de Goiânia;2002;446,9;;;;;;;;;
Aparecida de Goiânia;2003;504,79;;;;;;;;;
Aparecida de Goiânia;2004;568,12;;;;;;;;;
Aparecida de Goiânia;2005;913,35;;;;;;;;;
Aparecida de Goiânia;2006;693,83;;;;;;;;;
Aparecida de Goiânia;2007;772,94;;;;;;;;;
Aparecida de Goiânia;2008;843,72;;;;;;;;;
Aparecida de Goiânia;2009;914,39;;;;;;;;;
Aparecida de Goiânia;2010;996,47;1022,31;1224,11;3014,62;1307,87;966,82;902,64;1035,67;679,29;
Aparecida de Goiânia;2011;1121,79;1136,58;1797,64;3195,36;1405,55;1095,23;953,87;1528,23;751,56;
Aparecida de Goiânia;2012;1330,92;1335,2;2045,15;2245,67;1563,31;1264,53;1076,22;2240,75;1148,91;
Aparecida de Goiânia;2013;1468,09;1454,22;2472,56;2055,22;1726,59;1437,27;1269,43;1922,01;1344,3;
Aparecida de Goiânia;2014;1596,75;1587,99;2454,38;2761,68;1838,61;1574,26;1426,22;2176,29;1374,89;
Aparecida de Goiânia;2015;1691,89;1671,81;2174,79;2733,59;1993,12;1644,6;1532,17;2070,52;1412,83;
Aparecida de Goiânia;2016;1902,08;1881,23;2378,54;6574,45;2171,93;1819,21;1682,07;2382,52;1566,37;
Aparecida de Goiânia;2017;1935,95;1963,53;2318,26;6753,36;2146,49;1900,88;1785,13;2045,66;1219,68;
Aparecida de Goiânia;2018;2080,16;2051,7;2849,57;6359,41;2184,15;1949,84;1850,35;2850,85;1292,35;
Aparecida do Rio Doce;1999;292,2;;;;;;;;;
Aparecida do Rio Doce;2000;405,63;;;;;;;;;
Aparecida do Rio Doce;2001;484,52;;;;;;;;;
Aparecida do Rio Doce;2002;444,96;;;;;;;;;
Aparecida do Rio Doce;2003;512,63;;;;;;;;;
Aparecida do Rio Doce;2004;555,43;;;;;;;;;
Aparecida do Rio Doce;2005;619,44;;;;;;;;;
Aparecida do Rio Doce;2006;656,9;;;;;;;;;
Aparecida do Rio Doce;2007;732,93;;;;;;;;;
Aparecida do Rio Doce;2008;772,52;;;;;;;;;
Aparecida do Rio Doce;2009;849,45;;;;;;;;;
